lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00106255418696552	0.000339533253579337
1	0.0150238523370401	0.000211850135335359
2	0.0387042733391858	0.000218711997392608
3	0.0392926942094721	0.00022000630162771
4	0.0348489457420018	0.000220857721717341
5	0.0307802338036206	0.000221833417703277
6	0.0264717887605155	0.000222755121512023
7	0.0230432941399185	0.000222339203567445
8	0.0203760926485741	0.000219895645158744
9	0.0182253246780098	0.000222692406485483
11	0.0149162607619086	0.000222655521466919
13	0.0124253749511408	0.000221466713580053
15	0.010848406457563	0.000217807346683651
18	0.00915388297268594	0.000213730771831913
21	0.00780381324113494	0.000208014313267493
25	0.00651517335773307	0.000202855012638307
29	0.00542499843695293	0.000197746299483689
34	0.00482449327896043	0.00018937240443258
40	0.0040906480102137	0.00018245174484445
47	0.00341465008314319	0.000176634409917056
55	0.00290250449156975	0.000171713340691775
64	0.00251594886152153	0.000165313707817922
75	0.00222899517205889	0.000160019667465824
87	0.00185366841879021	0.000155189306408823
101	0.00158893253975418	0.000148479559168359
118	0.00148464830971766	0.000142595951942708
137	0.00126962941516152	0.000136265249973585
160	0.000855399382135142	0.000129661210646127
186	0.000859150003804317	0.000122893339658731
217	0.000771553407842485	0.00011545934654027
253	0.000626473106096705	0.000108225835185478
295	0.000551802765187258	0.00010059788498642
344	0.000284508898837344	9.30422405882596e-05
401	0.000261356383863935	8.58020291129369e-05
467	0.000293252959928336	7.85073154762729e-05
544	0.000213728034663797	7.09782856002549e-05
633	0.000259622055661096	6.36097451325267e-05
737	4.88873795031906e-05	5.66876099814951e-05
858	0.000141798576107238	5.0601314648011e-05
1000	0.000204529264400008	4.70694669427986e-05
