lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	-6.72280175173003e-05	0.000162240848930843
1	0.00965837183849321	9.33782173300409e-05
2	0.0370068081081822	0.000101155500945877
3	0.04127680433585	0.000106284462404913
4	0.0358439418790507	0.000107915948475242
5	0.0305599147716908	0.000107729208733015
6	0.0260149029556875	0.000106747503706936
7	0.0222758010341452	0.00010515706998039
8	0.0196533601326006	0.000102292472635484
9	0.017277704889056	0.00010110344630879
11	0.0137377705288759	9.74848759572962e-05
13	0.0116467830378558	9.49209159051425e-05
15	0.0100817134280299	8.97100495712312e-05
18	0.00847532881516794	8.47256736956885e-05
21	0.0073067353409433	7.97230583000218e-05
25	0.00607941965484694	7.54486636069594e-05
29	0.0051418793649454	7.17274209644868e-05
34	0.00442128310153868	6.63486550627594e-05
40	0.0036013624622004	6.17721720671324e-05
47	0.00290311636432737	5.78828956440739e-05
55	0.00244210520584797	5.45507871460659e-05
64	0.00208796093893364	5.06429769545491e-05
75	0.00161215216360545	4.74102508520554e-05
87	0.00137985947099626	4.45242633100046e-05
101	0.00114131443313275	4.0789107032829e-05
118	0.000998514954475022	3.76680383009504e-05
137	0.000837099355932694	3.44494120925472e-05
160	0.00061323711511423	3.15303155952865e-05
186	0.000551432606187273	2.88618536092056e-05
217	0.000467372742305283	2.63659855214944e-05
253	0.000361344793120948	2.41075974260246e-05
295	0.000262579073295884	2.18346479002737e-05
344	0.000213731628269107	1.98325577420513e-05
401	0.000193986004811687	1.80050983477895e-05
467	0.000131429849985074	1.63754140987308e-05
544	0.000101813942629927	1.46616524574324e-05
633	0.000151828014110724	1.30612059714621e-05
737	6.95670102586541e-05	1.1549942220144e-05
858	6.43711784521186e-05	1.03342157699127e-05
1000	8.45751226872434e-05	9.74693513415458e-06
