lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.000162550517050026	0.000207431161659058
1	0.0189935941044325	0.000119647531888601
2	0.0493966890424641	0.000128805223877734
3	0.0486756196853069	0.000134221490123111
4	0.0416399220810122	0.000135624652377998
5	0.035451110552299	0.000134630759299663
6	0.0297581649913675	0.000132747453570725
7	0.0253742577585698	0.000130591424886111
8	0.0222527445804383	0.000126189967439847
9	0.0194765341363124	0.000125110286726748
11	0.0157465249070577	0.000120219355816978
13	0.0130061152535043	0.000116899497841758
15	0.0111296722126786	0.000109903933360797
18	0.00919515699292894	0.000103402203919325
21	0.00779493633586575	9.71491292106731e-05
25	0.00670803431318822	9.18650743486719e-05
29	0.00547225623463739	8.72587867045749e-05
34	0.00466293116350963	8.04418236202946e-05
40	0.00377963143268168	7.45938248873663e-05
47	0.00310696479064022	6.97497490069072e-05
55	0.0025563255474212	6.55211395111422e-05
64	0.00211685675241957	6.05418852448887e-05
75	0.00172640104453884	5.65057323485525e-05
87	0.00140247786859822	5.29705843156499e-05
101	0.00116331958798243	4.83360322930265e-05
118	0.000991740190751127	4.46329133226306e-05
137	0.000816007692721712	4.08728341027658e-05
160	0.000588444347677025	3.73308315067761e-05
186	0.000548335514276716	3.41287742854025e-05
217	0.000456219692100043	3.11760633231319e-05
253	0.000356393719515311	2.840977152919e-05
295	0.000235953396663494	2.56980784354795e-05
344	0.000219410641561226	2.32927454060008e-05
401	0.000192181924840753	2.11765975141002e-05
467	0.000103712991844434	1.92721499405011e-05
544	0.000113785250696429	1.71877438768373e-05
633	0.000119206991970415	1.52810221152667e-05
737	7.56288355286845e-05	1.34880285589758e-05
858	8.07719248142665e-05	1.20241172405805e-05
1000	9.9913958407896e-05	1.13830802685786e-05
