setwm_label	lwr_antQ	upr_antQ	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<1.75|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	0.913428809097341	0.913428809097341	7.45777139836024	0.66557205485997	0.00526054900663579	0.000559357517978037	9.9291475995426	2.36228799885122	-0.0516274236283656	0.0954435274454234	-0.0471579760816219	0.0871808676105225	4539
p=1.75-3.5|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	2.6241604299139	2.6241604299139	4.85920428097985	0.112642368924712	0.030194116780947	0.00156084480956541	4.43967215606166	0.226820109265634	-0.557403027841082	0.103156070143083	-1.46271496917477	0.270698077374902	694
p=3.5-5.25|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	4.35767868437698	4.35767868437698	3.80477991289556	0.102820953523444	0.0776570592359022	0.00387674854159227	4.2793429285295	0.220823405170975	-0.0816724722184857	0.133878875707384	-0.355902391286866	0.583401122958421	204
p=5.25-7.1125|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	6.04143486385478	6.04143486385478	3.1670199534353	0.0456951359930606	0.163867835155138	0.00612562596686294	2.7263349566913	0.122895501363921	0.128441341577301	0.154876509826642	0.775969998965388	0.93567634605882	59
p<1.6375|antQ0.1-0.2	0.1	0.2	0.147442481394474	0.840654524906546	0.840654524906546	5.89628227263109	0.26427269197702	0.0111699821910343	0.000889873854108202	12.1380796993297	1.48893500175793	0.470914944382884	0.105302375249535	0.395876778841586	0.0885229182369286	4270
p=1.6375-3.33333|antQ0.1-0.2	0.1	0.2	0.147442481394474	2.40791072452298	2.40791072452298	4.21613267875989	0.0697017583141695	0.0577538465421259	0.00146844939356119	5.62792421587905	0.27650692555541	0.390307711762745	0.103575930125883	0.939826125017538	0.249401592952556	813
p=3.33333-5.0625|antQ0.1-0.2	0.1	0.2	0.147442481394474	4.09335377529369	4.09335377529369	3.56976950565097	0.101711861785049	0.156337367110893	0.00759458388576553	4.27868371911437	0.165051069037207	0.44223201756576	0.128023880079877	1.81021209865855	0.524047032852711	250
p=5.0625-6.875|antQ0.1-0.2	0.1	0.2	0.147442481394474	5.84031654763346	5.84031654763346	2.98817369965444	0.0293129041135356	0.298897736974752	0.00586540855418077	3.54148669601419	0.123339024785306	0.421921440581848	0.157043972103429	2.46415477123151	0.917186508981746	75
p<2.25|antQ0.2-0.5	0.2	0.5	0.326744337939165	1.16532602384815	1.16532602384815	5.80990474251028	0.18387292283641	0.0298218080447596	0.000897603245724809	10.7988979572726	0.459983755451284	0.626792085111133	0.0632169419668577	0.730417128322046	0.0736683476220773	6212
p=2.25-4.5|antQ0.2-0.5	0.2	0.5	0.326744337939165	3.32647508893114	3.32647508893114	3.4423575715798	0.0994501158870239	0.161602946615429	0.00598010403026028	5.22952365432318	0.262508532978673	0.722503505208134	0.0764072988146628	2.40338991174029	0.254166976119494	923
p=4.5-6.75|antQ0.2-0.5	0.2	0.5	0.326744337939165	5.59170820101676	5.59170820101676	2.93463019165254	0.0528940437301882	0.466086985798451	0.0138960805885586	3.6830639332535	0.122666091499436	0.746501992674496	0.0996886106426354	4.17422131451333	0.557429621678391	230
p=6.75-9.125|antQ0.2-0.5	0.2	0.5	0.326744337939165	7.73918515313338	7.73918515313338	2.76343304487569	0.0857871168112689	0.80605645707028	0.0571626180470329	3.29260878770489	0.252017614378796	0.461104427673096	0.124020168044155	3.56857254069169	0.959815043216434	59
