lagtime	wtd_avg_RRD_p|antQ0.00876-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.5	wtd_avg_RRD_p|antQ0.5-1	wtd_avg_RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
0.333333333333333	-0.0031161074864175	-0.00189196268068779	-0.000899905833033337	0.0245079327265279	0.054220727851218	0.00135968600051046	0.00130371574243611	0.000973430029617382	0.00136053705030724	0.00144704952027248
1	0.000390796325775318	0.00717314166068274	0.0170408161651539	0.0489865252168927	0.0808931128424453	0.000771430492758206	0.000742715876939993	0.000556583593869986	0.000802587095570834	0.000827803126217371
2	0.00429915119899588	0.0181577665244028	0.0354316461966027	0.0695461542417491	0.109177328211426	0.000776222295222496	0.000748801425086286	0.000561725100628487	0.000815996351951011	0.000834559102863376
3	0.00659678155566439	0.0183413522528151	0.0350620739579324	0.0573204112045542	0.0825307572335584	0.000778400498961907	0.000751176934731846	0.00056569052251698	0.000823065242673042	0.000836166097473476
4	0.00687514283655297	0.0152554295107205	0.0304838923095111	0.0467452030657469	0.059280146893204	0.000782921454281247	0.000756282618252978	0.000570992895333423	0.000832768790693968	0.000834658562838894
5	0.00770404906106713	0.0154961025371885	0.0251916422517289	0.0342587396426574	0.0400569085043865	0.000787897907995187	0.000761995553410077	0.000576674988863712	0.00084110553897868	0.000837498866022049
6	0.00542323121309253	0.014007010424713	0.0193691992544755	0.0285577730985341	0.0320413141496074	0.000789611736965234	0.00076504959823023	0.000580348530430847	0.000844187173780568	0.00083445019613029
7	0.00221258297521775	0.0107262014877328	0.0177892000449403	0.0244070368972631	0.0263045574317584	0.000790257869472578	0.000765812737959907	0.000582293279178232	0.000845035788651406	0.000829748394110739
8	0.00082979954648998	0.00626376859990169	0.0138342850278462	0.0221195911324066	0.0228562703056502	0.000774719588871041	0.000751286956828206	0.000572292183944637	0.00083226110047143	0.000818480125939522
9	0.000915013573187108	0.00642391160158461	0.0121692911060641	0.0193418557814631	0.0211551662569658	0.000786381745416253	0.000762615784716368	0.000582411909481727	0.000845377730885718	0.000818136617635409
11	-0.000404778594750689	0.00609396578845878	0.010966901076697	0.0148984031362287	0.0154787962721588	0.000779757344669313	0.000757678642939711	0.000578986125785917	0.000842446054553915	0.000813433558148772
13	-0.000975066293662374	0.00465229029005601	0.00911426895360143	0.0127408255117442	0.0114452047311221	0.000778266993132733	0.000756103891628069	0.000580082361331855	0.000839542510566966	0.00080838594998429
15	-6.91382592350704e-05	0.00441742545323844	0.00765083343451049	0.0116621644525481	0.0110158978124572	0.000743838393934051	0.00072442156029136	0.000559171913635956	0.000812562135275365	0.000784197807044499
18	0.000113414815722052	0.00463502654965629	0.00647572389619081	0.0102493273573354	0.00762279477832742	0.000714223456393152	0.000697224432315804	0.000540320590881811	0.000789964426310172	0.000757744562894623
21	-0.000379863465401666	0.00401637037284118	0.00644451283945019	0.00889401535852671	0.00792218843806237	0.000685919667768222	0.000669270091311216	0.000522337860227452	0.000767000331623227	0.000721925681225989
25	0.000298141800405638	0.00294233978022571	0.00523223612040406	0.00615206028228229	0.00541061163344146	0.00066380122383629	0.000646155910464978	0.000507288992758401	0.000747210144994542	0.000691919087544891
29	-0.000214125437622458	0.00410842116780713	0.00504327474172891	0.00629917150709025	0.00203279244220344	0.000642874196852854	0.000627287163397473	0.000494016071924658	0.000727109684053543	0.000655452630297363
34	0.000251408183773636	0.0035369782844068	0.00401328320776892	0.00642499318094871	0.00311127367734041	0.000610105743146997	0.000599366385628391	0.000472743363283362	0.000696438376622351	0.000600105716920992
40	-0.000244538576722812	0.0028111717682388	0.00266951310694892	0.0051740048614803	0.00285625787698421	0.000582818116035413	0.000577413784802898	0.000455028378387887	0.000665515057693746	0.000554828024247028
47	0.000363161821384249	0.00279353959932538	0.00268174198158674	0.00411674423486443	0.00311775945660098	0.000560654357252252	0.000560142604490126	0.000441657795118095	0.000641598281766929	0.000512830689303134
55	-2.5735864509867e-05	0.00244524966988311	0.00216282365813859	0.00146038716533489	0.00153881631412867	0.00054326328948307	0.000544644970299396	0.00042875811545804	0.000615427246559344	0.000478841690921082
64	2.62856741654985e-06	0.00279079224358689	0.00246817858184097	0.000867569249328581	0.00122076869591967	0.000521433105759109	0.000525351368671641	0.000413493589549655	0.000583600570689577	0.000440218333983145
75	0.000327686507031589	0.00128751744122745	0.00266309583293397	0.00147120380542584	0.0014615579980829	0.000503575066374774	0.000508730161952557	0.000399471762333323	0.000555435817671068	0.000414072583222103
87	0.00079472572417398	0.00180796346111432	0.00207458057282679	0.00183470301609817	0.000700257737018149	0.000488800220839431	0.000494216171791695	0.000385451211059996	0.00053133550712576	0.0003882871664014
101	0.000317383285350802	0.000361502420171289	0.00153515300144209	0.00158078338351418	0.000681101414671918	0.000466104177946187	0.00047171202548921	0.000368874934874504	0.000499930371347649	0.000355992888970857
118	0.000478427000670132	0.00119749871348038	0.000950522544347693	0.000814201620960881	0.000499814860321383	0.000446161697189015	0.000451661479805137	0.000353851163911163	0.000474385601266916	0.000331822515870936
137	0.000204550926704444	0.0016224202378857	0.000370666561715534	0.000716357799714854	9.03560794317345e-05	0.000422524343567683	0.000430088256116034	0.000336985305014626	0.000450848627011521	0.000304258771551608
160	-3.08428257168032e-05	0.0011405041881765	0.000299323572483522	0.000499847809721301	0.000224114480567654	0.000398725976674101	0.000405800271113074	0.000322057933377541	0.000424387200456206	0.000278196442020289
186	-0.000453629529454011	0.000683554553759209	0.000524315319742829	0.000603315549835575	0.000279549494695892	0.000372242952172815	0.000383860793027166	0.000301820707932289	0.000395808124449498	0.000257648822311391
217	-0.000404896847571587	0.000815853441980368	0.000597511746685477	0.000742337465556034	0.00017777022054976	0.000347375772300414	0.000359207018327036	0.000279990723797769	0.000368378428288744	0.000240088225714539
253	-6.84404653144962e-05	-0.000411277796623967	0.000498972952281958	0.000278114890699097	0.000802606409461532	0.000321183903631935	0.000335961642519672	0.000260733774793045	0.000343078137059009	0.000227178229699718
295	0.000131074070388841	-0.000148849928363598	0.000130449716935161	-7.31247584664746e-05	0.000350577048028685	0.000298645301808289	0.000312039377078589	0.000242300095529634	0.000315587868195189	0.000213090674884761
344	0.000412662677608	3.9498150406485e-05	-9.57043249173259e-05	0.000208839283479835	-0.000387945369633981	0.000275223541481738	0.000293402475308102	0.000226495864388967	0.000294394439261934	0.000199607313858583
401	7.63019521517837e-05	0.000328823781260526	0.00016641925520063	0.000359580122965717	0.000393947908107416	0.000252769819265716	0.00027097953549346	0.000209072975195934	0.000274952887950778	0.000185378339041412
467	0.000173303677089245	0.000265255235230933	0.000433969660036817	-0.000256872904378863	0.000155361239503786	0.000232830658964962	0.0002536050788872	0.00019299890046348	0.000256932662617676	0.00017370012786305
544	-0.000347231901636298	-0.0002423485003773	0.00030981115317749	-0.000544511015896427	6.52194200152404e-05	0.000213711122960436	0.000234363843602683	0.000180024858151045	0.000242722208398365	0.000161822967828724
633	0.000190606132094632	0.000391335666169447	0.000204499478204454	0.000230603426367841	0.000370985246168138	0.000194879635937382	0.000216258987028138	0.000164843624904972	0.000227560292002377	0.000150363063759709
737	7.51611091492867e-05	-1.29008912817776e-05	-7.40554609949826e-05	0.000146852849380556	0.000130513307481322	0.000178168399411762	0.000197687016189604	0.000148214468323463	0.000212437656445923	0.000140900901095245
858	0.000140083873189432	0.000379301576772397	0.000116304281329859	0.000394672573890286	-0.000182280422246854	0.00016339914926713	0.000182063511695502	0.000133816222462828	0.00019911656587358	0.00012992831552546
1000	-2.6930236683262e-05	0.000433240752885011	0.000398345432247635	4.44122372923327e-05	-0.000365928826754724	0.000153248179395466	0.000169731487279947	0.000122432394954263	0.000186496357820023	0.000119826884710967
