lagtime	wtd_avg_RRD_p|antQ0.00876-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.5	wtd_avg_RRD_p|antQ0.5-1	wtd_avg_RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
0.333333333333333	-0.00353773876492824	-0.00354350987710419	-0.00699685474545335	0.0101346545154873	0.0269829579250357	0.000637035147754293	0.000636808486450693	0.000459651994909249	0.000600232393961193	0.000635290925572066
1	-0.000745052680864318	0.00400083496946523	0.00963904921739111	0.0343460100994357	0.0604874943149351	0.000372439861577047	0.000375646508890938	0.000268725785395926	0.000362904100405476	0.000373283847317984
2	0.00440675295783723	0.0176725787431878	0.0358754088556307	0.0717800938370703	0.11674708871891	0.000377422759062703	0.000381295261480359	0.000272501442216173	0.000372089557835169	0.000377706434609889
3	0.00816399538435489	0.0213434381038153	0.0398359487090588	0.0662053763210772	0.0931022399176982	0.000379064810252075	0.000383315483727972	0.00027479006685043	0.000377129042436779	0.000377871394570146
4	0.0095326505672446	0.019866823938787	0.0354624538819311	0.0534034791757697	0.0671740556357879	0.00038149065146691	0.000386275634422523	0.000278305593010955	0.000382803038631586	0.000378170451246717
5	0.00888158184311626	0.0182369622237704	0.0290529143462537	0.0412549334664848	0.0494678998103715	0.000384051211362129	0.000389495396244462	0.000281708953724445	0.00038762526969065	0.000378140571193669
6	0.00636785657540346	0.0141227252160647	0.022468567099302	0.0326401546814225	0.038190065258428	0.000385629320592502	0.000391971387808346	0.000283929043974535	0.000390274647582163	0.000377672935213896
7	0.00406893874135548	0.0100294583208071	0.0182593345253777	0.0278195050030971	0.0297933942858827	0.000385734221013493	0.00039211752137092	0.000284881182181284	0.000391334707435021	0.000374818481074495
8	0.00288706714932111	0.00784944838758523	0.0150551618686852	0.0247196444789118	0.024965480992136	0.000379568439231236	0.000385478087379392	0.000280785016723023	0.000386411444669657	0.000370865983386901
9	0.00221642701899836	0.00775530575464032	0.0136504161862847	0.0211225654712695	0.0214027219658847	0.000385125020797378	0.000391797642402204	0.000285595060823739	0.000391896377341796	0.000372080168235327
11	0.00134094956995447	0.00600052935785698	0.011980563263822	0.0162577780359171	0.0156769445273516	0.000383615096195384	0.000390498397929116	0.000285215611795668	0.000391828073510895	0.000371320719647736
13	8.92507902141945e-05	0.00525741352187996	0.0101932468108394	0.0140379262144976	0.0125205096787249	0.000382755429203319	0.000389743899260055	0.000285154024927568	0.000390814763960868	0.000367675291246614
15	8.84609397289663e-06	0.00489699318348128	0.00868588040571658	0.0125629736707496	0.0106432045658858	0.000370197234175683	0.00037723063754447	0.000276476721259735	0.000382260217172835	0.000359772444080195
18	-0.000105506729726585	0.00449951231840038	0.00776873705543916	0.0107273458992637	0.00725215409193961	0.000358633101607652	0.00036575216577499	0.000268613093047054	0.000374179757642408	0.000350188234537701
21	-0.000597681486154675	0.00380287087877949	0.00702973129582742	0.00916692466265796	0.00596918755444306	0.000346219284508766	0.000353396131139539	0.00026050415861138	0.000365268982973252	0.000335304768599519
25	-0.000127001012308815	0.00315626522289075	0.00620124478211644	0.00724437298804751	0.0043648635413954	0.000335609534332761	0.000343130211486786	0.000253889911512541	0.000357676288100184	0.000323050735934791
29	-0.000606268000581383	0.00344556514813158	0.00559608018727535	0.00638766970234307	0.00281553144872569	0.000326413237457949	0.000334581819184149	0.00024794090148717	0.000349822083391395	0.000308517915383519
34	-3.44359368043875e-05	0.00282404695608348	0.00486764279401693	0.00631742800537675	0.0024853241237853	0.000311697781500632	0.000321258953528212	0.000238415351590546	0.000336432167952093	0.000284768949796295
40	-5.85889819799226e-05	0.0025126695710841	0.00386979180975427	0.0051534249673616	0.00255427880756601	0.000299909553606238	0.000310883792346729	0.000230700478395867	0.000323788283356721	0.000264241182668552
47	5.07520270522472e-05	0.00246361538432396	0.00318525448364253	0.00399237136627147	0.00222753072167889	0.000290245463375336	0.000302510628840889	0.000224408317077189	0.000312862203050834	0.000246434388353222
55	-0.000424829960540947	0.00227711650700397	0.00271673145931327	0.00237766511682708	0.00141758311842817	0.000282122723958259	0.000295071688435547	0.000219085663286499	0.000302005425925892	0.000230766305332696
64	-0.000244537167334579	0.00208230350926126	0.00250890894025764	0.00154870199346701	0.000819345362833692	0.000271791999389598	0.000285218786549192	0.00021189134050322	0.000287867386160632	0.000211819732345082
75	-7.86153871543423e-05	0.00168038523273551	0.00198246922838477	0.00177793129705047	0.000873098089746063	0.000262695930686603	0.000276522203895165	0.000205495883592055	0.000275324353577856	0.000197426172045054
87	0.000153978957405063	0.00150800402519505	0.00153259283639066	0.00148177966055756	0.000668105094867157	0.000254629732073122	0.00026833228371898	0.000199030528997845	0.000263392888032455	0.000183822310034923
101	-1.50506640889033e-05	0.00108442240925513	0.00119009175153628	0.00128238080240775	0.000475793344974237	0.000243021362038415	0.000256297382102655	0.000190081403183474	0.000246692258608767	0.000167052971344551
118	0.000112074544071145	0.00118979894083394	0.000876212905102088	0.00102721664183404	0.000370411717960093	0.00023268839974986	0.000245509897204589	0.000181998874168866	0.000232705323662639	0.000153462714724913
137	-0.00015832462808995	0.00114694225323558	0.000672397116277931	0.000591390736902508	0.000372458101810875	0.000221493344182043	0.000233978882190314	0.000173111888860562	0.000218553032610553	0.00014028997660588
160	-0.000141830130205592	0.000948751580123773	0.000601851758773284	0.000548313949311299	0.000132378871390531	0.000209888226907542	0.000221648767157658	0.000163876034692229	0.000204108916137518	0.00012780439247307
