lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
2	0.000850460549642247	3.98613641032546e-05	0.000587914127351287	5.29492114797458e-05
6	0.00221077981915481	2.87044478332512e-05	0.00125564275224857	3.64419845092853e-05
12	0.0034442804985442	3.30325940610158e-05	0.00199029301399853	4.34377926572205e-05
18	0.00354842484183568	3.53306094451621e-05	0.00232766216147652	4.83846707788035e-05
24	0.00346006315966881	3.6992201637273e-05	0.00237312293886154	5.15647317070173e-05
30	0.00332439297221942	3.86360132875046e-05	0.00239914168853095	5.40354378394591e-05
36	0.00314353711135307	4.02150890960393e-05	0.0023505878180896	5.6069048193083e-05
42	0.00290735030608103	4.17022476956638e-05	0.00216395788598684	5.78226088508292e-05
48	0.00268487745838031	4.30318004462569e-05	0.00194452958310376	5.92325440432644e-05
54	0.00249652155202197	4.43082888268158e-05	0.00176354920615196	6.05781261238009e-05
60	0.00230718050164721	4.54753017417386e-05	0.00158993400157344	6.18100416624933e-05
66	0.0021566557809328	4.65202387833944e-05	0.00144897491062206	6.28745440353976e-05
72	0.00199083334319968	4.74673927855836e-05	0.00138432092679476	6.37866928445363e-05
78	0.00180523759525006	4.83562693670796e-05	0.00130404533848088	6.4572067053747e-05
84	0.00165222579084278	4.91854590238776e-05	0.0012212308918871	6.52996814845962e-05
90	0.00152110669526867	4.9957040594828e-05	0.00110580750874198	6.59055385677361e-05
96	0.00138565562477672	5.0613082808473e-05	0.000973546835427444	6.63800652543027e-05
102	0.00127107351936455	5.12280549813928e-05	0.000936553191057384	6.68313187505787e-05
108	0.00114466319516917	5.18178819418182e-05	0.000826784929843967	6.72373682999543e-05
114	0.00104312453233288	5.23641929234201e-05	0.000742999486747769	6.75697197088151e-05
120	0.000953780967797167	5.285074078387e-05	0.000687069985310353	6.78285355290578e-05
126	0.000895677403096751	5.3290095645836e-05	0.000664864495776233	6.80540444472938e-05
132	0.000818481012796501	5.37102551665875e-05	0.000629878460066188	6.82567259075051e-05
138	0.000774603834250777	5.40740838442516e-05	0.000599532953100474	6.84286826564127e-05
144	0.000732000562640925	5.43727246915196e-05	0.000554484029031634	6.8559671403907e-05
150	0.000715130305817201	5.46416215869235e-05	0.000513470959906517	6.86699454701079e-05
156	0.000720327766092755	5.49061006297809e-05	0.000509271271724351	6.87743500824344e-05
162	0.000715141890723735	5.51621662882654e-05	0.000497671915916323	6.88770351880346e-05
168	0.000701824843793605	5.53837533687625e-05	0.000512258366153328	6.89354793430227e-05
174	0.000665365729739088	5.56314977910362e-05	0.000497238379356209	6.90008202299182e-05
180	0.000616084425699895	5.58996700594188e-05	0.000443841387623663	6.90803096038178e-05
186	0.000650776097644628	5.61365878210193e-05	0.000407056708750133	6.91556910117662e-05
192	0.00068821937097721	5.63143476751375e-05	0.000442835582875407	6.91892015480751e-05
198	0.000749893057513247	5.64842413416932e-05	0.000468034751959452	6.92161246606171e-05
204	0.000730413837185771	5.66457889460144e-05	0.000455026755323076	6.92423288863288e-05
210	0.000683261710270316	5.6812266795921e-05	0.000435441649859575	6.9273722983687e-05
216	0.000642635268438827	5.69636914452534e-05	0.000447964249243681	6.92975746306627e-05
222	0.000616053065176106	5.70888331262182e-05	0.00043792366952561	6.93081991146953e-05
228	0.000617877963666634	5.72075154953199e-05	0.000452591386851305	6.93287544613874e-05
234	0.000607120575974908	5.73243464865242e-05	0.000445453019056213	6.93565507552959e-05
240	0.000582591261978871	5.74375971941808e-05	0.000396044357582132	6.9387997300625e-05
246	0.00054225919150915	5.75630579951254e-05	0.0003416017630514	6.94091547923765e-05
