lagtime	RRD_p|antQ0.00876-0.1	RRD_p|antQ0.1-0.2	RRD_p|antQ0.2-0.5	RRD_p|antQ0.5-1	RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
0.333333333333333	-0.0118024161678567	-0.0185149037736652	-0.0159151639642395	0.00845729457053752	0.038357551677012	0.000594938303944326	0.000598654191359406	0.000451201723758439	0.000565038690136185	0.000599800688592429
1	-0.00534964350461516	0.00984924246572599	0.0160644012576198	0.049699801620657	0.0830291984124102	0.000362729061432033	0.00036563454764894	0.000268224435164538	0.000351650356664777	0.000346796474825788
2	0.0140724177137099	0.0441874880986057	0.0621926442212662	0.108858543811345	0.14988054331387	0.000384989307124332	0.000388244219449888	0.000284275417590619	0.000383634021113333	0.000356955914538394
3	0.0291793224198788	0.0393577601896893	0.0560957971706434	0.0810598473725508	0.10226072874918	0.000391331309271376	0.000396785581552038	0.000292203311563856	0.000401474638917748	0.000357401437370972
4	0.0222418940247466	0.0273534896191669	0.0385676296694031	0.0518676108033109	0.0654153090646281	0.000392996659272901	0.000400072810858511	0.000296885859055975	0.000410755600000492	0.000358190017005129
5	0.00953446028792484	0.014942379485124	0.0254935960527355	0.0362529065273827	0.0460245643303394	0.000393544375828934	0.000401200013568522	0.000299598174255146	0.000415996393312233	0.00036000184569477
6	0.00114156370353091	0.0102850530659251	0.0178583535890562	0.027482565779596	0.0367317479173592	0.000393958146048905	0.000401731618749493	0.000301519762642415	0.00041879681593559	0.000362195704964948
7	-0.00221703257354357	0.00693319412425343	0.0145051544908878	0.0222107030705626	0.0285853787622223	0.000394402374995966	0.000402117879230067	0.000302759990508461	0.000420292472179792	0.000363954747100375
8	-0.00134725937138615	0.0054932317465054	0.0125897805103557	0.0193909333989214	0.0232138325415936	0.000394690186866962	0.000402492553072561	0.000303496508572203	0.00042140051796422	0.000365064197220693
9	-0.000760504461910676	0.00557940875537137	0.012500367151831	0.016026065838145	0.020228016528109	0.000394849707108828	0.000402797711624945	0.000303962292491606	0.000422141174111683	0.000365632687809597
10	-0.00101925077651597	0.00556806952546667	0.0109561777210277	0.0136177190484422	0.016538826874016	0.000394944016276733	0.000402990770403898	0.000304296738619911	0.000422793193387487	0.000366178378353134
11	-0.00132130975206669	0.00490928306861752	0.0100865129275574	0.0129608293048822	0.0135045564479796	0.000394997462481778	0.000403152417928816	0.000304568081004352	0.000423278042562503	0.000366510602456197
12	-0.00131657168887092	0.00491711347351025	0.00947601318255134	0.01264679438356	0.0137573549455791	0.000395041426983799	0.000403319697702946	0.000304762189707361	0.000423646245555079	0.000366642353612741
13	-0.00134968015870882	0.0045253587181283	0.00887898281158148	0.0127382663440987	0.0114601514763992	0.00039507435377928	0.000403400171464282	0.000304964596450712	0.000424043408622593	0.00036670438340582
14	-0.00140886291457882	0.00473891825658573	0.00836193430688897	0.0116911671931066	0.00974859406061187	0.000395096113373273	0.000403485396500486	0.000305112106784208	0.000424380670634312	0.00036672879333666
15	-0.00130370049628733	0.00496785787177063	0.00752483840875279	0.0108654065140303	0.00958189248475974	0.000395106516977108	0.00040358194998661	0.000305217853012666	0.000424647693113006	0.000366752903607616
16	-0.00150545205101156	0.00464118202364537	0.00764016730223465	0.0102126024861512	0.00834539140488981	0.000395120303971988	0.00040365840512819	0.000305344362706405	0.000424947772662017	0.000366798690155269
17	-0.00150742386904676	0.00409722233072698	0.00799501891369226	0.0102923066180669	0.00704074170555696	0.000395145243379712	0.000403739224039571	0.000305461289653672	0.000425107272807849	0.000366863007507841
