lagtime	NRF_p<3|antQ0.00876-0.1	NRF_p=3-6|antQ0.00876-0.1	NRF_p=6-9|antQ0.00876-0.1	NRF_p=9-12|antQ0.00876-0.1	NRF_p<3|antQ0.1-0.2	NRF_p=3-6|antQ0.1-0.2	NRF_p=6-9|antQ0.1-0.2	NRF_p=9-12|antQ0.1-0.2	NRF_p<3|antQ0.2-0.5	NRF_p=3-6|antQ0.2-0.5	NRF_p=6-9|antQ0.2-0.5	NRF_p=9-12|antQ0.2-0.5	NRF_p<3|antQ0.5-1	NRF_p=3-6|antQ0.5-1	NRF_p=6-9|antQ0.5-1	NRF_p=9-12|antQ0.5-1	NRF_p<3|antQ1-20.2	NRF_p=3-6|antQ1-20.2	NRF_p=6-9|antQ1-20.2	NRF_p=9-12|antQ1-20.2	se_p<3|antQ0.00876-0.1	se_p=3-6|antQ0.00876-0.1	se_p=6-9|antQ0.00876-0.1	se_p=9-12|antQ0.00876-0.1	se_p<3|antQ0.1-0.2	se_p=3-6|antQ0.1-0.2	se_p=6-9|antQ0.1-0.2	se_p=9-12|antQ0.1-0.2	se_p<3|antQ0.2-0.5	se_p=3-6|antQ0.2-0.5	se_p=6-9|antQ0.2-0.5	se_p=9-12|antQ0.2-0.5	se_p<3|antQ0.5-1	se_p=3-6|antQ0.5-1	se_p=6-9|antQ0.5-1	se_p=9-12|antQ0.5-1	se_p<3|antQ1-20.2	se_p=3-6|antQ1-20.2	se_p=6-9|antQ1-20.2	se_p=9-12|antQ1-20.2
0.333333333333333	-0.00668316029251932	-0.0133063524020757	-0.0295835064809792	-0.0606428645996909	-0.00565374240237413	-0.0183118780232107	-0.0140740051658531	-0.112759314504341	-0.00969378048415521	-0.021887589442704	-0.0685276864962433	-0.10804015981984	0.0168183821750529	0.0523894072883252	0.0580433955100061	0.136696286409437	0.0504134066092995	0.118116834015717	0.196613104070323	0.301777714444899	0.00102426777560511	0.0026899200583128	0.00649683584291992	0.0121602099473591	0.00101305353964666	0.0026321676678175	0.00656158605439526	0.0139702930837262	0.000842894566263998	0.0019619852815629	0.00421681668502168	0.00861077409320725	0.00124564339828398	0.00253593600428106	0.00516308421844023	0.0105047439909305	0.00186850642836736	0.00288412181889265	0.00435860071543398	0.00726980690165803
1	-0.00355242060863701	0.00210174095007991	0.016106120145345	0.0992198220718391	0.00264872402131126	0.0233552362507365	0.110057530636941	0.0630978614290575	0.00941547366760292	0.072930509834624	0.165731796590139	0.329187566800739	0.041317346624881	0.192183559795997	0.425261288114535	0.721340030199057	0.0623583904548738	0.276069631946503	0.619012896685197	0.99252808461005	0.000604309208314474	0.00170134063642298	0.00466913468353659	0.00863315638210336	0.000598927783962508	0.00168438211223494	0.00464479001415312	0.0102059336571615	0.000499506092753065	0.00122035657424237	0.00281525452509674	0.00627106870423387	0.000760682616954161	0.00162057313379339	0.00356802910608542	0.00768797961240337	0.00113552103786574	0.00168797851363079	0.00261967290611656	0.00449585636346537
2	0.000441241718183445	0.0415389737611605	0.144878695661108	0.321101156817947	0.0154780290337402	0.121725376225305	0.408905531703905	0.583836576487875	0.0336702272598324	0.246050724113868	0.633327984151868	1.04141395930164	0.079815772841826	0.422349433376839	0.971574996573469	1.51764513799072	0.13353109440374	0.544223498920093	1.22244339556522	1.89792415767393	0.000637832753186028	0.00189881570937373	0.00547181757366419	0.00998930042745167	0.000633076939970083	0.0018990193824597	0.0054387850819875	0.0121032772295239	0.000526369886936203	0.00136213732827225	0.00324915365299008	0.0074534385157161	0.000814663257690126	0.00182798222303923	0.00419140359058625	0.00917916130167165	0.00120706260505951	0.00177632095713928	0.00279579739822231	0.00494471277238899
3	0.00492689799608247	0.0716369791051209	0.163853481459621	0.289824351634694	0.0227374590929944	0.154368975944324	0.405788505416951	0.465670869972232	0.0418107315203054	0.264639566244367	0.583077027302128	0.800329188140417	0.0831040415836528	0.37778971267081	0.748871552443914	0.981947053629074	0.135555208462441	0.461573064589687	0.85326850037637	1.14883802637067	0.000651619954153307	0.00201895464347722	0.00592586553656229	0.0107822647443728	0.000649208639488654	0.00203473697019647	0.00589457457934562	0.0132089498999235	0.000538749597258591	0.00145686386535196	0.00352552029400736	0.00815353311012125	0.000839024146326267	0.00197705773747968	0.00459131463480689	0.0100613627042675	0.00122672795825782	0.00180744415949197	0.00288410554115272	0.00517841251941001
4	0.00933167817531526	0.0687477949680982	0.0990161805800029	0.146674207856477	0.0261529775041932	0.12573044534141	0.26606823841116	0.115593714975107	0.0433694147689789	0.20792088631735	0.39189719842622	0.489518366229977	0.0763781805993351	0.279247600590135	0.482047197213807	0.594374765875707	0.116517447317792	0.342784805437711	0.549645404765573	0.647713173522906	0.000659304871365393	0.00209250243374887	0.00618656915213247	0.011244070631782	0.0006576346905532	0.00211805000080685	0.00614899639092494	0.0138516912736174	0.000546100557357536	0.00152145841154645	0.00369492505850213	0.00855412006528591	0.000852202450834524	0.00208111692876146	0.00482724197538414	0.0105655373085607	0.00123345526937332	0.00182765472002822	0.00292907977610227	0.00530622409407565
5	0.0107342848303992	0.0483260373009102	0.0313445772084652	0.0536751551372881	0.0269045527236363	0.0902358369011051	0.139080835689755	0.0810223141422689	0.0390255735582209	0.14988552392887	0.269005770923919	0.310290832267263	0.0626064838265409	0.198892093691015	0.341634446010213	0.442516482940813	0.0949789784370875	0.252891735251729	0.370744350888676	0.41637877395295	0.000663572682382487	0.00213173447987018	0.00633626439520504	0.0115072560140241	0.000662164111267559	0.00216596269686263	0.00629274285445663	0.0142194358229389	0.000550856718143558	0.00156169497338392	0.0037946041121627	0.00878377438506678	0.000859313941595556	0.00214730633812277	0.00497131367928668	0.0108539430312657	0.00123713472765104	0.00184434560463181	0.00295347890396458	0.00538255441911027
6	0.00818680281305741	0.0221693719003932	-0.0114148559384036	0.0200952819196174	0.0220498622194909	0.0547836923746111	0.0951735413206233	0.0172276606792556	0.0324207190765266	0.105021502935007	0.176590073038832	0.191930561544433	0.0502684529646902	0.1506898272499	0.24298582980379	0.331186324589645	0.0752396103930404	0.191020012659105	0.27792327723106	0.3116558230533	0.000665885137226474	0.00215459986082017	0.00641999062744888	0.0116568642585328	0.000664952056426638	0.00219345418700324	0.00637467754000977	0.0144285009038033	0.000553907830519192	0.00158786058698032	0.00385331836392678	0.00891547771693215	0.000862872778161494	0.00218864927800448	0.00505685597826756	0.0110182285602361	0.00124043649131276	0.00185942738513675	0.00296706880272853	0.00542820434815156
7	0.00576576401055085	0.00607293213297852	-0.0246063566332719	0.0179210943509554	0.0165220864027755	0.0381822705351534	0.0506578188643893	-0.0367842072222556	0.0270573139848121	0.0813775842602862	0.129517761457071	0.140353569774906	0.0426492187418807	0.120595555018673	0.191035427299557	0.251223167553656	0.0624201631894429	0.14755658925142	0.204905542441563	0.233094030067589	0.0006672158903843	0.00216769136681092	0.00646836428198301	0.0117424470652901	0.000666411923233998	0.00220967832184045	0.00642171826950375	0.014547270449979	0.00055575546017672	0.00160428928377321	0.003887307765498	0.00899155872543156	0.000864669064399534	0.00221540426184714	0.00510694018626874	0.0111110720653649	0.00124323535749613	0.00187153528340895	0.00297610827886073	0.00545523020303229
8	0.00418625425410012	-0.00150191181812715	-0.0302377648853987	0.0166098152300146	0.0139118075912809	0.0277494059169873	0.0349194879586218	-0.037790888249754	0.0223534708084435	0.0628754347614709	0.106099538687787	0.146979791860689	0.0381465303980278	0.103281595360358	0.155381585107286	0.212322364812703	0.0504245178034366	0.123745148442771	0.170584765245908	0.193472347009072	0.000667856999844759	0.00217574463259164	0.00649622783396163	0.0117911576577153	0.000667358830938812	0.00221929755245452	0.00644923259101103	0.0146150342666865	0.000557023498435021	0.0016147018788994	0.00390625055421346	0.00903415330555349	0.000866013994189919	0.00223099483750183	0.00513456381002393	0.0111638950924937	0.00124540063528397	0.00188053035828738	0.00298219498800557	0.00547033424345352
9	0.00276395306900843	-0.00402474958113286	-0.0335103615644257	0.00853483613910052	0.0140554420824547	0.0255730838492922	0.0382910009552692	-0.0161263373945571	0.021411025103033	0.0594515485774448	0.103002553980918	0.130838775655955	0.0328800670064023	0.0863751903880799	0.122682301668124	0.160759209921245	0.042688792247512	0.108462647601184	0.159673574451631	0.168371139847856	0.000668333859549319	0.00218040864348025	0.00651234780595314	0.0118189356309087	0.000667972290686527	0.00222518929713422	0.00646567815686876	0.0146534327999326	0.000557796192728284	0.00162187345312215	0.00391779385843467	0.00905839397494561	0.000866884575418986	0.00224017341562468	0.00515101365799098	0.0111937464804964	0.00124681529098815	0.00188682621725248	0.00298566122135495	0.00548253273828908
