lagtime	NRF_p<2|antVPD-0.0951-0.0315	NRF_p=2-4|antVPD-0.0951-0.0315	NRF_p=4-6|antVPD-0.0951-0.0315	NRF_p=6-10|antVPD-0.0951-0.0315	NRF_p<2|antVPD0.0315-0.0576	NRF_p=2-4|antVPD0.0315-0.0576	NRF_p=4-6|antVPD0.0315-0.0576	NRF_p=6-10|antVPD0.0315-0.0576	NRF_p<2|antVPD0.0576-0.0931	NRF_p=2-4|antVPD0.0576-0.0931	NRF_p=4-6|antVPD0.0576-0.0931	NRF_p=6-10|antVPD0.0576-0.0931	NRF_p<2|antVPD0.0931-0.185	NRF_p=2-4|antVPD0.0931-0.185	NRF_p=4-6|antVPD0.0931-0.185	NRF_p=6-10|antVPD0.0931-0.185	NRF_p<2|antVPD0.185-2.59	NRF_p=2-4|antVPD0.185-2.59	NRF_p=4-6|antVPD0.185-2.59	NRF_p=6-10|antVPD0.185-2.59	se_p<2|antVPD-0.0951-0.0315	se_p=2-4|antVPD-0.0951-0.0315	se_p=4-6|antVPD-0.0951-0.0315	se_p=6-10|antVPD-0.0951-0.0315	se_p<2|antVPD0.0315-0.0576	se_p=2-4|antVPD0.0315-0.0576	se_p=4-6|antVPD0.0315-0.0576	se_p=6-10|antVPD0.0315-0.0576	se_p<2|antVPD0.0576-0.0931	se_p=2-4|antVPD0.0576-0.0931	se_p=4-6|antVPD0.0576-0.0931	se_p=6-10|antVPD0.0576-0.0931	se_p<2|antVPD0.0931-0.185	se_p=2-4|antVPD0.0931-0.185	se_p=4-6|antVPD0.0931-0.185	se_p=6-10|antVPD0.0931-0.185	se_p<2|antVPD0.185-2.59	se_p=2-4|antVPD0.185-2.59	se_p=4-6|antVPD0.185-2.59	se_p=6-10|antVPD0.185-2.59
0.333333333333333	-0.00958677286142464	-0.0130610060194533	-0.00979306254267589	0.039290122490499	-0.0002463353251241	0.0119028481753305	0.027000585577479	0.0612098680669018	0.00202233237011421	0.00596676023995075	0.0411480022404338	0.0856015365094488	-5.104684522903e-05	-0.00598817669219349	0.00513630920316122	0.0460935601102184	-0.0031587175454444	0.00352207218371345	-0.0318403540038875	0.140940848464749	0.00110704777876978	0.00210693509141439	0.00320937209388777	0.00495291541004705	0.000980078932396077	0.00174617344857809	0.00260660922267338	0.0040534608719277	0.00101527589648789	0.00195282869429615	0.00324688658267943	0.00538598371065064	0.00121573505200853	0.00282874409617341	0.00533621065176617	0.0107435613337441	0.00225660508888638	0.00600916875577108	0.0113495570142415	0.0161772428588869
1	-0.00238928274493042	0.0369551803101609	0.11888210135604	0.377256800629178	0.0041403946794562	0.0533520667375728	0.156610060112025	0.386127945148694	0.00611148873686806	0.0403922532440973	0.151646535934672	0.397303553733585	0.00407449223243247	0.0225737595197899	0.0661265393736141	0.220584155090207	0.000669241008859332	0.00732895211895328	0.0221753416245953	-0.0322891664591856	0.000708541234842285	0.00135780773138249	0.00212318975929214	0.00331668728646411	0.000650122736859173	0.00115400282372002	0.0017389722125601	0.00267509007646789	0.000694282021770357	0.00136105162738432	0.00229021084893344	0.00381162681771106	0.000872005976576162	0.00211163446451858	0.00412324169560594	0.00858779955102655	0.00170330612784408	0.00474992735379841	0.00899621203868564	0.0127835170965582
2	0.00728787927746669	0.1223806649248	0.336014135338675	0.883861406315924	0.0101565723933937	0.127286290991748	0.394714806701735	0.918644751037312	0.0118888925308827	0.102936210508456	0.35995995067475	0.908733884853543	0.00771756558342617	0.0701553299077373	0.185212414077481	0.570089789016055	0.00119529456356593	0.0150196202798156	0.0867722360270467	-0.151238168133847	0.000780443351049437	0.00153358213145897	0.00243516832419194	0.00379138109947879	0.000734822800938434	0.00132398043385952	0.00199898910648832	0.00306050194334266	0.000800550296531487	0.0015967162326638	0.00270614758324783	0.00450210377917029	0.00103445963461082	0.00257264983879293	0.00513537508183365	0.0108168446703032	0.00208399672063427	0.00595689280259374	0.0113049297344477	0.0160512349419133
3	0.0122999168338297	0.136585553748729	0.339178551965379	0.734393981472395	0.0111075933324313	0.138409563808846	0.395353703429978	0.749845429453965	0.0112162877346621	0.116365952531752	0.372674200630842	0.744849670191511	0.00579374682714714	0.0770026197602257	0.199406950336002	0.511717107340039	-0.00443209129899298	0.00376642143985111	0.0780672452842543	-0.192654868862511	0.000819011756337032	0.00164197931367405	0.00262443698827417	0.00409089882453789	0.000783751931645737	0.00143526439765816	0.00216128369433908	0.00329609636378261	0.000863919138729573	0.00174239632004308	0.00296691239388754	0.00494180763363	0.00113278075573211	0.00286896574848168	0.00580703294171038	0.0123498146523008	0.00232735695277969	0.00677924557562898	0.0128746996322559	0.0183093021478111
4	0.0157482303367139	0.129218343770965	0.280071742016616	0.505656512749477	0.0132352466820202	0.131708137103564	0.324295515062108	0.51349779784457	0.0119696208713924	0.10985266338265	0.319533264994511	0.536448984051075	0.00413529172466477	0.0759225202301755	0.171494819154086	0.386675450306531	-0.0079363084363556	-0.00410850133462053	0.0476788946396283	-0.155212306135077	0.000840564031564093	0.00171074662124741	0.00274761009762882	0.00428334125596057	0.000813856129593512	0.00151080599454162	0.00226724815279634	0.00344604400287559	0.000902750796916152	0.00183397740684757	0.00314115557446249	0.00522968228890468	0.00119401540359873	0.00306128404011799	0.00625082271371636	0.0134068442016506	0.00248647940374451	0.00734190824504385	0.0139526745702086	0.0198706326238614
5	0.017029917908597	0.120496275331293	0.234487206704727	0.366548161044446	0.0159183180777935	0.120050647615368	0.262233252477762	0.380339502540912	0.0140895809250856	0.0986929794939706	0.255939306761843	0.397531332808112	0.0030436115871747	0.0716235592637771	0.147326198712849	0.308173932831735	-0.0102150358885256	-0.00199780597602294	0.0290774653655619	-0.0515322767127219	0.000852646342122112	0.0017581927403412	0.00283298868256883	0.00441370105169221	0.000832615087755746	0.00156360863160382	0.00234247471867193	0.00354129104436303	0.000927938706479143	0.00189263342436694	0.00325929434839095	0.00543381710953466	0.00123359825304079	0.00318906539057526	0.0065532982394564	0.0141365710778461	0.00259087206695251	0.00772835356561982	0.0146941844593219	0.020959629527294
6	0.0173581696891459	0.107603795168856	0.192666931878308	0.28234177021468	0.0167588168256287	0.102828343559459	0.207624947829484	0.283954930357494	0.0140641610305387	0.0874274057732924	0.206525503253489	0.298312847945662	0.00332562436873653	0.0590352505851132	0.117443112119962	0.228857001838157	-0.0118617920908423	-0.00177356003669511	0.012009923368958	-0.00819445328879177	0.000859967599226075	0.00179275087458176	0.00289409597179903	0.0045094998574466	0.000844935844599283	0.00159924763735897	0.00239474063242435	0.00360589539044559	0.000944947709314843	0.00193242519987265	0.00334415794232762	0.00557580607439258	0.00126026505021487	0.00327471064273794	0.00675746205003086	0.0146406091847091	0.00266003650633983	0.00799736591761406	0.0152133209601457	0.0217241933933254
7	0.0172203265882121	0.0926203781209102	0.153859488349648	0.193991023459208	0.0168942646046868	0.0878071020819476	0.172228073295258	0.230660376327257	0.014509070829969	0.0756813527359153	0.168590204321698	0.239314349185985	0.00582016332276872	0.0521446358491885	0.0997285529648557	0.175163934567642	-0.0127955023265188	-0.00265869993412821	-0.00956428151581275	-0.0152851155540351	0.000864097730818168	0.00181811247861097	0.00293548416873682	0.00457890920567116	0.000853191677289425	0.00162409611858436	0.00243313598805888	0.00365035181445617	0.000956232585590448	0.00196048094093578	0.00340460813735693	0.00567613278740737	0.00127817037205971	0.00333251154775501	0.00689768054949885	0.0149962575325592	0.00270823623179742	0.00818800200317092	0.0155786654612378	0.0222626552135575
8	0.0159304020603471	0.0817244716117632	0.126915954678872	0.152510439237565	0.0165671189781743	0.078841552957113	0.148236715494311	0.193568326127808	0.0145303550486365	0.0609523591077295	0.139259208948181	0.213044285634319	0.00764316856796602	0.045821498075442	0.0893922498024847	0.157206857581583	-0.0143244886533635	-0.00385162055241625	-0.0320619069911128	-0.0446743704964123	0.000866542506995899	0.0018362318692314	0.00296551684229707	0.00462751108777034	0.000858749258788838	0.00164223877610231	0.0024608049137404	0.00368163604092419	0.000963736251077472	0.00197984496350564	0.00344708847579842	0.00574798494177581	0.00128988366524382	0.00337323213746042	0.00699222708992935	0.0152566180934864	0.00274231303784114	0.00832260030455515	0.0158369870007625	0.0226439000055166
9	0.0149624422426311	0.0741607902298544	0.121426726057471	0.146044713915095	0.0158539702165598	0.0701327758870731	0.129226630221222	0.162323219646675	0.0140444558237082	0.0562492740000268	0.122118644498464	0.185685120118607	0.00715852618116227	0.0401623436878561	0.0815568517619816	0.154594578907008	-0.0173735694907754	-0.00194521550045535	-0.0179473376168098	-0.0450533311923607	0.00086801677964883	0.00184807783868506	0.00298604762148716	0.00466446891362596	0.000862531956200824	0.00165519132866757	0.00247984607564541	0.00370421399665969	0.000968852100996534	0.0019933127555968	0.00347806910831045	0.00579683361790464	0.00129765214948098	0.00340307021048959	0.00705930247236175	0.0154389067921528	0.00276631553199699	0.00841808163280069	0.0160199086127349	0.0229143049346795
