lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.000976106279169075	0.000341985894713346
1	0.0152559168724711	0.000215776610941877
2	0.0396442905011733	0.0002235531047143
3	0.0405744945269206	0.000225006875886888
4	0.0361391152543577	0.000225938696954987
5	0.0318449987838098	0.000227134841501978
6	0.0271735225951966	0.000228261687194037
7	0.0234048416127425	0.000229089462880521
8	0.0204408313436848	0.000229640233857651
9	0.0186305917090114	0.000230006213349319
10	0.016572486996948	0.000230271934886169
11	0.0150712976784644	0.000230475941260037
12	0.014091183358568	0.000230620147984111
13	0.0128166605637421	0.000230715116711545
14	0.0117841123629064	0.000230770101100793
15	0.0110218964941833	0.000230821791235436
16	0.0106579712667795	0.000230859898470362
17	0.0101075857632919	0.000230895274913092
18	0.00919039539181271	0.000230911820065382
19	0.008982347860252	0.000230914467067886
20	0.00848070807412518	0.000230913264301128
21	0.00833859380427178	0.000230916626111156
22	0.00770528152184576	0.000230919470056248
23	0.0074541734792405	0.000230919597654055
24	0.00694863041520959	0.00023092796615812
25	0.00686108444281672	0.000230935351902309
26	0.00661020220765265	0.000230937885021624
27	0.00588158636909866	0.000230933172795273
28	0.00570714739584607	0.000230940625016911
29	0.00586459286068553	0.00023095047312027
30	0.00596195196250774	0.000230950085076433
31	0.00536115614098405	0.000230959216443433
32	0.00492950549891522	0.000230964741875195
33	0.00493283655542773	0.000230969192816804
34	0.00482111402587652	0.000230971494563951
35	0.00494115323054565	0.000230981141998098
36	0.00483003703956035	0.000230999315676695
37	0.00515829750612945	0.000231025636708095
38	0.00474334053490315	0.000231033789807484
39	0.00486244366350544	0.00023103356924033
40	0.00425170084463538	0.000231031939315732
41	0.00414965341241174	0.000231031096194729
42	0.00415625261746842	0.00023102813746478
43	0.00391597191493231	0.000231036929320173
44	0.00382599899040753	0.00023105625656874
45	0.00386895685526198	0.000231068382564567
46	0.0040293474942344	0.000231084877919805
47	0.00380425569357302	0.00023109507884971
48	0.00347216534073503	0.000231116365980854
49	0.00381587595062343	0.000231139662259837
50	0.00386503813685072	0.000231153229368672
51	0.00354461606644124	0.000231160604169669
52	0.00329083150685455	0.00023117012520188
53	0.0031698938741817	0.000231179777524166
54	0.00305888678165711	0.000231191271322999
55	0.00329504705217959	0.000231204911983557
56	0.00311107328529323	0.000231207638840922
57	0.00273505841473859	0.000231205344254056
58	0.00298088140082373	0.000231192137585844
59	0.00329797484213012	0.000231185535463672
60	0.00312519348224666	0.000231179659063041
61	0.00333342796237104	0.000231157835895435
62	0.00326873990234583	0.000231119425164887
63	0.00314109390435242	0.000231093890568714
64	0.00297520217544559	0.000231071649154623
65	0.00292523313848939	0.000231048265709395
66	0.00305158489853023	0.000231046692422805
67	0.00298547142973955	0.000231044603565269
68	0.00241753741734992	0.000231039414897995
69	0.00232692009743157	0.000231022060013401
70	0.00287668456815049	0.000231004826081311
71	0.00307304704269498	0.000230996318374942
72	0.00290079740511826	0.000230990298831845
73	0.00298058260189349	0.000230974717707337
74	0.00255415960802703	0.000230962037920471
75	0.00280952570797203	0.000230958571659795
76	0.00298930414378436	0.000230936208559
77	0.00279494768281806	0.000230908684563478
78	0.00253051728965853	0.000230901962895795
79	0.00253225158627626	0.000230892762549449
80	0.00270149844772123	0.000230874343750491
81	0.00246908616693521	0.000230839187014635
82	0.00256264506609987	0.000230805149899824
83	0.00244590355281143	0.000230766098170883
84	0.00256008832535112	0.000230740815422855
85	0.00258498002417548	0.000230708437335902
86	0.00269765200754797	0.000230667390173734
87	0.00242014769090429	0.000230627699860709
88	0.00218593792832833	0.000230575982595615
89	0.00201477595669041	0.000230528218519626
90	0.00224171687557169	0.000230500212410164
91	0.0023302711986556	0.000230456209064882
92	0.00257031536979368	0.000230397614527775
93	0.00246164869313043	0.000230344908174401
94	0.00245632050043165	0.000230280953577986
95	0.00231334131562933	0.000230219330358829
96	0.00258419469289017	0.000230134125938442
97	0.00246439125426408	0.000230049332454796
98	0.0024558071876674	0.000229915640833797
99	0.00252219766160674	0.000229754318804764
100	0.00256397502421464	0.000229457361811363
