lagtime	NRF_p<1.5|all	NRF_p=1.5-3|all	NRF_p=3-4.5|all	NRF_p=4.5-6|all	NRF_p=6-7.5|all	NRF_p=7.5-9|all	NRF_p>9|all	se_p<1.5|all	se_p=1.5-3|all	se_p=3-4.5|all	se_p=4.5-6|all	se_p=6-7.5|all	se_p=7.5-9|all	se_p>9|all
0.333333333333333	0.000566148540778752	0.000426575268130248	0.000363276445873794	0.00545856008857865	0.00654802742170659	0.00854081878888312	0.0251849259812287	0.000116078155234766	0.000242917280827818	0.000361760701395441	0.000529880860537887	0.000713013343696112	0.000851977290551175	0.00126793770239055
1	0.000532760995553827	0.000291367117210228	0.00027682771730254	0.00627843173341315	0.00618637599974329	0.00768217471445259	0.0285203313113396	0.000121032460749362	0.000250834147950314	0.00038573462476383	0.000567570531431846	0.000789632831001795	0.000929225775109856	0.00133921190704627
2	0.000653565657747504	0.000381833661367327	0.00158832694011332	0.0113113002454555	0.0130016970325911	0.0156885967352355	0.0512969866893671	0.000181181600563159	0.000371876608303114	0.000590004831887298	0.000877256085117502	0.00126231186380478	0.00145715012138722	0.00207467067549984
3	0.000888306120668504	0.000326760843418414	0.00358554644455438	0.0181777146325286	0.022108070774605	0.0248553716823804	0.0806861191729687	0.000233404395316334	0.000479277044985527	0.000782177671029218	0.00117992468435728	0.00173780861525322	0.0019772308206515	0.00278018294407609
4	0.000964963445132709	-6.75685002130303e-05	0.00616701300772969	0.0281436379118915	0.0333522474691343	0.0388311273443744	0.102485685387436	0.000277004590647175	0.000573310495349509	0.000956280835958434	0.00146690992945282	0.0021974783923525	0.0024767047663161	0.00339493957136572
5	0.000933691484724763	-0.00029625402878406	0.00940808645467751	0.0385114256701101	0.04623471003724	0.0566819982136259	0.129874998406805	0.000312836226450823	0.000655141274655446	0.00111064940553129	0.00172987623954044	0.0026221071977191	0.0029493615928465	0.00393409908880771
6	0.000732384403381841	-0.000181189456219044	0.0127557858251429	0.0514633232843305	0.0640318937539522	0.0785524881527603	0.17121135471877	0.000342120063469735	0.000727192431416582	0.00124796352515549	0.00196818706448046	0.00300625366283246	0.00339233554764209	0.0044052664049252
7	0.00026698877068355	0.000170185424541072	0.0169637661567887	0.0674756987402923	0.0878362137828788	0.108063353220423	0.209408856349966	0.000366242836402949	0.000790568642375142	0.00136994069780567	0.00218291942933349	0.00334813322352053	0.00380142294150242	0.00482194452317163
8	-0.000191310047696856	0.00078741376464521	0.021736367294214	0.0836315733916716	0.111830322986979	0.135139348555439	0.245540000555663	0.00038646146616428	0.000846373790440421	0.0014787645610738	0.00237699462855811	0.00365030638350692	0.00417797954748422	0.00519345855876624
9	-0.000705543131936392	0.00223199198935738	0.0272313489663688	0.0949828761833892	0.12780625918673	0.155243181142814	0.278082735814991	0.000403759263331037	0.000895967636030302	0.00157548199722561	0.00255351127958243	0.00391813781563369	0.00452635945702127	0.00552469323218718
10	-0.00119413467454586	0.00386159110026749	0.0327463904832236	0.100797512889089	0.136237591181962	0.170770225254931	0.29352816990931	0.000418788980616773	0.000940478292936228	0.00166189537822093	0.00271496818919288	0.00415764890283631	0.00484698783024263	0.00581997144073406
11	-0.00165257587153183	0.00573297498461997	0.0368073013825536	0.102902462368639	0.13830309627651	0.180213609197932	0.29658208761112	0.000432104171314412	0.000980713284392469	0.00173935879819585	0.00286268773946413	0.00437258653996356	0.00514281672418319	0.00608420781710114
12	-0.00176678837292116	0.00773305843720125	0.0398464356628776	0.102894188027836	0.135562093121203	0.178661401771302	0.285307586294107	0.000444002655970204	0.00101738390121256	0.00180871274740262	0.00299855874018902	0.00456632072572677	0.00541426275065057	0.00632188825996291
13	-0.00149685682425182	0.00936678254831288	0.0416249284857858	0.100526262996183	0.129892760283415	0.172529435709881	0.263763237054733	0.000454813489836035	0.00105094715681478	0.00187123310381387	0.00312407646291797	0.00474099114740187	0.00566292918085392	0.00653740911071771
14	-0.00119490823126177	0.0107080596634647	0.0428166047082918	0.0955602275434826	0.121040276929415	0.164040042841131	0.239189943137245	0.000464707634088779	0.00108166572356685	0.00192795703955793	0.00323933057114357	0.00489997981625883	0.00589102443466492	0.0067348305014492
15	-0.000957449952926501	0.0112724668214995	0.042192537674743	0.0892021325683973	0.110522921659168	0.152673429471766	0.212460859014045	0.000473704513367539	0.00110997341522443	0.0019799195324248	0.00334562807249223	0.00504614601199993	0.00610151482686348	0.00691683287534351
16	-0.000656302522272412	0.0115152143804713	0.0407762698067458	0.0834729727303961	0.10024800829178	0.140722016872502	0.188799394885129	0.000481832102865682	0.00113599863010362	0.00202839499413425	0.00344280548927133	0.00518157065489819	0.00629372432311387	0.00708550634555895
17	-0.000122109902321242	0.0115315416138946	0.0392525705351292	0.0777559125778735	0.0893617758465546	0.129131728812208	0.168803820531424	0.000489310518887414	0.0011599095143884	0.00207380409979751	0.0035321428161927	0.00530843868495753	0.0064678161073835	0.0072422469298165
18	0.000377415366325808	0.011861962112423	0.0376372659418953	0.0728550163336541	0.0803861438489823	0.118540542024146	0.153675735640453	0.000496156051017508	0.00118175513156708	0.00211588926081978	0.00361465728946624	0.00542776157962244	0.00662530328697106	0.00738961910536218
19	0.00072374894919001	0.0119641026753098	0.0360378633210711	0.0688391478853551	0.072435825066273	0.108258760423659	0.139249805077168	0.000502357474100845	0.00120197133533511	0.00215503146265296	0.0036906947285087	0.00554008764139905	0.0067668142000759	0.00752818085581524
20	0.000857474334712806	0.0117024281664384	0.033605467979086	0.063303120686891	0.0635632292091633	0.0979408740238882	0.126856719275325	0.000508025895636296	0.0012209067758199	0.00219174923099816	0.00376092084180221	0.00564496881972174	0.00689467389828818	0.00765825793628727
21	0.0010553741199619	0.0115527984651358	0.0314027590288275	0.0581387288213091	0.0554273680910905	0.0890048578747236	0.117109654940016	0.000513280215284112	0.00123886202725918	0.00222607270156108	0.00382673365564429	0.00574167616133987	0.00701043151582401	0.00777934514570286
22	0.00123652537096945	0.0116831067828667	0.0297653717618613	0.0532820283114779	0.0482570519812147	0.0815121613921559	0.107962950098001	0.000518179205373894	0.00125596364524141	0.00225823799653877	0.00388899780918211	0.00583049392847394	0.00711522644107702	0.00789160719431422
23	0.00134023355343133	0.0115340620540125	0.0281040957240777	0.0483146524389011	0.0413402543174772	0.0751263648626734	0.0994971769628262	0.000522700107970777	0.00127224510929071	0.00228827728239542	0.00394765102837403	0.00591239223343668	0.00721134409309785	0.00799586164334266
24	0.00127252731485005	0.0110926076384108	0.0267557365828817	0.0443585960295532	0.0346006252437094	0.0691645497298554	0.0931013840446775	0.000526931064141186	0.00128774350749884	0.00231625008551345	0.0040027333742145	0.00598801025584518	0.0073002505462005	0.00809296798434683
25	0.00127419670688509	0.0105925103886688	0.025531089859367	0.041489041781172	0.0290520521378213	0.0651157427304757	0.089925736236038	0.000530842428880262	0.00130242219562904	0.00234237499128322	0.00405455193630664	0.00605806068216481	0.00738292318202614	0.00818325651278702
26	0.00122631868154239	0.0101236806091878	0.0243257968080092	0.038777204060762	0.0239454409216501	0.0635814880107416	0.0913156762200186	0.000534443801815674	0.00131620662804407	0.00236672112923849	0.00410369302351248	0.00612301314685342	0.00746016877150856	0.00826772629298561
27	0.0011632440360979	0.00954925183133557	0.0229037133062392	0.0361698697884304	0.0194369955446482	0.0636600234265494	0.095651758404304	0.000537731090972834	0.00132919611499028	0.00238949714213168	0.00415034958174359	0.00618360016682901	0.00753200774818884	0.00834647117172875
