lagtime	NRF_p<0.5|all	NRF_p=0.5-1|all	NRF_p=1-1.5|all	NRF_p=1.5-2|all	NRF_p=2-2.5|all	NRF_p=2.5-3|all	NRF_p>3|all	se_p<0.5|all	se_p=0.5-1|all	se_p=1-1.5|all	se_p=1.5-2|all	se_p=2-2.5|all	se_p=2.5-3|all	se_p>3|all
4	-2.95765550503623e-05	0.000982118630730513	0.00386749629847924	0.00393188444977846	0.00461392962542991	0.00995481638352776	0.0198777691980116	0.000252429580138996	0.000449725882371589	0.000598996819457163	0.000942493338955601	0.00122997248754072	0.00146216088884232	0.00134655186247309
12	0.000159938301657212	0.00180392272340107	0.00528934853433035	0.00775385966610108	0.0154704184610596	0.029949130224978	0.0706516842484921	0.000152912019442484	0.000271914661329279	0.000381198200157941	0.000625418273025071	0.000806842215715436	0.000952030574591237	0.000839013270367232
24	0.00048794121917292	0.00214563353602218	0.00473414039925484	0.00793747418468813	0.0137012359663205	0.0211698316553935	0.0405299305878879	0.000158785737563608	0.000285324520583939	0.000407861796984519	0.0006647218866977	0.000865965238476068	0.00102654778551215	0.000890603664246489
36	0.000669658563557255	0.00150136793332985	0.00219436109875874	0.00330286615832863	0.00827421738209026	0.0135467653696929	0.0199361128493961	0.000165875422906328	0.000300341790318091	0.000432287622437761	0.000697282562813173	0.000922459019044751	0.00109677587195687	0.000943534129679098
48	0.000469005161518257	0.001210126267104	0.0022095830330384	0.00237046051413271	0.00559300481338088	0.0103602476332279	0.0135675244557468	0.000173878401373385	0.000316410344057292	0.000459076364601931	0.000727434960075646	0.000961135418923331	0.00114580984855515	0.000992991231032338
60	0.000308855107702064	0.000652195225345454	0.00127015830033983	0.00275110026517266	0.0045333169091969	0.00661965206525632	0.0121799377713355	0.000178911480766559	0.000327543324128518	0.000479200997733707	0.000751276448958119	0.00099199524131273	0.00117927528377098	0.00101455696701219
72	0.000232538684488188	0.000654905557284851	0.00103117820471618	0.00265099499183314	0.00474315819029549	0.00589141360067668	0.0113028842805515	0.000182733221725032	0.000335353268678473	0.000494102445818142	0.000773369968009973	0.00102549715814245	0.0012085109492672	0.00103176898934452
84	0.000269841520948359	0.000602031074810133	0.00107495338750629	0.00156963149966133	0.00436607124698213	0.00856312431437538	0.0105326757451304	0.000186528319978455	0.000344273935499902	0.000508561813456306	0.000798471716779426	0.00105759873352567	0.0012360700982688	0.00104849248106778
96	0.000257326165238632	0.000704789406850862	0.00149268406232105	0.00121709723821203	0.00281244726062728	0.00633145932760929	0.00661628858529707	0.000188533493103229	0.000351083483283612	0.000519674979586663	0.000815744894593788	0.00107859903209477	0.00126193454990504	0.00106793852661899
108	0.000117742461641943	0.000684517729569339	0.00175672886540981	0.000980040615200443	0.00223726393628215	0.00523433889623015	0.00481169378650934	0.000190220435973588	0.000356691960032571	0.000527677476967067	0.000826964961557324	0.00108998140536498	0.00128663348229101	0.00108811611467536
