lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
0.333333333333333	0.000318169566423771	0.00196317022385399	0.00550667474949093	0.0101363331540988	0.00210585921202956	0.00580301375463995	0.0163756712770277	0.0350617730216329	0.00901961696857382	0.0247525335084189	0.0453059069895925	0.0638447506523093	0.0144832917833841	0.0603477718363131	0.126600557377457	0.152279229465162	0.000388962625379467	0.000879892759467912	0.00164649155859698	0.00273671766708047	0.000368746799167597	0.000711464954055191	0.00127944091671732	0.00213750548047937	0.00046306296405738	0.00081452238234584	0.00135058109823225	0.00216947155804615	0.000836104331893782	0.00131510016130881	0.00210713448396232	0.00298115965548616
1	0.00126237794630526	0.00500169227035035	0.0106543897976043	0.02789045577222	0.00321388373394438	0.0094611754522614	0.0258607926022212	0.0497868280617579	0.00932089083192454	0.0273344509473738	0.0500767159371033	0.0686394846907082	0.0144209040714105	0.0567164983686787	0.130504564420251	0.155150877297622	0.00032174436003778	0.000754162301321672	0.0014671344807945	0.00244692816754162	0.000300944081029546	0.000588620828753178	0.00110840050479369	0.00195961085147062	0.000379127248319568	0.000656456262522132	0.00114214094283552	0.00191679529919576	0.000687108170214408	0.0010434194299872	0.00174379288390075	0.00248531850210489
2	0.00182293384795694	0.00830552195910191	0.0228625569709083	0.0647029256989983	0.00563693894509465	0.0175735887994279	0.0476068974928521	0.0884510374784263	0.0129573061920911	0.0435317172186629	0.0742817296919316	0.0962499771034036	0.0181926753125024	0.0799164682445057	0.174644442366796	0.21000537880337	0.000394011944578859	0.000958121934389502	0.001936512460339	0.00322615979937173	0.000364829810616914	0.00072615613123819	0.00142954859212327	0.00261188311180673	0.000456058171340849	0.000797165170106227	0.00144358766657348	0.00248158493051353	0.000824903333743315	0.00124391176690187	0.00217266393233851	0.00312262115472515
3	0.00331115349989871	0.0123903160326979	0.0361242712574292	0.103874345340307	0.00802330206045636	0.0261578461416268	0.0620773020431901	0.1123210699699	0.0138083483170672	0.0506759621093135	0.0928664092754209	0.126103446658264	0.0211277852075215	0.0924807704491654	0.186604587840975	0.218547351413044	0.000431852215129127	0.00108226144380943	0.00225473596698002	0.00375532918515897	0.000397636706322254	0.00080885733675738	0.00164257033587428	0.0030567484846498	0.000493368186064358	0.000877980032045897	0.00164265482909546	0.00285108268265438	0.00088927493783845	0.00134759064620395	0.00242988403525782	0.00353446977616919
4	0.0044047690623999	0.0172209485705651	0.0473338372016223	0.107474561033695	0.00967245425756026	0.031312106292561	0.0656443354070369	0.117050505879757	0.0139219473074332	0.0526278028757952	0.0962974949608632	0.147323198144807	0.0210075613267646	0.0917377383442203	0.187563554617254	0.21257372006241	0.000452758312199112	0.00116356418072251	0.00247434199259301	0.00411209418767756	0.000416641115709475	0.000863425790990273	0.00178932835970859	0.00335639580358169	0.000513684370512797	0.000933144132435764	0.00178379198916602	0.00310849302654522	0.000923321718973911	0.00141260285617517	0.00260628748553132	0.00378504501252283
5	0.00487696653795351	0.0215622960320317	0.0544497206231313	0.0964864279590011	0.00988101515247649	0.0341238543766839	0.0626317721056564	0.10812320748246	0.0138886324307466	0.0504663733510722	0.0939564558068681	0.131535512480959	0.0214725237770418	0.0871002489904535	0.171032989328274	0.192150572392286	0.000465590690915049	0.00122266597676078	0.00262939301707773	0.00436108054098828	0.000429188633824055	0.000903385231167586	0.00189606029056425	0.00357060469379067	0.000526268243792292	0.000976440371115998	0.00189169858708817	0.00329744197429084	0.000946474400340515	0.00146039678868472	0.0027305741472132	0.00395729726970503
6	0.005924044771466	0.022175824266082	0.0482295503501946	0.0693152543878647	0.00978895206566604	0.0333965605495255	0.0541108021466386	0.0877170778545486	0.0142652577842142	0.0457587001181099	0.0811487304404275	0.100538882255178	0.0205348759446858	0.0787346657373335	0.146653302564651	0.162385362066214	0.000474906183315097	0.00126872066402781	0.00274623904097396	0.00454974951145972	0.000438414399760138	0.00093515155879997	0.00197808974487824	0.00373308610954538	0.000535048043652491	0.00101155532872969	0.00197586202002941	0.00343902939188983	0.000963273617043162	0.00149789095001522	0.00282939954427984	0.00408249237405723
7	0.00607190274953308	0.0214593138623717	0.0400527384811538	0.0338588671081861	0.0092224138988321	0.0286133297992504	0.0416387742103345	0.0694199843454202	0.0124134481135517	0.0376054901770677	0.0675056439631227	0.0771503009549109	0.0171978531845367	0.0680153724751556	0.125377809373943	0.138420578020115	0.000482316553762226	0.00130634774384129	0.00283817760802514	0.0046994689481017	0.00044500990660966	0.000961495985909707	0.00204385456077987	0.00386214612779352	0.000541704929457845	0.00104010287412295	0.00204215829589726	0.003548703227397	0.000975535021445735	0.00152746008270553	0.00291024085430392	0.00418137985143488
8	0.00652974360094691	0.0199261151797742	0.0324074303642918	0.0139424084715543	0.00781399987250315	0.0227309322210062	0.0334187497052765	0.0660714698636072	0.0103102621885228	0.0301463148437347	0.0572742565204848	0.0622597520254784	0.0146495900458064	0.059267658668491	0.108744360960943	0.121789588948201	0.000488535987048375	0.00133727979336669	0.00291218980458165	0.00481938191475992	0.000450115417002988	0.000982363061271487	0.00209776650484569	0.00396467801331874	0.000546523928855362	0.00106257557457733	0.00209454327772314	0.00363508128325472	0.000984659974889093	0.0015507918817718	0.00297678480225949	0.00426852654419444
9	0.0061799364619811	0.0178152172691587	0.023611744923376	0.00697594200685647	0.00619680243295087	0.0177264645058323	0.0284662498928366	0.0665651566547308	0.00940605201252149	0.0253680732238646	0.0462544368105691	0.0492589747704403	0.0139435626876545	0.0519753484788434	0.0903798062451903	0.107968251727653	0.000493575454420652	0.00136254331020321	0.00297242038400907	0.00491615653587576	0.000454035786963958	0.000999226283693004	0.00214148296696036	0.0040467334296657	0.000550044246256044	0.00108049334441148	0.00213642987983973	0.00370418172491506	0.000990577621641053	0.00156913845395409	0.003031597847631	0.00434088703291269
