lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
0.333333333333333	0.000241228001357918	0.00193871118229988	0.00569893326676451	0.0101228919276748	0.00282267160737674	0.00688459699855466	0.017394636749601	0.0361033413769273	0.00956689480194629	0.0256001700216672	0.0457812415817914	0.0636486456429671	0.0135606591545076	0.0586160381717008	0.122301650637301	0.148030735978069	0.000391056055044698	0.000884628416532893	0.00165535311507417	0.00275144691245215	0.000370731425550616	0.000715294118461767	0.00128632697567312	0.00214900971530929	0.000465555207996966	0.000818906210526077	0.00135785003964682	0.0021811478370024	0.000840604315947281	0.00132217814132745	0.00211847525952669	0.00299720450826217
1	0.0011722164975676	0.00497523025087111	0.010892390633226	0.0278321445424244	0.00401175134619785	0.0106470288580879	0.0270139287651395	0.0509229668796205	0.00995995218993059	0.0284010960869951	0.0507518845941751	0.0686387415536586	0.0133209754288652	0.0550367102963367	0.125920492014657	0.150863076804557	0.000325963927113849	0.000763942060163898	0.00148595287269656	0.00247832173948564	0.000304902681907822	0.000596327270666796	0.0011227507000591	0.00198454837503406	0.000384111916139999	0.000665098117728055	0.00115702081732204	0.00194145845035118	0.000696134191193961	0.00105720512979505	0.00176653938213051	0.00251773149363139
2	0.00168348944783299	0.00824345997595594	0.0231979102701013	0.0645176929050039	0.006794782305497	0.0192323769949854	0.0492755537269843	0.0901134957284893	0.0138793534519533	0.0451909067762945	0.075472228992289	0.0963491926409524	0.0162956890028126	0.0774307162249829	0.167704269761486	0.203764964163487	0.000401553140614375	0.000976290624818797	0.0019728348795508	0.00328679452147527	0.000371815392045552	0.000739987346335641	0.00145661091922287	0.00266070864712432	0.000464787296784442	0.00081234360261644	0.00147100241020208	0.00252831771871931	0.000840752695451515	0.00126757688056041	0.00221384632546432	0.0031817911628862
3	0.00311968193556386	0.0122709938805228	0.0365080632591126	0.103527406939415	0.00941727075112712	0.0281007329751616	0.0641361251940725	0.114431179865474	0.0149141353344144	0.0528378529570918	0.0946268642912097	0.12633265006918	0.0183896344545777	0.0891291334622384	0.177611436017957	0.210804125367537	0.000442959107145536	0.00111027065693461	0.00231299140253297	0.00385258654828221	0.000407843352470595	0.000829668218137445	0.00168528568550955	0.00313554425297395	0.000505905653635691	0.000900323065568281	0.00168515258466144	0.00292453042667891	0.000912086409890818	0.00138146685266544	0.00249225957664164	0.00362515908373767
4	0.00415362893414213	0.0170202630062572	0.0477514276817253	0.107020278241582	0.0112104692587861	0.033398895624161	0.0680454169704313	0.119631690616079	0.0151481958410587	0.0552548304482402	0.0987104392626646	0.147862576160831	0.0176017434705002	0.0877266212443829	0.177069029385699	0.204012451310404	0.000467783852002283	0.0012034896630745	0.00256015818696923	0.00425493198604377	0.000430431885902875	0.000892632709440599	0.00185166652826476	0.00347246483073436	0.000530269243162624	0.000963984470200461	0.00184513575514227	0.00321528929627684	0.000953593604846889	0.00145786908984378	0.00269448460849185	0.00391202194938745
5	0.00455084534409725	0.021257395898956	0.0548677414742341	0.0959758323874301	0.0115229003443115	0.03632977289799	0.0654141284128902	0.111277884973541	0.0152430239343945	0.0536126274292902	0.0970856809332357	0.132591435780022	0.0176518290145593	0.0827236757272695	0.159544006161061	0.183542462726295	0.000484765791349819	0.001276538586268	0.00274749551577614	0.00455689073924608	0.000446894154942073	0.00094238356678193	0.00198147444008174	0.00373037185611323	0.00054708966790504	0.00101736219235588	0.00197551903496877	0.00344387323576023	0.000984892493315212	0.00151896415055726	0.00284885069919531	0.00412530437837471
6	0.0055095277742124	0.0217426730043734	0.048604742340934	0.0688028380257406	0.0115102205009861	0.0357207777332344	0.0573106852672218	0.0914753181725276	0.0157501100480105	0.049466533630749	0.0850629784786263	0.102187432110728	0.0165819682255328	0.0744206016412927	0.134695010908047	0.154382595152226	0.000498412716876948	0.0013379684668693	0.00289976130106108	0.00480366969459336	0.000460237796236538	0.000984988709725152	0.00208877385504035	0.00394092401646999	0.000560161590160048	0.0010637031795213	0.00208454641201939	0.00362891768230726	0.00101030632327629	0.00157122640162753	0.00298091274842515	0.00429449159732337
7	0.00555930357812778	0.0208932601896145	0.0403872448628729	0.0334463447185641	0.0110170531150039	0.0310589029510816	0.0452683604209797	0.0737404241280473	0.0140261686914706	0.0419176134971875	0.0722691156033033	0.0793489196791912	0.0132977035102374	0.0639600099319986	0.113124761751844	0.131089476550464	0.000510225069924575	0.00139164903848635	0.00302850424405393	0.00501388539801934	0.000470816629221076	0.00102261730560529	0.00218055703980351	0.00411998535636129	0.000571019247603365	0.00110387714254725	0.00217653749943758	0.00378353198590482	0.0010309053470661	0.00161586425221973	0.00309654389981054	0.0044393287769643
8	0.00591823893055518	0.0192270366274848	0.0326775404175706	0.0135999240977978	0.00967226067290328	0.0252999755398018	0.0374816276092891	0.0709129200557792	0.0120289123031689	0.0349767747356407	0.06273565502836	0.0648097196516727	0.0108673598628546	0.0554852870965578	0.0962824336281021	0.115078042051281	0.000520768215819811	0.00143854458898287	0.00313922336555779	0.00519411276454026	0.000479707812711258	0.0010545523521631	0.0022602878879444	0.00427213644953231	0.00057966358922675	0.00113772543052861	0.00225426346835971	0.00391427536544663	0.00104775398199103	0.00165367999460004	0.00319789496600298	0.00457377815945726
9	0.00547595740446836	0.016973930874224	0.0238251456543799	0.00664600548311033	0.00811351165680722	0.0204240072528099	0.032898802993348	0.0718178445202068	0.011247233053596	0.0306761507942138	0.0522704563808781	0.0520818876787248	0.0103024415261076	0.0483956972763565	0.0776869240640709	0.101785064893286	0.000529893850965211	0.00147921127395246	0.00323514568064441	0.00534931351198034	0.000487131312485011	0.0010820878536856	0.00232900026357007	0.00440216572786285	0.0005866276501668	0.00116661341903512	0.00232080925603606	0.00402621672177002	0.00106034404536196	0.00168559936447895	0.0032867777555624	0.00469220073367913
