lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00101022036008967	0.000178086405138507
1	0.0215284823089277	0.000106404554310355
2	0.0577456168568992	0.000116297193455063
3	0.0563126478437062	0.00012217348605501
4	0.0443130010803448	0.000122476582164972
5	0.0351570147966279	0.000120485007279747
6	0.028015650517761	0.000117545037805028
7	0.0232474866390345	0.000114522672486545
8	0.0198546756886986	0.000110471364388893
9	0.0172232112165652	0.00010893531658395
11	0.0136558921423779	0.000104569027056559
13	0.0113957325813413	0.000101476804243015
15	0.00970550040346622	9.62830331302276e-05
18	0.00832081984213222	9.1338976360594e-05
21	0.00727247301990682	8.62510614149405e-05
25	0.00602823746011669	8.19242074647146e-05
29	0.00526288035832056	7.80646660762644e-05
34	0.0046096827860865	7.22130638841707e-05
40	0.00386787779819704	6.71029664496016e-05
47	0.00322082097274131	6.28540566591437e-05
55	0.00277043060698375	5.91940745407612e-05
64	0.00228494761974025	5.48069016832219e-05
75	0.00184329965304566	5.11895772848219e-05
87	0.00161190995124509	4.80904580260638e-05
101	0.00136972908933072	4.39728936769807e-05
118	0.00114252676200512	4.05696676190529e-05
137	0.000946145126853494	3.72118742966233e-05
160	0.000732845183405908	3.40353473066607e-05
186	0.000688973568580281	3.11860171608682e-05
217	0.000554715011167528	2.8551766815493e-05
253	0.000436543345117261	2.61206316664639e-05
295	0.000296193754104541	2.37653776729973e-05
344	0.000241990792461828	2.15987224398313e-05
401	0.000205384079533818	1.96711871226724e-05
467	0.000141732463247196	1.79963910829319e-05
544	0.000117393113529329	1.6150338841908e-05
633	0.000149005686581559	1.44233667037097e-05
737	9.26736477978518e-05	1.28400044634049e-05
858	7.45104495124779e-05	1.14681287817958e-05
1000	7.21601064349125e-05	1.08304169329086e-05
