lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	-2.75442488070682e-05	0.000183808889085733
1	0.0245693785877213	0.000109385168696482
2	0.0678481477710373	0.000120873147648042
3	0.0621454777674876	0.000125831990133296
4	0.0468769972302007	0.000124785497857522
5	0.0351100574847465	0.000121403357740278
6	0.0267624470943199	0.000118030487188305
7	0.0217315158680017	0.000114604898621126
8	0.0181382992835946	0.000109957567915522
9	0.0157421500247178	0.000108678071782872
11	0.0124983382575242	0.000104129755686805
13	0.0103102477963146	0.000101306885207366
15	0.00908754289935619	9.54538242339322e-05
18	0.00772914474625083	9.02555546033107e-05
21	0.0069240583347022	8.49836410984494e-05
25	0.00589646644731632	8.04486056276141e-05
29	0.00525261411375108	7.63494173910479e-05
34	0.00457713235115847	7.02931791907688e-05
40	0.00382060436859632	6.49766515117384e-05
47	0.00323978767850475	6.06219934182612e-05
55	0.00277538766326291	5.68778249234425e-05
64	0.00230015025009854	5.23759929794576e-05
75	0.00187626589479984	4.88121947186044e-05
87	0.0015510482649634	4.5660910581366e-05
101	0.00132040175825227	4.16375145441908e-05
118	0.00110900659672873	3.83636405057231e-05
137	0.000919312843224172	3.51323355692829e-05
160	0.000702806413251221	3.20862652090469e-05
186	0.000620306808591038	2.94042671839264e-05
217	0.000494704732597745	2.69076290079799e-05
253	0.000361085961744331	2.45846580501864e-05
295	0.000242742966078507	2.23643189105711e-05
344	0.000170773079514989	2.03369865810369e-05
401	0.000183520364246914	1.85100314080786e-05
467	0.000104056875038829	1.69665766499216e-05
544	9.49376135520861e-05	1.51778335761345e-05
633	0.00012678571193445	1.35439935765293e-05
737	7.75429073775878e-05	1.21051476684354e-05
858	4.34186946404192e-05	1.08494093265203e-05
1000	7.06303160996311e-05	1.02636347492326e-05
