lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00331136014470399	0.000192049625375236
1	0.025887040830475	0.000119816048211737
2	0.059030235018838	0.000132428239543312
3	0.0548520624867658	0.000138984252477441
4	0.0444111359963758	0.000138555984292626
5	0.0355096163065702	0.000135410624573576
6	0.0283733631883654	0.000131821563726342
7	0.0232621808402334	0.000127732793470592
8	0.0198710559950782	0.000122317025035519
9	0.0175403930692702	0.000121303465158069
11	0.0139513949263662	0.000116362137313709
13	0.0115744102298562	0.000112143768712345
15	0.00979612728467649	0.000106301125969479
18	0.00806420577998303	0.000100708913794783
21	0.00683346500720259	9.50300976263968e-05
25	0.00567054895638549	9.01862796469991e-05
29	0.00481244855782838	8.55685053338466e-05
34	0.00412309893139323	7.88041414502156e-05
40	0.00338188514369452	7.30960231137449e-05
47	0.00278826444389217	6.8308569103732e-05
55	0.00243431208490756	6.41614804469415e-05
64	0.00206907311523963	5.90992141943813e-05
75	0.0016149623509708	5.50793884516423e-05
87	0.00144264740749824	5.14786126706671e-05
101	0.00124975900819402	4.6808617002599e-05
118	0.00103026728672166	4.30027260057219e-05
137	0.000865572563115742	3.9232188952721e-05
160	0.000702874792542177	3.57542683486694e-05
186	0.000630779187161651	3.28364033844548e-05
217	0.000517630036682626	2.99973663002661e-05
253	0.000404033504767914	2.72382144137129e-05
295	0.000258054287411974	2.4747365233317e-05
344	0.000235981391233153	2.24681446710983e-05
401	0.000195707386404056	2.03745449153246e-05
467	0.000177279761057075	1.85669481983673e-05
544	0.000115242730915179	1.66688075940047e-05
633	0.000144108212160452	1.48565451916104e-05
737	7.94131686820217e-05	1.32614489224652e-05
858	4.3146556618599e-05	1.18674564529939e-05
1000	5.38150883263693e-05	1.12574315537371e-05
