lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00077957095486756	0.000136901973168638
1	0.0105147041136336	8.2087549433546e-05
2	0.0352453239315292	8.79616134777499e-05
3	0.0362331554939539	9.22381676680212e-05
4	0.030498084309465	9.38227231462516e-05
5	0.024963583896789	9.34263437940715e-05
6	0.0205500190763329	9.24918659211301e-05
7	0.0174533041273304	9.13548864488981e-05
8	0.0150424232008509	8.88721054488455e-05
9	0.0132237912776155	8.90597895550159e-05
11	0.0106609464840503	8.6838414681916e-05
13	0.00913528874327776	8.46540704899368e-05
15	0.00808513653604978	8.07412899722701e-05
18	0.00693216837508149	7.69939495087699e-05
21	0.00618651338758777	7.30698843051107e-05
25	0.00539817357974995	6.97009013246805e-05
29	0.00470940412037799	6.67151878952654e-05
34	0.0041772205693906	6.24882899118544e-05
40	0.00362438150644326	5.88922851205953e-05
47	0.00311227744093305	5.58948753611918e-05
55	0.00271128844795745	5.33102433735072e-05
64	0.00232957883514608	5.03162523146023e-05
75	0.00193978081874841	4.77981659191897e-05
87	0.00168514601592156	4.55711987781738e-05
101	0.00141685816681702	4.26194391232653e-05
118	0.00125283338076379	4.01228164221727e-05
137	0.00104552302915604	3.74985134716353e-05
160	0.000875303684206238	3.49012721479937e-05
186	0.000752751157195323	3.2442287542179e-05
217	0.000632698651898398	3.00362428040722e-05
253	0.000528908466145486	2.77901672594967e-05
295	0.000372578518209495	2.54147955059962e-05
344	0.000327027504258381	2.32573806358271e-05
401	0.000261578194771172	2.11849477793096e-05
467	0.000188995198566942	1.94059058666614e-05
544	0.000149755483019265	1.74340645240043e-05
633	0.000133466344981788	1.55778524358137e-05
737	9.87828675398609e-05	1.37712621490103e-05
858	8.61639651649545e-05	1.22796935398584e-05
1000	9.20113491951447e-05	1.15169798347387e-05
