lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.000310574736534528	0.00014117361546644
1	0.00624719191026002	8.36996702241949e-05
2	0.0315923281054707	8.98855917299277e-05
3	0.0388611340584039	9.47008780826567e-05
4	0.0345272771193761	9.66699952973909e-05
5	0.0293785280836646	9.68695920053138e-05
6	0.0247380367161558	9.63249476571661e-05
7	0.0209818362505342	9.5132402847298e-05
8	0.0181549968468115	9.2356208453998e-05
9	0.0160499147336268	9.24244490511629e-05
11	0.0128775407403371	8.98881569419435e-05
13	0.0108970357632598	8.75641264867882e-05
15	0.00942403454396958	8.31375873337014e-05
18	0.00784184552616668	7.886386178081e-05
21	0.00673969557561309	7.44696801747608e-05
25	0.00570244095874831	7.06868038283071e-05
29	0.00487103722664853	6.74489218245462e-05
34	0.00424284903976161	6.293354661082e-05
40	0.00357148064422533	5.91807606931298e-05
47	0.00294012372212048	5.61102515999232e-05
55	0.00252101487276723	5.34468065060737e-05
64	0.00215060593446009	5.04118712971717e-05
75	0.00170433988239788	4.79102469756418e-05
87	0.00148651698482736	4.56928793911475e-05
101	0.00124139034529608	4.26265867762081e-05
118	0.00109797168958571	4.00765810876764e-05
137	0.000901653077966589	3.74130182966619e-05
160	0.000699675657742724	3.48590176415697e-05
186	0.000626806128783838	3.23438536067847e-05
217	0.000557507570663714	2.99151161689651e-05
253	0.000455725046396752	2.76460604630344e-05
295	0.000296979500127406	2.52307568253378e-05
344	0.000268744329941332	2.30709827352424e-05
401	0.000213149784506137	2.10394253794352e-05
467	0.000161646129327805	1.925175004833e-05
544	0.000144054132040454	1.72983404562068e-05
633	0.000162361778055069	1.54339222486954e-05
737	9.25857529181328e-05	1.37143247340724e-05
858	7.91259915014381e-05	1.22129299260089e-05
1000	0.000104503790132108	1.14567036703401e-05
