lagtime	NRF_p<1.75|antQ0.00876-0.1	NRF_p=1.75-3.5|antQ0.00876-0.1	NRF_p=3.5-5.25|antQ0.00876-0.1	NRF_p=5.25-7.1125|antQ0.00876-0.1	NRF_p<1.6375|antQ0.1-0.2	NRF_p=1.6375-3.33333|antQ0.1-0.2	NRF_p=3.33333-5.0625|antQ0.1-0.2	NRF_p=5.0625-6.875|antQ0.1-0.2	NRF_p<2.25|antQ0.2-0.5	NRF_p=2.25-4.5|antQ0.2-0.5	NRF_p=4.5-6.75|antQ0.2-0.5	NRF_p=6.75-9.125|antQ0.2-0.5	NRF_p<1.9|antQ0.5-1	NRF_p=1.9-3.83333|antQ0.5-1	NRF_p=3.83333-5.8125|antQ0.5-1	NRF_p=5.8125-7.875|antQ0.5-1	NRF_p<2.4|antQ1-20.2	NRF_p=2.4-4.86667|antQ1-20.2	NRF_p=4.86667-7.3125|antQ1-20.2	NRF_p=7.3125-9.875|antQ1-20.2	se_p<1.75|antQ0.00876-0.1	se_p=1.75-3.5|antQ0.00876-0.1	se_p=3.5-5.25|antQ0.00876-0.1	se_p=5.25-7.1125|antQ0.00876-0.1	se_p<1.6375|antQ0.1-0.2	se_p=1.6375-3.33333|antQ0.1-0.2	se_p=3.33333-5.0625|antQ0.1-0.2	se_p=5.0625-6.875|antQ0.1-0.2	se_p<2.25|antQ0.2-0.5	se_p=2.25-4.5|antQ0.2-0.5	se_p=4.5-6.75|antQ0.2-0.5	se_p=6.75-9.125|antQ0.2-0.5	se_p<1.9|antQ0.5-1	se_p=1.9-3.83333|antQ0.5-1	se_p=3.83333-5.8125|antQ0.5-1	se_p=5.8125-7.875|antQ0.5-1	se_p<2.4|antQ1-20.2	se_p=2.4-4.86667|antQ1-20.2	se_p=4.86667-7.3125|antQ1-20.2	se_p=7.3125-9.875|antQ1-20.2
0.333333333333333	-0.00417247038870215	-0.00717561396034151	-0.00974595864381746	-0.021215110385789	-0.00284356225452608	-0.00985366519196185	-0.0197621328589172	-0.0241962903185017	-0.00794167080868977	-0.0201472141200664	-0.0539373635907964	-0.098801217154463	0.00770183515320742	0.0120685564377183	0.010657415089982	0.00539248261159981	0.0022282382648505	0.0416309344717718	0.0480586498137775	0.0356897061164695	0.00134921369791233	0.00277635445704205	0.0045103154764418	0.00750373641835606	0.00131536023948033	0.0024853438293068	0.0040901501243095	0.00661432955186738	0.00118729302303236	0.00239259637806423	0.00425156393090864	0.0071246299784648	0.00159849745653723	0.00271614101463847	0.00428569771779798	0.00723852383443315	0.00238498711578554	0.00369780808236234	0.00515065576033284	0.00776427739976746
1	-0.00210934742923059	-0.00382741950391183	-0.00311573936558072	-0.00477828458926899	0.000557758611542091	0.00346020374663363	0.00816782457427017	0.0302587863292253	0.00299046019311728	0.0252632581952251	0.0556690965152646	0.1025771084856	0.0149909642451252	0.0588091365855548	0.142097185192651	0.239776955784536	0.0240001947764246	0.146366386560905	0.338537840322906	0.551173501704321	0.000856973563724432	0.00178423772621861	0.00321624339077093	0.00529811328492127	0.000846167437032084	0.00161372212283526	0.0027649352036257	0.00480465942625668	0.000749538168598036	0.00155533007906311	0.00288474598334945	0.00492433907090869	0.0010436517833906	0.00178745631521301	0.00297881992861619	0.00537879645252975	0.00157328586110703	0.00232189491900078	0.00323776193756578	0.00500522765400865
2	-0.000463585439490502	0.00794007189651119	0.0341978509845078	0.0877284952978931	0.00462814445225527	0.0322701462242257	0.102237795705817	0.229751157083395	0.0175108672937957	0.12470365323433	0.383404136204704	0.726114467212959	0.0334457626464578	0.162098982046758	0.438301573468208	0.825481780524143	0.0738714759905557	0.365209006228637	0.866429930023845	1.58882814109298	0.000904609660101892	0.00190475625017144	0.00367358322681631	0.00595375031786297	0.000897108770774115	0.00174675412966609	0.00307335164905938	0.00552359075976309	0.000788079965353357	0.00169722696163549	0.00320558703143302	0.00557094375951215	0.00111073979149719	0.00194587362704616	0.00333721148807361	0.00626753993162025	0.00167883489165813	0.00244636894078492	0.00342095194471517	0.00534250822324782
3	0.000815903441230569	0.0185620286766972	0.0711729439247362	0.162308321217529	0.00578058557698519	0.051042124829442	0.155445346847744	0.298887833173171	0.0226848296649203	0.163152489198451	0.45346406201614	0.74483490589281	0.0364200051266729	0.180144096836265	0.437593409538357	0.735069627038929	0.084858214968884	0.35080912221713	0.708150435515475	1.06542648267392	0.000924621895696691	0.00196312878607474	0.00392282685364307	0.00628806057485166	0.000918423941647436	0.00181685126842312	0.00326751552246285	0.00590420018389925	0.000800992477163577	0.00178241752798893	0.00339400472604157	0.00595213921049466	0.00113407916291464	0.00204363309870796	0.00356188528237511	0.0067830924884056	0.00169765306349529	0.00248566148191855	0.00350445505880332	0.00552907999621537
4	0.00344462260266517	0.0286277009238204	0.075133208512149	0.125077660006257	0.00804125658472274	0.0564918516681121	0.146450285352188	0.22640140228542	0.0274370840882319	0.151462345987594	0.346908674167606	0.484434377431022	0.0369429903558076	0.159959438935056	0.346772040877129	0.502016664262846	0.0776750939667731	0.274748178096475	0.468884660465824	0.608658950310479	0.000937421023838338	0.00200662887002223	0.00409022343707608	0.00650815660966586	0.000932738205352482	0.0018697168159842	0.00341602697053291	0.00615313511830168	0.000808847443694009	0.00185682859434336	0.00354914257781941	0.00621744921156368	0.001146618498248	0.00212538844562781	0.00374530367913463	0.00710807215623624	0.00170598967939892	0.00251456307110742	0.00357019111879244	0.00563901836664961
5	0.00459849057233915	0.0301640333129711	0.0595669900012118	0.0640022926617971	0.0111367742610603	0.0550811663340013	0.115072002567852	0.149795261294146	0.0303152258421923	0.122084179037187	0.23407310607262	0.31025036315486	0.0363165992402265	0.133280626993251	0.2507484971987	0.338031858034971	0.0696740257796553	0.209366140026394	0.337598567102868	0.434536473896645	0.000945652184000963	0.00204519036142098	0.00420060433269183	0.00665989402432323	0.000942801342207554	0.00190998991584024	0.00351983003109887	0.00633260707396516	0.000815820483832532	0.00191474139845528	0.00367199720203371	0.00641319551296127	0.00115255829437366	0.0021920692557197	0.0038788647263601	0.00734076130924843	0.00171049657782767	0.00252832523591572	0.0036104292650409	0.00571005104700374
6	0.00535014866814128	0.0250989136194245	0.0439330264426117	0.0328441563794578	0.0113927599567478	0.0413465171467764	0.073687511672717	0.098739042797586	0.0305541950258065	0.0913208406823305	0.157471589304965	0.209173774087588	0.0337322017025518	0.10731573776546	0.183522048733684	0.23613226743073	0.0569873853822125	0.159857906782827	0.251047085199136	0.306068840500525	0.000951108758480361	0.0020752149111608	0.00427628003627897	0.00676931178411511	0.000949715568026703	0.00194157240377486	0.00358916748892706	0.00646131145499801	0.000820520330640628	0.00195550505000286	0.00376771166990627	0.00656187518407888	0.00115587359995608	0.0022381409300805	0.00397284178515801	0.00750548074823693	0.00170955343818766	0.00254341152291254	0.00364865654609931	0.00575588959340612
7	0.00535400942546385	0.0157594365468342	0.0272722800969645	0.015743371722577	0.00932392881023939	0.0310117871604768	0.0462741523957102	0.0631290531174488	0.0270177188825259	0.0725063241622393	0.116081777143616	0.159614539854795	0.0295271508717477	0.088347614350354	0.154224150013565	0.190635539192316	0.0493346163298364	0.121274506304083	0.189718156231073	0.221904172104903	0.000952729119088169	0.00208981033863143	0.00432683899116841	0.00683814789260932	0.000950003741269138	0.00195833986992189	0.00363490455469815	0.00654240904928469	0.000821387170953909	0.00198148382339016	0.00383192253961529	0.0066698682878555	0.00115382798689139	0.00226731872662608	0.00404317689607834	0.0076082718130719	0.0016997861708294	0.00254179297094479	0.0036604433786701	0.00577779174598307
8	0.00517251458517597	0.00736779789060444	0.013747192696373	-0.00237738546906344	0.00814160778450381	0.0232290466572796	0.0284151464621098	0.0397013399069583	0.0251870034251917	0.0634384228019005	0.0930590926524024	0.135491442684113	0.0265432103147301	0.0744737500209233	0.127142430839556	0.165891929896916	0.0449240626821753	0.108701430617014	0.153634841314524	0.188128039662909	0.000944861024784347	0.00208586734752753	0.00435648272460263	0.00686906839975921	0.000944083336889816	0.00196050533121789	0.00365352732932967	0.00660026731490152	0.000816770966617819	0.00199291446509133	0.00386177904760505	0.00673076012636312	0.00114684019957641	0.00227766118436425	0.0040801467386005	0.00767713192844502	0.00169642459371999	0.00255260932448658	0.00364846987481643	0.00576690318277102
9	0.00442801273089578	0.00383924704454563	0.0113121758593154	-0.00520155129258721	0.00837390780306528	0.0202255633069539	0.0229432105930275	0.0228850898905026	0.0223721947166382	0.0547992265553865	0.0804357408630526	0.121349403965303	0.0253758522532807	0.0661885573561962	0.103104652535306	0.127900579325577	0.0412129567210662	0.0913173820361703	0.131386111072611	0.169284088217164	0.000955997903960016	0.00210732790356151	0.00438391968013857	0.00691178119750294	0.000953749477614479	0.00198038258428241	0.00368470209655516	0.00665463138127334	0.000824376012600157	0.00201430547009389	0.00390076691099227	0.00678516974233182	0.00115398907149887	0.00229807506923905	0.00412128690323023	0.00771697212785202	0.00169553181106825	0.00255842358638574	0.00366439294932376	0.00579821261733157
