lagtime	wtd_avg_RRD_p|antQ0.00876-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.5	wtd_avg_RRD_p|antQ0.5-1	wtd_avg_RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
0.333333333333333	-0.00370809417178646	-0.00396992988956614	-0.00719025028285234	0.00548941590254295	0.00678180725359798	0.000973225589608588	0.000978953731264609	0.00071321361122495	0.000881456634063416	0.000909181938232774
1	-0.0015148960213996	0.00181746414740396	0.00574317695505836	0.0233499314550387	0.0424303304388095	0.000584046063125195	0.000595240298858982	0.000430322539804053	0.00054914263199872	0.000557606543811988
2	0.00383818561186786	0.0151368041006871	0.0325295061978731	0.0648865379591598	0.113224184987257	0.000597775427649641	0.000613624281115153	0.000442462099219546	0.000572296933000663	0.000577859869584863
3	0.00764443532917199	0.0204977653025426	0.0393346125185292	0.0649042016025627	0.0972134482661415	0.000602274596149553	0.000619722122595892	0.000445602069053023	0.000581006259449771	0.000577909226199011
4	0.00935074000096459	0.020367078792369	0.0363059891518299	0.054338020709721	0.070328253568433	0.00060604400649792	0.000624761327363091	0.000449479101131041	0.00058803072432234	0.000578802389188513
5	0.00859423346776325	0.0193906934565141	0.0315785668352147	0.0442891986159495	0.0543665340252596	0.00060892434054102	0.000628996471331009	0.000453793710608402	0.000592714750771635	0.000578067537852217
6	0.00741646471366731	0.0155688796506404	0.0268413504482375	0.0359606271132792	0.0416521603814084	0.000610878314875197	0.000632803442189209	0.000457118149886639	0.000595642844569047	0.000576161080106708
7	0.00573189416967083	0.0117049791016927	0.022397642495315	0.030311097842597	0.0327529521890009	0.00061110010887428	0.00063233905505463	0.000458963566842942	0.000596487367654401	0.000571284344759313
8	0.00418420666756767	0.00916685897877109	0.0201127671717282	0.0261986315167414	0.0285280486243577	0.000602756937337171	0.000625784234289349	0.000456122749378391	0.000592324288560914	0.000570502631829321
9	0.00324276715858736	0.00852205172160517	0.0176850360107436	0.0230988060942332	0.0248575567314022	0.000611324956185714	0.000633235724727803	0.000461473893989984	0.000597497428615364	0.000568847684510421
11	0.00252139727193615	0.00765534885781185	0.0143465075481258	0.0181621585470881	0.0172193005850693	0.000609260825793597	0.00063197696069259	0.00046136395324823	0.000598721389197357	0.000568632280768995
13	0.000830381726093313	0.00649626765135752	0.0115950593414459	0.0135483016073274	0.012419728524221	0.000607644497509893	0.00062992414023538	0.000460397626839727	0.000595303838256072	0.000558230923280078
15	0.000703272865602271	0.00556640684381668	0.0097707565876473	0.0111490590504834	0.0105513381029882	0.000592882354366782	0.000618138201874887	0.000452841983428562	0.000588775550292615	0.000557392395811761
18	0.000349649704931903	0.00525210818680553	0.00927533709367565	0.0110351866321401	0.00840201398784865	0.000578173985631534	0.000606096565089774	0.000445098192831574	0.00058103581363553	0.000551040171982846
21	-0.000594334413627055	0.00387553317419682	0.00844770804713182	0.00947373547853603	0.00654497994077132	0.000563661427222083	0.000590296713519459	0.000433867041184882	0.00057256977090041	0.000533896741753553
25	-0.000274716232509855	0.00269299123783056	0.00700375843038244	0.00840514423196723	0.00454544638956941	0.000549653884948428	0.000575945508928951	0.000424116370866728	0.000562331239169389	0.000521037897453597
29	-0.000372694619376812	0.00281152942849365	0.00603734994290984	0.00572416140862304	0.00355367323897028	0.000535227549404708	0.000563379929216836	0.000414924571486936	0.000550655876349221	0.000500152514722777
34	0.000241657052719419	0.00224414705176348	0.00532873975325893	0.0050645193156797	0.00306084177455608	0.000511143023618929	0.00054145457363418	0.000399122175640385	0.000529722532923734	0.000466590356795838
40	0.000263076250135016	0.00206303034448929	0.0037681414297086	0.00436752942242361	0.00210437409597391	0.000490579212035184	0.000523418313326064	0.000385381833707775	0.000511603058391996	0.000433532642542546
47	0.00073617319048671	0.00257027235506252	0.0030937476068961	0.00331562198261229	0.00198103742380738	0.000473735307877592	0.000507578846210965	0.000373695858753218	0.000493789580651162	0.000405119042650262
55	5.54039720513265e-05	0.00210459240884676	0.00283827096020996	0.00294839550698861	0.00252657204365233	0.000459977230331482	0.000494071446192012	0.000363613061304917	0.000477123142859315	0.000379481150177428
64	-2.80705377412403e-05	0.0018312937642671	0.00205176456011327	0.00210975017361029	0.000934445746042079	0.000442101245616932	0.000475779841012152	0.000350568284545722	0.000455144282575912	0.000348091167688312
75	-0.000370550263210521	0.00205166736056966	0.0017616102394537	0.00144014535652386	0.000787179820663878	0.00042656782974751	0.000459306197765993	0.000339652747029854	0.000437011305306705	0.00032237528326226
87	-0.000176274198903068	0.00154775768026183	0.00202633036171494	0.000739429201238624	0.000585355269802759	0.000411518411265824	0.000445219565579525	0.000329633109868991	0.00041685771417078	0.000298599532077702
101	-0.000455110347717968	0.00173520566699311	0.00119551847285763	0.00119515464821341	0.000569906068154191	0.000391930122307079	0.000422405642934364	0.000314478984055958	0.000391809306151529	0.000270659797429173
118	-0.000227711123276532	0.00107922974094683	0.00105859152043658	0.00111429354349084	0.000513262354301003	0.000374064545147546	0.000401758462950387	0.000301040403263352	0.000367945588589039	0.000246491459158929
137	-0.000285154162815456	0.000294620916357018	0.000871786639098218	0.000671475279844013	0.000182056149973618	0.0003558340566866	0.000381291466012971	0.000284606223011106	0.000343682418503746	0.000222289468159722
160	0.000139950071642709	0.000607848621656871	0.000541318547481258	0.00125460342483217	-4.4001237557109e-05	0.000335048456963201	0.000359018532296797	0.000270417199968044	0.000321932282109807	0.000201768503699552
186	-6.60326091021316e-05	0.000466254447199963	6.54416461840993e-05	0.000308451987170051	0.000142882852225137	0.000314824167417202	0.000336609482001208	0.000254050575701223	0.000300388888711419	0.000185789416717906
217	-3.44358408615467e-05	0.000224100393483924	0.000368157060322274	0.000495824285953074	-1.92860896519858e-05	0.000292725988722448	0.000317770830848107	0.000236142818468746	0.000277613828894883	0.000172601669630936
253	-0.000225934723231513	0.000451219658974708	0.000242015561943507	0.000600319894281465	-8.53794896851962e-05	0.000270117917186309	0.000296513843292817	0.000221686589394593	0.000257989035974168	0.000158666376114727
295	-0.000446282960415008	0.000237954276398239	9.79517138412397e-05	0.000368940477821167	-5.74005641435431e-05	0.000248795754658165	0.000277707896164847	0.00020504772613015	0.000235454137437402	0.000147195114743949
344	-0.000562156296964137	0.000495274190390912	4.58577972194407e-06	5.44552527974822e-05	9.78696878703001e-05	0.000229567395544533	0.000258828670210421	0.000187205454057452	0.000217373278999044	0.000136666652902299
401	-0.000499619309804427	2.62895565647375e-05	-1.60172483545753e-05	-6.4714957946452e-05	-2.20768908806575e-05	0.000213158980151845	0.000237792694017502	0.000170721140955229	0.000201451283796545	0.000125647295991784
467	-0.000261075424836441	0.000139819302821849	0.000110358354515978	0.000257628550675865	4.97085572549357e-05	0.000198901934079712	0.000219794601046417	0.00015470376845404	0.000183190602396784	0.000117200759480641
544	-0.000637198259374468	-0.000247971633660916	3.54207160553817e-05	0.000399019119282111	-0.000165627245314075	0.000185616788782822	0.000202265640143409	0.0001420273943715	0.000166916691098396	0.000107126169546993
633	-0.000214237929886337	-0.000464940761240707	4.68121256533692e-05	-0.000118038206076875	-0.000203645170559171	0.000172557234564351	0.000186489731577822	0.000130765783885675	0.000150438778760529	9.74403314478851e-05
737	-0.000214435229293865	0.000135459392449575	-0.000339897921106162	3.6728955248703e-05	0.000189780059814009	0.000159458723599048	0.000171548719924157	0.000116132313265629	0.00013609856337646	9.03729312110339e-05
858	-0.000122254411311202	-3.59933755769637e-05	-7.92687769238866e-05	-0.000131572526539858	0.000158061650261858	0.000146299412432864	0.000157556657514295	0.000105498560225887	0.000127719031406917	8.51073244514675e-05
1000	-0.000262837563268301	-0.000167634588799311	0.000244333220242715	-6.93282496281151e-06	8.42224743562114e-05	0.000137408922282651	0.000148457564815028	9.85462829785496e-05	0.000121127691348989	8.35913793705227e-05
