lagtime	NRF_p<1.875|antQ0.00876-0.1	NRF_p=1.875-3.83333|antQ0.00876-0.1	NRF_p=3.83333-5.8125|antQ0.00876-0.1	NRF_p=5.8125-7.875|antQ0.00876-0.1	NRF_p<1.875|antQ0.1-0.2	NRF_p=1.875-3.75|antQ0.1-0.2	NRF_p=3.75-5.625|antQ0.1-0.2	NRF_p=5.625-7.625|antQ0.1-0.2	NRF_p<2|antQ0.2-0.5	NRF_p=2-4|antQ0.2-0.5	NRF_p=4-6.09375|antQ0.2-0.5	NRF_p=6.09375-8.3125|antQ0.2-0.5	NRF_p<1.875|antQ0.5-1	NRF_p=1.875-3.75|antQ0.5-1	NRF_p=3.75-5.625|antQ0.5-1	NRF_p=5.625-7.5625|antQ0.5-1	NRF_p<2.3125|antQ1-20.2	NRF_p=2.3125-4.66667|antQ1-20.2	NRF_p=4.66667-7.125|antQ1-20.2	NRF_p=7.125-9.5625|antQ1-20.2	se_p<1.875|antQ0.00876-0.1	se_p=1.875-3.83333|antQ0.00876-0.1	se_p=3.83333-5.8125|antQ0.00876-0.1	se_p=5.8125-7.875|antQ0.00876-0.1	se_p<1.875|antQ0.1-0.2	se_p=1.875-3.75|antQ0.1-0.2	se_p=3.75-5.625|antQ0.1-0.2	se_p=5.625-7.625|antQ0.1-0.2	se_p<2|antQ0.2-0.5	se_p=2-4|antQ0.2-0.5	se_p=4-6.09375|antQ0.2-0.5	se_p=6.09375-8.3125|antQ0.2-0.5	se_p<1.875|antQ0.5-1	se_p=1.875-3.75|antQ0.5-1	se_p=3.75-5.625|antQ0.5-1	se_p=5.625-7.5625|antQ0.5-1	se_p<2.3125|antQ1-20.2	se_p=2.3125-4.66667|antQ1-20.2	se_p=4.66667-7.125|antQ1-20.2	se_p=7.125-9.5625|antQ1-20.2
0.333333333333333	-0.00352308839550187	-0.00742492585151411	-0.0120131429576985	-0.00360460288996222	-0.00243491806865394	-0.00520548470960321	0.0098993417728585	-0.059659480352426	-0.00175892072936252	-0.0038189435261315	0.0166270945312909	-0.0299213500060485	0.0300697348489478	0.0677250724087486	0.104370536370543	0.080866446705768	0.0904429859074158	0.187937354029408	0.287705297881729	0.453705749475428	0.00186084770812743	0.00378768306422074	0.00648186814802728	0.0096525765681149	0.00180922447365164	0.00365603163550778	0.00655389129162549	0.00984952209527101	0.001587053979193	0.00312430791575645	0.00500739714621985	0.00818267920215202	0.00247326226535887	0.00438337639845875	0.00629569100686409	0.0100457152877006	0.00384695365013659	0.00556371111599946	0.00737309985498967	0.011554238002833
1	-0.000949333442918465	0.00126112689211884	0.00808350466834701	0.0306080201153291	0.00360719387485185	0.0118222032892937	0.0796504628860767	-0.0132778467836861	0.00814469722754357	0.0548239006886973	0.163401012065021	0.264162009684103	0.0288112172003869	0.137135068399365	0.291991146986861	0.490010572655643	0.0662949678728131	0.253728100548487	0.567481599051507	1.09358885875672	0.0011124279837547	0.00231929137312754	0.0042563954422267	0.00684632316455941	0.00107970876826603	0.00221615423650783	0.00441761974750998	0.00676275121200866	0.000951536404735926	0.00194483596465384	0.00328516269089515	0.00550893633756262	0.00153524503414644	0.00275709470478471	0.004105001446028	0.0069162301502861	0.00238974074042868	0.00321751277373857	0.00443934020390312	0.00662492038162363
2	0.000143840041042258	0.0128765832111203	0.050867009349405	0.0848808307424289	0.0080096463997304	0.0429252797047627	0.1774097978766	0.119549211354474	0.0163161063318689	0.124267395958279	0.3364293300242	0.567076817643311	0.0333180625935511	0.198139436822528	0.449352055815027	0.77034636120228	0.0907108170866809	0.350949001045258	0.794143273524562	1.38899802942691	0.00113971508671676	0.00246067476941085	0.00456842963355476	0.00762031252456622	0.00110949248842239	0.00232407213995382	0.00482965261504425	0.00749723189179033	0.000975884040704387	0.00206143114857015	0.00359731106396267	0.00609281403751641	0.00158393129275913	0.002941098508748	0.00450986417664347	0.00765282545783947	0.00246926436444801	0.00327876243047606	0.00462580445540931	0.0068149929340187
3	0.00103981237594083	0.0239758285280156	0.0767952926125217	0.0739423541183627	0.00822600114662286	0.0539509148336538	0.179406922694517	0.129466348714033	0.0217485417529594	0.127251337375319	0.289762659979974	0.433531095493428	0.0364834269172182	0.180227602675054	0.345402102716166	0.532936749301004	0.0930904176470238	0.281661038481795	0.564187170084531	0.833761865763188	0.00114988125078488	0.00253786044291016	0.00472334120707687	0.00800185317217971	0.00112198991027085	0.00239329757277949	0.00506888034703278	0.00789387856518386	0.000985837944093607	0.00214322938188086	0.0037985844357645	0.00640277940841487	0.00159900898303497	0.0030500997422358	0.00480913678331617	0.00810498210070804	0.00249511715281212	0.00330131640382719	0.00475064727986292	0.00695701708890093
4	0.00183515897156536	0.0300158490790393	0.0653163060301645	0.0349894120088753	0.00935569387288459	0.0508391613690611	0.126566012236788	0.0526064281324437	0.0251434056046412	0.101293752407259	0.208144886670093	0.306037164312176	0.0413386791944914	0.15073516264848	0.248122326162006	0.30470191712577	0.0763715431876647	0.205902555576116	0.39083059894884	0.50705613085977	0.00115983144616701	0.00260775101580063	0.00485634448664055	0.00825993429398619	0.00113250281350164	0.00246407123263789	0.00526676203845459	0.00818912731523129	0.000993571687799681	0.00222165026994197	0.00395868625372702	0.00663922739814563	0.00161055031155921	0.00315121007737967	0.00505315990495984	0.00842873074232506	0.00251318855057908	0.00332377101382681	0.00481438864617914	0.0070361819015583
5	0.00555564887194874	0.0272673006248262	0.0459493623877267	0.00970550659306847	0.0133553300647965	0.0524383870675879	0.0768463751407415	0.0355886196486146	0.0231780491584032	0.079715490223031	0.155272720649717	0.238068735435351	0.0349496836112452	0.109037056361503	0.164723760964549	0.170024544428379	0.0532239505028257	0.138840946559689	0.263629094125009	0.329562861947528	0.00116951020628563	0.00266424226947282	0.00496428241658818	0.00847469398869245	0.00114227963538379	0.00251909703924535	0.00542420105919159	0.00842381417969112	0.00100039686547613	0.00228430004908224	0.00408162272023963	0.00683273612111333	0.00161834505015213	0.00323044582458403	0.00522941352743264	0.00869335213574513	0.00254238723774045	0.00334790650021193	0.00488808425635635	0.00712183523734525
6	0.00527115930049779	0.0156846014538332	0.0206487968728157	0.00519220824890663	0.0145407897310511	0.0426728166922379	0.0307454830471581	0.0382709943001876	0.0192367076533543	0.0635738662061734	0.109223470890775	0.137553424074327	0.0290587083141328	0.08961122591727	0.142111525683711	0.116571145149522	0.050542349786737	0.107622284402362	0.18576180354319	0.222490508249554	0.00117396367094312	0.00270433461432338	0.00503380023637863	0.00863528777930577	0.00114820114036797	0.00255623896698207	0.00553626440953096	0.0085909905860512	0.00100545298006815	0.00232562465737751	0.00417785159097149	0.00698164190734443	0.00162478664105232	0.00327990125912929	0.0053407543385824	0.00889727424085574	0.00254816241919053	0.00335903257347806	0.00494725260114513	0.00714160237154437
7	0.00228694441222674	0.00717265893880887	0.00335706945907841	-0.00308658644053273	0.012216619937977	0.0310448017383928	0.0191112777440907	0.0128858132410912	0.0201139468052775	0.0542674761134133	0.0871440191274361	0.0956421316083484	0.0247877711689211	0.0798293791065286	0.118206389110908	0.0790272847254496	0.0476946656032779	0.0778053403770132	0.148987163323655	0.172679683799804	0.00117533095900585	0.00273030537701029	0.00508050299018066	0.00873442887133421	0.00114970873827351	0.00258127258997479	0.00561145559450485	0.00870273450313707	0.00100668568840377	0.00235571206105131	0.00424513953780275	0.00708213381727505	0.00162399779879922	0.00331470503327926	0.00541648307013252	0.00903666841447922	0.00254868939968825	0.00335142393761898	0.00496155841253448	0.00716470132165618
8	0.00127324647776549	0.00139476167713517	-0.00485821899317888	-0.00774869001296112	0.00615340952979571	0.0217942433578521	0.01646684434737	0.00984195053090865	0.0165592026383204	0.0361698662939088	0.0655083482344681	0.0881840455809854	0.0238361733304551	0.0749865011659825	0.108188778971855	0.0396205534877613	0.0408673237487126	0.0645336272035798	0.137676796923586	0.165410115140449	0.00115493132636282	0.00272302828330765	0.0050742845206142	0.00877857537854146	0.00113250362271916	0.00257096902141112	0.00562702227273104	0.00873675063199979	0.000989047812091102	0.0023557401714335	0.00427176471545791	0.00713275650050976	0.00160182998825605	0.00330896627251734	0.00545451022647086	0.00909252015669038	0.00252217213509535	0.00332369137644222	0.00496787088894925	0.00709876152599973
9	0.00101151134374325	0.00330232063993851	-0.00275041117128939	-0.0104286903173425	0.005302004655224	0.0251721823714357	0.0220483493499603	0.0182792659680264	0.0133204474076793	0.0329254095921654	0.0709012006312096	0.0936238799734379	0.0207205359149372	0.068102240530777	0.0972795717453177	0.0256066351634256	0.0379962752245384	0.0595896853268381	0.127378200231919	0.161332862578364	0.00117439192099728	0.00275292236229714	0.00514075552972948	0.00886502047733922	0.00115125262075149	0.00260277702701635	0.00570150222189641	0.00881027331871754	0.00100660283022556	0.00239245520297926	0.00433479017329037	0.00722012659402721	0.00162664301446052	0.00335117386979177	0.00551379498999141	0.00918541088703867	0.00254345402049586	0.00333913549778757	0.00498941181762825	0.00710224362342581
11	-9.76982489294473e-05	0.000471457436347964	-0.0128764161781662	-0.0239390863662957	0.00547479786491424	0.0213267973377919	0.0188940782555528	0.0236945793873581	0.0116199666036683	0.0355395574881452	0.056164909470089	0.069451491676087	0.0165705180242802	0.049146904684817	0.071407035287466	0.0310091611657753	0.0306406305678377	0.0438543745033108	0.0802684133111889	0.110715465063618	0.00116853993290929	0.00275609334620654	0.00515256288203957	0.00891047904977278	0.00114845519078982	0.00260785647013112	0.00573674511087043	0.00886189094500443	0.00100258525177348	0.00240609398960571	0.00437282549817822	0.00727733324513219	0.00162421714403009	0.00335487264338506	0.00555409896206842	0.00926949301589747	0.00254710014080517	0.003331213464948	0.00499817504584797	0.00706490509623605
13	-0.000201842197566414	-0.00519767985900427	-0.0136051568413025	-0.0117477765374771	0.00454204909769779	0.014721249731211	0.0170283527126276	0.012995629699814	0.00992661193353024	0.0310578804864707	0.0385589575996878	0.0505130560221041	0.0136977460314571	0.0453977597977968	0.0676507419859439	0.00259382519999762	0.0243677641474766	0.0333052655687929	0.0510308192709197	0.0730965802873328	0.00116648418749003	0.00276135891827619	0.00516575981411601	0.0089368202843108	0.00114478929702472	0.00261847785518682	0.00576706963183065	0.00890947016513605	0.00100198617231865	0.0024162006064774	0.00440602434132578	0.00732364846104661	0.00161799899322873	0.00335874090636568	0.00557371008653789	0.00932659936382132	0.00254390251209822	0.00331823892459901	0.00500201790459228	0.00706833592803441
