lagtime	NRF_p<2.525|antQ0.00876-0.1	NRF_p=2.525-5.08333|antQ0.00876-0.1	NRF_p=5.08333-7.6875|antQ0.00876-0.1	NRF_p=7.6875-10.375|antQ0.00876-0.1	NRF_p<2.375|antQ0.1-0.2	NRF_p=2.375-4.75|antQ0.1-0.2	NRF_p=4.75-7.125|antQ0.1-0.2	NRF_p=7.125-9.625|antQ0.1-0.2	NRF_p<2.9125|antQ0.2-0.5	NRF_p=2.9125-5.83333|antQ0.2-0.5	NRF_p=5.83333-8.8125|antQ0.2-0.5	NRF_p=8.8125-12|antQ0.2-0.5	NRF_p<2.5625|antQ0.5-1	NRF_p=2.5625-5.16667|antQ0.5-1	NRF_p=5.16667-7.78125|antQ0.5-1	NRF_p=7.78125-10.4375|antQ0.5-1	NRF_p<3|antQ1-20.2	NRF_p=3-6|antQ1-20.2	NRF_p=6-9|antQ1-20.2	NRF_p=9-12.125|antQ1-20.2	se_p<2.525|antQ0.00876-0.1	se_p=2.525-5.08333|antQ0.00876-0.1	se_p=5.08333-7.6875|antQ0.00876-0.1	se_p=7.6875-10.375|antQ0.00876-0.1	se_p<2.375|antQ0.1-0.2	se_p=2.375-4.75|antQ0.1-0.2	se_p=4.75-7.125|antQ0.1-0.2	se_p=7.125-9.625|antQ0.1-0.2	se_p<2.9125|antQ0.2-0.5	se_p=2.9125-5.83333|antQ0.2-0.5	se_p=5.83333-8.8125|antQ0.2-0.5	se_p=8.8125-12|antQ0.2-0.5	se_p<2.5625|antQ0.5-1	se_p=2.5625-5.16667|antQ0.5-1	se_p=5.16667-7.78125|antQ0.5-1	se_p=7.78125-10.4375|antQ0.5-1	se_p<3|antQ1-20.2	se_p=3-6|antQ1-20.2	se_p=6-9|antQ1-20.2	se_p=9-12.125|antQ1-20.2
0.333333333333333	-0.00455972951538807	-0.0106877281242159	-0.0138968615702968	-0.0336610956294195	-0.00462008985973788	-0.0102320736758872	-0.0205817713565354	-0.0654623747375399	-0.00997859191637777	-0.0227691761091378	-0.0694684287473342	-0.14360720705105	0.0134755313977272	0.0440000294789823	0.0493407979422186	0.0882043749661787	0.0533249564129685	0.116694284070551	0.193541969890366	0.288620028512377	0.00100235628214885	0.00233578355475328	0.00450492599449936	0.00840492744604267	0.000957193043216712	0.00212531913765835	0.00437765088087977	0.00768192866776503	0.000809382345676483	0.00181383654766167	0.00381049152891658	0.00790627357924373	0.00122535205678385	0.0022803535125706	0.00398202938954319	0.00737002080666336	0.00185638095404802	0.00287456920143072	0.00433186213596335	0.00717720933460587
1	-0.00228093712915709	0.000193295752373652	0.0106899536981536	0.048538379848831	0.00138315365201058	0.0140660000998869	0.0620015141875237	0.0164234132670139	0.00715213353334174	0.0611943800790141	0.152021019425597	0.295261665136437	0.0319726966470928	0.151536650841132	0.32321231090189	0.615292974661445	0.0699059464094086	0.288425676763546	0.633490295708937	1.01014348270971	0.000607288455001297	0.00150383605310819	0.00316286466778819	0.00615666658431726	0.00058595538300566	0.00134997044193786	0.00302384033323553	0.00548104691951297	0.000490100439644964	0.00113489138056844	0.00256518238420108	0.00582083584329708	0.000769503580299977	0.00146815662938158	0.00275673295751979	0.00528019425135406	0.0011535033726134	0.00171831427617147	0.00266709738219033	0.00452419995789366
2	0.000393773135957226	0.028428218738105	0.08652552339889	0.20704085529072	0.00953646293266204	0.0703766692092444	0.255909312151226	0.34183616092604	0.0294112610985219	0.213622608720763	0.594783707618289	1.00691410428051	0.0603416481260397	0.324449623348262	0.75149377210022	1.31606526370478	0.137499144053825	0.546542422488448	1.23145652968014	1.92380297230866	0.000625172785606042	0.00161514213797573	0.00351279408517175	0.00693160430125111	0.000605494853606358	0.00144414568271578	0.00335583872707476	0.00612464180365802	0.000504035990128008	0.00121413547269262	0.00282947518321668	0.00662289147946741	0.000800556895299377	0.00158128935092735	0.00308862547307566	0.00598138313536349	0.00119019708606746	0.00176140702775649	0.00277359593755701	0.0047899530207393
3	0.00347360511264994	0.0521346091150427	0.124259644168451	0.191827852156652	0.0128724510666358	0.0976106071250234	0.286041998941977	0.342294168971271	0.0375101981348036	0.233140729608452	0.557543220880432	0.776394204370041	0.0654367350219383	0.300491433353026	0.623275643925583	0.892360243825566	0.132580983552416	0.451291438531949	0.851296780597192	1.16634403235774	0.000632319056078917	0.0016698160543199	0.00368167614823805	0.00730920506841371	0.000613484870976545	0.0014994862504189	0.0035297224863394	0.00643778328579563	0.000509953968806519	0.00126532973154445	0.00298792111898586	0.0070278899396574	0.000811312850881066	0.00166086827244348	0.00329414883344009	0.00635693415145619	0.00119678553974851	0.00177900615101923	0.00282156938805365	0.00491059510690386
4	0.00708998248849447	0.0558980267883545	0.0999169163559571	0.0880786428796226	0.0157830114804732	0.0902765136217406	0.20823146140685	0.170890833449992	0.0398612109427553	0.18715135310484	0.380423698395949	0.481155522189192	0.0627946627885723	0.231449463364662	0.414398519413575	0.541026328186891	0.109860983466869	0.328204392949225	0.540375747659098	0.654206285502743	0.000638270218659911	0.00171640864516665	0.00380290898193541	0.0075685276198065	0.00061942446075503	0.00154714640572206	0.00365865239214077	0.00666251381930077	0.000515496292032694	0.00131242792262332	0.00311104916502842	0.00729974067407615	0.000819736746977972	0.00173202186275353	0.00344106076461827	0.00661203451909459	0.00120131351959072	0.00179489105538266	0.00285585267665236	0.00501020603862802
5	0.00896222302022678	0.046223962208876	0.0557838741509567	0.00718141412091375	0.0188303387802012	0.0736483116528489	0.121625571682952	0.0934052878269632	0.0366479434036975	0.135968082046262	0.26039289479376	0.304642925405809	0.0520153987602471	0.172500406840955	0.283281726008257	0.396402611914895	0.0882769808924837	0.238823674550235	0.359659369237438	0.418316585620339	0.000643581952215627	0.00175333347751386	0.0038964046276907	0.00776822643455335	0.000625040347165132	0.00158439610552053	0.0037581016184251	0.00683934541695921	0.000520690908739309	0.00134935597655239	0.00320213200191143	0.00750733474449061	0.000826053880791804	0.00178570992426484	0.00355540432475344	0.00681097403348966	0.00120460509476896	0.00181061202248045	0.00288397453543821	0.00510247955263768
6	0.00807651378711981	0.0261167365005336	0.0171456313002716	-0.0113085560472992	0.0166306976505897	0.0481910388964544	0.0734151829221134	0.0655300664464491	0.0303792115080029	0.0960447305202358	0.174291684058935	0.195613662007051	0.0428028256359625	0.134667150952098	0.206084299339861	0.293966573300355	0.0700933285003223	0.180127308173234	0.271482991240636	0.316449854026171	0.000647116926447741	0.00177831829398455	0.00396332539624467	0.00790999647293662	0.000629465619781892	0.00161085010005011	0.00382977590410755	0.00696696033678503	0.000524047727039876	0.00137557345732323	0.00326649540250196	0.00765972947786042	0.000829357163167967	0.00182162041019445	0.00364195592203429	0.00695360607227247	0.00120585431121238	0.00182516248166867	0.0029010042638762	0.00516922549317981
7	0.00604543702185829	0.0125436359653618	-0.00301051998257172	-0.0104069115484213	0.0123511860162727	0.0335684349614753	0.0456197560368619	0.0196248390485548	0.0253761658087474	0.0752615552116748	0.130594607040678	0.148008993099601	0.0385901628172683	0.108031821770332	0.168268893996517	0.23559319525201	0.0565019909198801	0.13785009462607	0.199700943505713	0.244490551739512	0.000647575283421618	0.00179347450319225	0.00400400021884693	0.00799407741619779	0.000629715369308261	0.00162758891747777	0.00387609645756374	0.0070452143657098	0.000524557624484751	0.00139375973971406	0.00330912924117852	0.00775234528435108	0.000828629347425186	0.001846224530277	0.00370035415902375	0.00704204801187316	0.00119958803351197	0.00182545090120321	0.00290598609863073	0.00520892589263009
8	0.00482122263626976	0.00564492834331402	-0.01127270860785	-0.00821166527682725	0.00982226923775545	0.0262096837703439	0.0319183329500606	0.00830614709555431	0.0211239560952829	0.0592272643448671	0.108109290320044	0.152972074062916	0.0351811025655475	0.0949206362870018	0.140551288896192	0.196389875913353	0.0466571460588152	0.117779136870793	0.16692575202365	0.204270385688478	0.000638887393669119	0.00179077324107672	0.00401909278393385	0.00802927193796049	0.000621224654119352	0.00162539701864763	0.00389524947439403	0.00707708143898924	0.000517248080533293	0.00139510403188569	0.00332402353715786	0.00780691561628753	0.000818506126498821	0.00185130053133999	0.00372818132807677	0.00709175798593315	0.00118838551854363	0.00181834370148404	0.00287939987584469	0.00519562282627977
9	0.00390698871151367	0.00356008482900687	-0.0125761413502453	-0.013075690708358	0.00983382318243357	0.0245840929005566	0.0295054024137573	0.0186004063202461	0.0190751095908016	0.0540891283868594	0.100420531616102	0.134385504045609	0.0304953287620111	0.0802182686921015	0.119618485186149	0.155035061985938	0.0394446975593886	0.101457606182331	0.148347920379312	0.172341944090049	0.000648243717865092	0.00181032392663201	0.00405675914990791	0.00810375576832236	0.000631005895267003	0.00164574563708761	0.00393471284011598	0.00712651380452884	0.000525319651299883	0.00141512137160372	0.00336190432190194	0.00785914795975607	0.000829141057424632	0.00187349123147348	0.00376568571714647	0.00713857554985905	0.00119646097825251	0.00183029738360273	0.00290303748623978	0.00525210969318675
