lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.0239839960673939	0.000252371180910222	0.0163309808375374	0.000352411356098834
1	0.0290347364046641	0.000175726636702966	0.0184700311803332	0.000243852392864138
2	0.0333821437794663	0.000202097994595853	0.0230199338847815	0.000273126248848414
3	0.0310972544256991	0.000216299939256607	0.0234417920318892	0.000286588610471181
4	0.02756364916538	0.000224323512281513	0.0221292766114041	0.000292683519978376
5	0.0230984335202565	0.00022891727307368	0.0200006555081355	0.000295229538458971
6	0.0192420885908371	0.000231406535607872	0.0181400249940022	0.000296507858632644
7	0.015734489389662	0.000232854877963132	0.0161070034076802	0.000297285653278171
8	0.0133077755763448	0.000233746396571466	0.0135073472931219	0.000297623993330927
9	0.0114067298475902	0.000234245842436043	0.0116779776896971	0.000297876960365202
10	0.0106785355036227	0.000234602387818016	0.0109082647705148	0.000298093015452803
11	0.0100419785229579	0.000234927972086453	0.0102273003734751	0.00029840537559619
12	0.00926156953225587	0.000235169833783835	0.00948712493963422	0.000298646351136457
13	0.00839507500236726	0.000235348458430439	0.00872787753558747	0.000298817750217139
14	0.00749252769584527	0.000235470658201811	0.00810598140973123	0.000298925469765977
15	0.00683307251521172	0.000235574356829003	0.00743411554240721	0.000299031797537146
16	0.00655963977605942	0.000235657956997575	0.00700176564910682	0.000299146783589614
17	0.00586243914424521	0.000235701935283854	0.00662852488270821	0.000299209880218638
18	0.0051430969783381	0.000235701051015775	0.00594762197091112	0.000299206324147625
19	0.00437775813480027	0.00023567659311025	0.00503824400427693	0.000299174182038863
20	0.00403759634690744	0.000235668945556464	0.00493136717668661	0.000299155423580271
21	0.00398237655759861	0.000235639678999405	0.00496265652797795	0.000299099659326394
22	0.00346337524874285	0.000235624343062736	0.00432726817741721	0.000299120362411364
23	0.00304662726007301	0.000235602410942284	0.00357786377595501	0.000299105952108393
24	0.00308327452597766	0.000235592965146038	0.00368660487799785	0.000299111188637572
25	0.00268915094000039	0.000235606434229761	0.00372315245616597	0.000299180403002444
26	0.00216695037477766	0.000235607737176714	0.00310550743322287	0.000299239396022464
27	0.00203936284011277	0.000235592580253673	0.00258608288688357	0.000299232192629718
28	0.00193115164779667	0.000235555984605504	0.00227174050415489	0.000299189514350057
29	0.00171009277629544	0.000235525117502897	0.00218495570373355	0.000299171978657071
30	0.00166225020725978	0.000235432445095502	0.00192837986165506	0.000299127950913601
31	0.00145833190535697	0.000235357922683745	0.00147968038950055	0.000299123419620389
32	0.00133793655377256	0.000235308074757375	0.00142717583827875	0.000299101719409248
33	0.00126688184332473	0.000235278868125486	0.0014917314834963	0.000299018436418009
34	0.00159746484860329	0.000235267898502345	0.00179239795391541	0.000299000999753689
