lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
1	0.00144132400178796	9.12798371916983e-05	0.000879420117538956	0.000120525386397329
3	0.00273984012748672	7.0450929087581e-05	0.00126610595511325	8.95933603025611e-05
6	0.00500686343873778	8.36626619874264e-05	0.00189027011261939	0.0001019881388915
9	0.0071016190265089	9.01123527014749e-05	0.00263890562514317	0.000107217458670104
12	0.00721135033222419	9.34481174677961e-05	0.00307670772156464	0.000110075343712434
15	0.00772176838699667	9.54764897373079e-05	0.00373697455953816	0.000112261494770196
18	0.00823428681592942	9.69053246195203e-05	0.00425381689751764	0.000114076326161783
21	0.00779468082895489	9.79544695312876e-05	0.00417134744303579	0.000115429580769428
24	0.00624264048422448	9.87465650420703e-05	0.00389777016498597	0.000116318732647057
27	0.00472568290506255	9.92753937634059e-05	0.00352829615688447	0.000116976134267444
30	0.00365651977094153	9.97096292906676e-05	0.00316215148824922	0.000117566625864977
33	0.00301035941447657	0.000100051981415327	0.00277247872630815	0.000118161705450812
36	0.00258695937735979	0.000100347830737812	0.00242104650880027	0.000118734453100861
39	0.00213369890147271	0.000100619164871064	0.00193335698223344	0.000119271587570383
42	0.00182379851063808	0.0001008625631787	0.00162834314556997	0.000119789851333353
45	0.00177683268596177	0.000101075386509235	0.00149207345147297	0.000120216091103285
48	0.00180020599397305	0.000101254242753836	0.00153768577460219	0.000120569700773351
51	0.00168493378314326	0.000101405192768056	0.00149417734513544	0.000120881654371423
54	0.00146494087579968	0.000101484284138543	0.00113836038312123	0.000121173792761062
57	0.00133674175947326	0.000101540627827041	0.00110525901429386	0.000121442773442085
60	0.00127985624569459	0.000101579665615648	0.00110811293794285	0.000121661119767738
63	0.00135380753293509	0.000101607661503952	0.0012180503296016	0.000121828826987175
66	0.00142184297297948	0.000101628932298713	0.00104270445463431	0.000121974151259617
69	0.00129045453027721	0.000101638660814547	0.000915387847421519	0.000122128030132212
72	0.0012706687508722	0.000101645299151127	0.00100467017639593	0.000122237810632192
75	0.00132370501219685	0.000101640309976156	0.00120215451641393	0.000122253657294865
78	0.0012599285695991	0.000101638630681616	0.0011966901917915	0.000122279023993102
81	0.00108362335978086	0.000101633675508661	0.000986370385083966	0.000122328393791774
84	0.00107977139991956	0.000101645006701965	0.00106988045846342	0.000122447189598877
87	0.00107720465457398	0.000101662365014265	0.0011833740835544	0.00012258422714383
