lagtime	wtd_avg_RRD_p|antQ0.00876-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.5	wtd_avg_RRD_p|antQ0.5-1	wtd_avg_RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
0.333333333333333	-0.00448193508708075	-0.00372644417162254	-0.00633243637220407	0.0109763374991922	0.0266827578655036	0.000612769281062504	0.000598097011224189	0.000457257093058841	0.000584761586173075	0.000638737627583935
1	-0.00140430683981042	0.00431062913287286	0.0106886103488949	0.0357948264063588	0.0574255044459014	0.000351611948949109	0.00034463962086164	0.000262104361301035	0.000346227634405438	0.000367556673702802
2	0.00391926093244761	0.0188383481732435	0.037004704573619	0.074869771105536	0.115300619142092	0.00036557964263088	0.000358947755854916	0.000271869574009546	0.000365693174911589	0.000380739312710845
3	0.00789566145686881	0.0235188170872605	0.0407385172148969	0.0685727191588814	0.0944665843352274	0.000370492221572164	0.000365507174949663	0.00027682257619831	0.000376387182826607	0.000381876176298994
4	0.00940624266127167	0.0220977273548919	0.0359397676495937	0.0550326946401263	0.0699303988816708	0.000373335330789059	0.000369380126684814	0.000280729261992246	0.000383982896862464	0.000382245163763345
5	0.008447315492118	0.0195347664746984	0.0292480121247767	0.042354222609179	0.0522739529665442	0.00037488194610625	0.000371465127455806	0.000283633072477941	0.000389316331566805	0.00038293572326192
6	0.005398160407364	0.0148012736721855	0.0226694458967554	0.0329588623478811	0.0402876037277616	0.000375731400107295	0.000372830454148055	0.000285780684059585	0.000392516929342927	0.00038405717497547
7	0.00320846431946905	0.0107529147763991	0.0183700545498387	0.0272045015373957	0.0318781105126362	0.000376227735799294	0.000373555362246212	0.000287209216940438	0.000394524194363904	0.000385185732447539
8	0.00197549679044291	0.00878437845822385	0.0149990639670838	0.023807998908757	0.0262521059739229	0.000376498727683428	0.00037401761327902	0.000288240986900198	0.000395643769891713	0.000386160364524159
9	0.00107605170259018	0.0088008682078905	0.0143091750020169	0.0201352499465386	0.0229027327371501	0.000376700602682693	0.000374346490423533	0.000288969106438804	0.000396360743292238	0.000386871253427919
10	0.00058459868950031	0.00809797281322984	0.0128535215515017	0.0171624877750348	0.019546470572459	0.000376853349479171	0.000374595908947535	0.000289510271408256	0.000396917340920813	0.000387571810503027
11	0.000144260768171307	0.00670327377544889	0.0117392378440361	0.0153776806254608	0.0162171336617407	0.000376972076417138	0.000374780333475866	0.000289893614243589	0.000397455323040024	0.000388036052270281
12	-0.000320924032304206	0.00636051608066766	0.0112391537932573	0.0139046883723138	0.0148222273327948	0.000377049928447801	0.00037497804073004	0.00029021833834777	0.000397897903375275	0.000388393858282684
13	-0.000652658698856113	0.00616103392809019	0.0103013558843296	0.0135881390687275	0.0125636932546836	0.000377113605253899	0.000375038850699927	0.000290521452723421	0.000398384338817048	0.000388624193658255
14	-0.00125036671325254	0.00584638321099141	0.00968377431871073	0.0122083098812028	0.0119285302363875	0.000377162010404368	0.000375179493671894	0.000290734974775995	0.000398826410122444	0.000388791160220137
15	-0.00110331059549932	0.00532805616682413	0.00862264864987598	0.0110901880943446	0.010904503103167	0.000377205404343932	0.000375325294069995	0.000290859142695533	0.000399208291235837	0.000388970391859776
16	-0.000908829911241841	0.00557147138859719	0.00854126574963388	0.0110531226369793	0.00954584723970751	0.000377257793450002	0.00037542985457702	0.000291034681933351	0.000399489298614092	0.000389046707520956
17	-0.000916423177868722	0.00488947791743194	0.00819863365514242	0.0116872891222338	0.00827651958504679	0.000377299045103707	0.000375542516934216	0.000291158352484575	0.00039977014650404	0.000389072579600098
18	-0.00121218126023359	0.00512644648439555	0.00757028152452097	0.0100978057140378	0.0073052504533368	0.000377319999134005	0.000375683323779323	0.000291273283606492	0.000399966885086571	0.000389114730938117
19	-0.00133865689556651	0.00494885531681344	0.00814841962441268	0.00974087322116523	0.00652795863228845	0.000377342606965622	0.000375816318849363	0.000291424539251165	0.000400126577832056	0.000389235062028314
20	-0.0015448518456316	0.00434234962503932	0.00733843976078897	0.00926372321808112	0.00602676774291659	0.000377365900469748	0.000375907281987612	0.000291549722038341	0.000400252426877403	0.000389321950203483
21	-0.00154259551698537	0.00475132148417286	0.0075997473603121	0.00912677995700528	0.00572343640823423	0.000377404995126724	0.000376011385404081	0.000291636306521938	0.000400407830422588	0.000389421606547777
22	-0.00151622922363235	0.00379521412390946	0.0072209501991436	0.00831994009951595	0.00621258230376861	0.000377417396480593	0.000376128960811272	0.000291709644036661	0.000400565190030793	0.000389505959868188
23	-0.00136455104549567	0.00404773693276978	0.00671995443493726	0.00831279794602515	0.00575325122273761	0.0003774395824544	0.000376233033937935	0.000291822275024882	0.000400677977775226	0.000389511044443733
24	-0.000931037669647387	0.00384636195567972	0.00639328239028202	0.00762565889517345	0.00424202955488164	0.00037748509869762	0.000376326096422143	0.000291909080060522	0.00040081291726958	0.000389544749434421
25	-0.000761561570779982	0.00330552980220754	0.00661761102416069	0.00742375101915747	0.00421583616552708	0.00037748043636363	0.000376442795029624	0.000292059280338985	0.000400917639047024	0.000389555857718652
26	-0.000918446874173354	0.00350034506739051	0.00673898875818147	0.00694165684353168	0.00362034072336415	0.000377551501394504	0.000376545805815813	0.000292145437456687	0.000400959862755912	0.000389581027175903
27	-0.00115594538727723	0.00430965695232401	0.00615918785712922	0.00592460489334759	0.00383300599855457	0.00037758402903885	0.000376647335121684	0.000292232132454101	0.000401006459942726	0.000389638640624294
28	-0.00142816468024542	0.00404012489197703	0.00588093184673676	0.00656401236920892	0.00294537220164997	0.000377642022279567	0.000376715059628531	0.000292334051505683	0.000401051520793115	0.000389684530179755
29	-0.00174248265205552	0.00418540419340845	0.00629499491585404	0.00588383018566912	0.00257304758154491	0.000377718089347368	0.000376775651390649	0.000292412726753856	0.00040111280008062	0.000389730761342335
30	-0.00169397267852264	0.0040647636522653	0.00627527755293092	0.00749182308212346	0.00286393004597347	0.000377749269120737	0.000376892727075353	0.000292460598988967	0.000401161535289432	0.000389768629783629
31	-0.00186794620431841	0.00427391649058802	0.00571402061643709	0.00596149756778977	0.00306235159719422	0.000377765047098594	0.000376972855646707	0.00029250189367487	0.000401275041796428	0.000389804775859584
32	-0.00133344825040251	0.00396355455703901	0.00516751625649432	0.00643089220870635	0.00252016860663582	0.000377759588203221	0.000377046944975184	0.000292539896573999	0.000401293574715687	0.000389837986083034
33	-0.00118710765229491	0.00355832187473965	0.00550282277543612	0.00565261264661117	0.00196603034727751	0.000377745359803971	0.00037710592450114	0.000292541726166523	0.000401311980740632	0.000389825932653116
34	-0.000918728734531275	0.00301836984762479	0.00531383473180566	0.00592476931791214	0.0022190810694676	0.000377759931477313	0.000377151447810281	0.000292551134842584	0.00040131166856472	0.000389791826154793
35	-0.000928206018482272	0.00318967995343649	0.00559269546976438	0.00550547933472559	0.00298854847634584	0.000377756441899335	0.000377200747513239	0.000292576715281675	0.000401298362369621	0.000389779419734048
36	-0.000723699524273546	0.00352819850224674	0.00519915081195576	0.00600756711306092	0.00272325214070242	0.000377792249149984	0.000377250933778013	0.000292630482506645	0.000401283017324929	0.000389772722621462
37	-0.00052189847977519	0.00374120750642863	0.0050776020734472	0.00676631644639215	0.00266618080709586	0.00037779805259538	0.000377310242294923	0.00029268755268135	0.000401252081347089	0.000389744393461083
38	-0.000273579074860432	0.00317546642210266	0.00467137956986178	0.00600647566682898	0.00216265654138759	0.00037780764489317	0.000377356674232285	0.000292737347625554	0.000401219147439178	0.000389728224213066
39	-0.000639073629354411	0.00288575923736346	0.00499857786949228	0.00711554660223916	0.00360585374227573	0.00037782096641226	0.00037740878094842	0.000292756409950837	0.000401212547464549	0.00038968280186513
40	-0.000817777087077588	0.00252050751058759	0.00469022744654017	0.00531704225939886	0.00260301319931406	0.000377834013117311	0.000377451703706793	0.000292798659322342	0.000401203017524336	0.000389672885398389
41	-0.0011304292300125	0.00256693973901155	0.00442041233658897	0.00513301606951337	0.00260551275221087	0.000377823087993062	0.000377578052115442	0.000292813427642719	0.000401191398185461	0.0003896570622161
42	-0.00132590056475953	0.00344583457625262	0.00409921438139915	0.00525732930894309	0.00265304825749562	0.000377830841758306	0.000377653889230002	0.00029281817946184	0.000401146139525878	0.000389633189760359
43	-0.00153758830052789	0.00364828254093316	0.0039350136147072	0.00443561060814681	0.00255834875937663	0.000377855937960648	0.000377694675866423	0.000292848276296809	0.000401124145900243	0.000389608077005685
44	-0.00160565711137126	0.00231923693979972	0.00408360273841666	0.00397189277262643	0.00287785044521775	0.000377905665749897	0.000377711714146266	0.000292887614462714	0.000401130447124373	0.0003895954976083
45	-0.00111107893291757	0.00215423378355968	0.00356948167047196	0.00391272541708912	0.00299720756285741	0.000377920466554264	0.000377731899347695	0.000292935891838197	0.000401126459401987	0.000389529349699398
46	-0.000864185483867104	0.00265552551475755	0.00355837774171171	0.00453544743162198	0.00288197321018803	0.000377877089327997	0.00037775850984335	0.000292964929808399	0.000401104779513336	0.000389466822162907
47	-0.000563305454433599	0.00285161324461964	0.00357154581325213	0.00413932830824183	0.00231037901114035	0.00037781141182455	0.000377755974259456	0.000292995581938163	0.000401119254274787	0.000389462244021878
48	-0.000715623682715317	0.00250248295864509	0.00346569485956331	0.00350332746229511	0.00227819777435412	0.00037779544105526	0.000377836277614234	0.000293018611704226	0.000401108742243336	0.000389422149896497
49	-0.000842323626230729	0.00303906704226418	0.00416041247021844	0.0031227384399372	0.00244317703964401	0.000377791368475438	0.000377926066417886	0.000293044397312849	0.000401103684808212	0.000389261738325973
50	-0.00112497429195596	0.00301576523091717	0.00413754699849961	0.00421826078784184	0.00188966211194484	0.000377798176902131	0.000377962722287483	0.000293058643018726	0.000401092573171162	0.00038924328511365
51	-0.00148607159608316	0.00233855029883469	0.00416267135532062	0.00397831047976259	0.00156536880078502	0.000377818441462249	0.000377993707575201	0.000293052323010428	0.00040108746187323	0.000389229048671723
52	-0.00149341477000812	0.00270823377963644	0.00327403172450913	0.00369876273358997	0.00163669273643672	0.000377827950219251	0.000378019152499045	0.000293049140646015	0.000401016683361796	0.000389211202617655
53	-0.00162206850679913	0.00310604404829211	0.00304581173603418	0.00301727395638885	0.00192139261597702	0.000377839072332419	0.000378036883064429	0.000293030069659644	0.000400974680457939	0.000389191400044803
54	-0.00108155348382791	0.00233374430820416	0.00268116469541531	0.00238289209227009	0.00258874392104775	0.000377849533004042	0.000378054261230223	0.000293026817398125	0.000400945760530725	0.00038915328419772
55	-0.000761170256407849	0.00245458126415312	0.00341890714327293	0.00197982223880213	0.00252980350427347	0.000377836816698915	0.00037808609014574	0.000293001479668475	0.00040096877433236	0.000389141246577508
56	-0.00153266261917442	0.00272911145166315	0.00340423362360176	0.00240425203123357	0.0021248861034052	0.000377820848899214	0.000378088939117313	0.000292986560767371	0.000400975574055675	0.000389134042694923
