setwm_label	lwr_antQ	upr_antQ	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<3|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	1.3767550503099	1.3767550503099	4.82168870476486	0.10987549497727	0.010647359209786	0.000536734305393444	4.2344166739043	0.289664143567369	-0.0738672461654439	0.00484165534308403	-0.101697104210759	0.00666577344545083	15544
p=3-6|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	4.29065142370284	4.29065142370284	3.5691689962139	0.0718688785977642	0.0734102982823173	0.00320580690064252	3.55317353220558	0.11943119573186	-0.0507194939716759	0.00506283912700942	-0.217619669019059	0.0217228779082814	979
p=6-9|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	7.36430559399699	7.36430559399699	2.77654061051699	0.0438065670907056	0.170168270587123	0.00629689260484873	2.74139637821428	0.0936851677526764	-0.0857978940971735	0.00878479924098062	-0.631841911452976	0.0646939461924941	140
p=9-12|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	10.3451800771759	10.3451800771759	2.56086398500192	0.0821020299627883	0.328615279537712	0.0265413360983425	2.74764576042513	0.173723884193274	0.0164275964242458	0.0114867035499415	0.169946443243994	0.118832016717281	29
p<3|antQ0.1-0.2	0.1	0.2	0.147442481394474	1.40619858989424	1.40619858989424	4.53223416004999	0.0647623886895481	0.0266955896308628	0.000588969070966486	7.11119427181982	0.434643117344896	0.375467505620257	0.00475555609013897	0.527981876954313	0.00668725626811639	15555
p=3-6|antQ0.1-0.2	0.1	0.2	0.147442481394474	4.27622556966741	4.27622556966741	3.13865457604151	0.208295260452119	0.146532558892542	0.00947569678657077	3.82110728216709	0.147704120478945	0.331315391201859	0.00519878637985093	1.41677934748175	0.0222311832487572	1013
p=6-9|antQ0.1-0.2	0.1	0.2	0.147442481394474	7.29600853231846	7.29600853231846	2.71201492715318	0.084393550579397	0.439685982336497	0.0294904777969124	3.16934563020187	0.131388448424114	0.322205228722304	0.00883671703566775	2.35081209791555	0.0644727628899158	135
p=9-12|antQ0.1-0.2	0.1	0.2	0.147442481394474	10.3325250357654	10.3325250357654	2.31504947762852	0.0195018689039173	0.615544180500092	0.0110772208316677	2.05691148942337	0.0365415708602089	0.170245768754002	0.0141079632170429	1.75906866788384	0.145770883143753	23
p<3|antQ0.2-0.5	0.2	0.5	0.326744337939165	1.46391441662746	1.46391441662746	3.89549072571639	0.0721713685447139	0.0431431229185248	0.000790314602722948	7.6743476957752	0.433707027142783	0.621605672385762	0.00381127218404424	0.909977505262925	0.0055793762959136	24320
p=3-6|antQ0.2-0.5	0.2	0.5	0.326744337939165	4.34993100447328	4.34993100447328	2.86857118812847	0.0896104593270713	0.27751567616543	0.0136203587025143	4.08369840530642	0.155310439419555	0.611690011807974	0.00373796808170077	2.66080934749013	0.0162599032523217	2096
p=6-9|antQ0.2-0.5	0.2	0.5	0.326744337939165	7.21921261433347	7.21921261433347	2.69073106275355	0.124499773132614	0.655367300951676	0.066709002361013	3.32888048786039	0.326885902998747	0.587629705653692	0.00539765295918081	4.2422237836122	0.0389668043307125	346
p=9-12|antQ0.2-0.5	0.2	0.5	0.326744337939165	10.2167521752175	10.2167521752175	2.24710799542607	0.00716070177040912	1.0705196747044	0.00701149239744648	2.78281793279272	0.129490991868689	0.601712964959902	0.00882555284015385	6.14755224361066	0.0901684861771391	63
p<3|antQ0.5-1	0.5	1	0.700732390774238	1.54812726894007	1.54812726894007	3.23917442999286	0.138056189858095	0.0854773484276036	0.00456659339361608	6.40609423604894	0.424905787988783	0.806282018804956	0.00559546860791256	1.248227179768	0.00866249753440756	10041
p=3-6|antQ0.5-1	0.5	1	0.700732390774238	4.41396605709337	4.41396605709337	2.63180842031593	0.140123727227769	0.42204152086038	0.0393096488939279	3.91455106614867	0.34044333858355	0.81677374602818	0.00507090955648875	3.60521159129339	0.0223828226609317	1297
p=6-9|antQ0.5-1	0.5	1	0.700732390774238	7.35452499470451	7.35452499470451	2.21040510165483	0.00470871884347689	0.988597309214162	0.00400491663197337	3.07595129566505	0.151271841980059	0.743008959170446	0.00691837970337643	5.46447796150843	0.0508813964513383	244
p=9-12|antQ0.5-1	0.5	1	0.700732390774238	10.2490694383979	10.2490694383979	2.09782522480623	0.00506112323150186	1.524018623154	0.0089650358166585	2.50462337363664	0.0301333041008859	0.73515280338239	0.0108033351286817	7.534632129699	0.110724131900142	51
p<3|antQ1-20.2	1	20.18325015	2.14171186822828	1.81372137801361	1.81372137801361	3.16349564181671	0.168598257392361	0.138480219192046	0.0105109760975205	5.8707274220503	0.441612998828559	0.796417400199309	0.00686359389794752	1.44447926456351	0.0124486469827112	6327
p=3-6|antQ1-20.2	1	20.18325015	2.14171186822828	4.4765794290306	4.4765794290306	2.56073005662097	0.16418768553967	0.527438938799446	0.0562658475622425	3.91724200828502	0.39750391482955	0.764423725438115	0.0042239449315453	3.4220035243592	0.0189088249899138	1803
p=6-9|antQ1-20.2	1	20.18325015	2.14171186822828	7.32885229720029	7.32885229720029	2.12042684788698	0.00218104878253329	1.22949606155332	0.00273886892494493	2.91685221938349	0.1232214140968	0.830422971384759	0.00406105002151902	6.08604730148108	0.029762835779255	512
p=9-12|antQ1-20.2	1	20.18325015	2.14171186822828	10.3049292318229	10.3049292318229	2.04723832669461	0.00211392353196712	1.89977011269755	0.00487306014936035	2.40846438305993	0.0279079677413925	0.714854308528481	0.00528275213147366	7.36652306044966	0.0544383868640974	128
