lagtime	NRF_p<2|antVPD-0.0951-0.0932|antQ0.00876-0.1	NRF_p=2-4|antVPD-0.0951-0.0932|antQ0.00876-0.1	NRF_p=4-6|antVPD-0.0951-0.0932|antQ0.00876-0.1	NRF_p=6-10|antVPD-0.0951-0.0932|antQ0.00876-0.1	NRF_p<2|antVPD-0.0951-0.0932|antQ0.1-0.2	NRF_p=2-4|antVPD-0.0951-0.0932|antQ0.1-0.2	NRF_p=4-6|antVPD-0.0951-0.0932|antQ0.1-0.2	NRF_p=6-10|antVPD-0.0951-0.0932|antQ0.1-0.2	NRF_p<2|antVPD-0.0951-0.0932|antQ0.2-0.5	NRF_p=2-4|antVPD-0.0951-0.0932|antQ0.2-0.5	NRF_p=4-6|antVPD-0.0951-0.0932|antQ0.2-0.5	NRF_p=6-10|antVPD-0.0951-0.0932|antQ0.2-0.5	NRF_p<2|antVPD-0.0951-0.0932|antQ0.5-1	NRF_p=2-4|antVPD-0.0951-0.0932|antQ0.5-1	NRF_p=4-6|antVPD-0.0951-0.0932|antQ0.5-1	NRF_p=6-10|antVPD-0.0951-0.0932|antQ0.5-1	NRF_p<2|antVPD-0.0951-0.0932|antQ1-20.2	NRF_p=2-4|antVPD-0.0951-0.0932|antQ1-20.2	NRF_p=4-6|antVPD-0.0951-0.0932|antQ1-20.2	NRF_p=6-10|antVPD-0.0951-0.0932|antQ1-20.2	NRF_p<2|antVPD0.0932-2.59|antQ0.00876-0.1	NRF_p=2-4|antVPD0.0932-2.59|antQ0.00876-0.1	NRF_p=4-6|antVPD0.0932-2.59|antQ0.00876-0.1	NRF_p=6-10|antVPD0.0932-2.59|antQ0.00876-0.1	NRF_p<2|antVPD0.0932-2.59|antQ0.1-0.2	NRF_p=2-4|antVPD0.0932-2.59|antQ0.1-0.2	NRF_p=4-6|antVPD0.0932-2.59|antQ0.1-0.2	NRF_p=6-10|antVPD0.0932-2.59|antQ0.1-0.2	NRF_p<2|antVPD0.0932-2.59|antQ0.2-0.5	NRF_p=2-4|antVPD0.0932-2.59|antQ0.2-0.5	NRF_p=4-6|antVPD0.0932-2.59|antQ0.2-0.5	NRF_p=6-10|antVPD0.0932-2.59|antQ0.2-0.5	NRF_p<2|antVPD0.0932-2.59|antQ0.5-1	NRF_p=2-4|antVPD0.0932-2.59|antQ0.5-1	NRF_p=4-6|antVPD0.0932-2.59|antQ0.5-1	NRF_p=6-10|antVPD0.0932-2.59|antQ0.5-1	NRF_p<2|antVPD0.0932-2.59|antQ1-20.2	NRF_p=2-4|antVPD0.0932-2.59|antQ1-20.2	NRF_p=4-6|antVPD0.0932-2.59|antQ1-20.2	NRF_p=6-10|antVPD0.0932-2.59|antQ1-20.2	se_p<2|antVPD-0.0951-0.0932|antQ0.00876-0.1	se_p=2-4|antVPD-0.0951-0.0932|antQ0.00876-0.1	se_p=4-6|antVPD-0.0951-0.0932|antQ0.00876-0.1	se_p=6-10|antVPD-0.0951-0.0932|antQ0.00876-0.1	se_p<2|antVPD-0.0951-0.0932|antQ0.1-0.2	se_p=2-4|antVPD-0.0951-0.0932|antQ0.1-0.2	se_p=4-6|antVPD-0.0951-0.0932|antQ0.1-0.2	se_p=6-10|antVPD-0.0951-0.0932|antQ0.1-0.2	se_p<2|antVPD-0.0951-0.0932|antQ0.2-0.5	se_p=2-4|antVPD-0.0951-0.0932|antQ0.2-0.5	se_p=4-6|antVPD-0.0951-0.0932|antQ0.2-0.5	se_p=6-10|antVPD-0.0951-0.0932|antQ0.2-0.5	se_p<2|antVPD-0.0951-0.0932|antQ0.5-1	se_p=2-4|antVPD-0.0951-0.0932|antQ0.5-1	se_p=4-6|antVPD-0.0951-0.0932|antQ0.5-1	se_p=6-10|antVPD-0.0951-0.0932|antQ0.5-1	se_p<2|antVPD-0.0951-0.0932|antQ1-20.2	se_p=2-4|antVPD-0.0951-0.0932|antQ1-20.2	se_p=4-6|antVPD-0.0951-0.0932|antQ1-20.2	se_p=6-10|antVPD-0.0951-0.0932|antQ1-20.2	se_p<2|antVPD0.0932-2.59|antQ0.00876-0.1	se_p=2-4|antVPD0.0932-2.59|antQ0.00876-0.1	se_p=4-6|antVPD0.0932-2.59|antQ0.00876-0.1	se_p=6-10|antVPD0.0932-2.59|antQ0.00876-0.1	se_p<2|antVPD0.0932-2.59|antQ0.1-0.2	se_p=2-4|antVPD0.0932-2.59|antQ0.1-0.2	se_p=4-6|antVPD0.0932-2.59|antQ0.1-0.2	se_p=6-10|antVPD0.0932-2.59|antQ0.1-0.2	se_p<2|antVPD0.0932-2.59|antQ0.2-0.5	se_p=2-4|antVPD0.0932-2.59|antQ0.2-0.5	se_p=4-6|antVPD0.0932-2.59|antQ0.2-0.5	se_p=6-10|antVPD0.0932-2.59|antQ0.2-0.5	se_p<2|antVPD0.0932-2.59|antQ0.5-1	se_p=2-4|antVPD0.0932-2.59|antQ0.5-1	se_p=4-6|antVPD0.0932-2.59|antQ0.5-1	se_p=6-10|antVPD0.0932-2.59|antQ0.5-1	se_p<2|antVPD0.0932-2.59|antQ1-20.2	se_p=2-4|antVPD0.0932-2.59|antQ1-20.2	se_p=4-6|antVPD0.0932-2.59|antQ1-20.2	se_p=6-10|antVPD0.0932-2.59|antQ1-20.2
0.333333333333333	-0.00569048913086293	-0.0118070310997372	-0.0145932901247945	-0.0544793629813273	-0.00419230192454545	-0.0109590070825261	-0.023054249965547	-0.0352149809665575	-0.00550499270329155	-0.0191133004061742	-0.0259914065138387	-0.0879869393432697	0.015513197064741	0.0346894614095442	0.0492888076098576	0.0602070645903331	0.036107353206822	0.0868955533487926	0.124782786408273	0.223096675456207	-0.00386486455825767	-0.00732767570819607	-0.00389620468241722	0.000705376060994202	-0.00110885165809345	-0.00117625050217771	0.00292396672724335	-0.0220979325977117	-0.00495301940236082	-0.00299332528732497	-0.00189304150819888	0.000371829471963812	0.00403502236429706	-0.000940701654900435	0.038140153049729	0.121922200646844	0.00293772824243279	-0.0341115759599544	-0.18209950051001	0.00128428807465258	0.00111762061861272	0.00231664224007184	0.00404234293794669	0.00721572845319521	0.00104227455855273	0.00211754804161896	0.00381256630814464	0.00655369466258467	0.000878176723394109	0.00164182217324357	0.00255536482522731	0.00419245368788755	0.00132740208029681	0.00222300613322448	0.0032131260344524	0.0050819903540586	0.00196769093104164	0.00269439082992641	0.00324458806450876	0.00441224601057975	0.0015851437931239	0.00381833609241426	0.00701021232858787	0.0108808983966649	0.00187534295607798	0.00477346039600948	0.00878710870634151	0.0193996810680644	0.00156140898925619	0.00379931896229809	0.00789701929689175	0.0147383813763027	0.00251412988615946	0.00558867936759262	0.0101883926815208	0.0250658096874752	0.00440421925816374	0.00827030849402907	0.0151408716690945	0.0254905989453397
1	-0.0027819656020685	-0.00258543681776305	0.00668012955309938	0.00679813969990615	0.00232385853747706	0.0124687668959556	0.0343626415896796	0.103923885091457	0.00642680871056031	0.035521513735087	0.0948392393955789	0.18247529143897	0.0257846820891427	0.108289550142882	0.231122957194436	0.476786806258457	0.0255528236792075	0.141046339270032	0.325545549882668	0.691406270074769	-0.00130818433284851	-0.00100623279911682	0.0141808278669077	0.0352414284628775	0.00184001270891717	0.0114150359975074	0.0272428059872078	0.0486067067001703	0.00371064262196085	0.0265914370445481	0.0558049173516566	0.156640456894548	0.0139026817321326	0.0536736970546341	0.146081390236728	0.339134872726079	0.00763381027270358	0.0467279090535729	0.0880250325586493	0.408836401182407	0.000664867241080176	0.00144699675996068	0.00264954915347274	0.0050430865824604	0.000626588569613239	0.001308860604238	0.0025135840649059	0.00447665671626309	0.00052865273038943	0.00100332123435407	0.00163636144215343	0.00273117090957226	0.000822109220233294	0.00139810193712433	0.00210459973349297	0.00342442309845385	0.00124109408565036	0.00159896771391674	0.00191427553568079	0.00256706519805374	0.00106493974139798	0.00262992117795348	0.00504426940097277	0.00806613814759119	0.00124430514900096	0.00337922072446819	0.00651014842866122	0.0144748601706044	0.00103132911624233	0.0026915407858103	0.00584992113621568	0.0111315594578222	0.0016564952744534	0.00382517422006142	0.00735036340150361	0.0189902113072313	0.002948102265623	0.00583756415460477	0.0105050019213158	0.0187828414311863
2	-0.0004184807419399	0.0181184929302928	0.0641617213541949	0.178974007433193	0.00943568969301676	0.0575643541085434	0.180102596336782	0.433501785366772	0.018714327640872	0.115329850961894	0.327279808712251	0.680982518050816	0.0434987538206015	0.221071506936709	0.531908574001784	1.05037275381273	0.0567267963063912	0.290120542373655	0.644304164785216	1.33616201030754	-1.08589575023943e-05	0.00656072262743148	0.0426100405035362	0.120947638024405	0.00599024430464577	0.0402136741922014	0.109629722014907	0.270403417860686	0.00999003016140884	0.0792607688290775	0.198272247643964	0.524761598521638	0.0233288774257449	0.138814772552639	0.354940915822201	0.888048408071167	0.0444979132607247	0.193146857460256	0.487036554295534	1.0536581361234	0.000702689472882218	0.0016031018061257	0.003002787825289	0.00585190357037883	0.00066685124508589	0.00144892327288505	0.00287279055241473	0.00516162524804852	0.000560577839772601	0.00110071533640332	0.00185758295492	0.00313080843073242	0.000880731113024635	0.00155087813991529	0.00241252885590662	0.00399332325585075	0.00134298084158008	0.00170130471081758	0.00203547066302488	0.00272036865500888	0.00121481377091656	0.00304764211369341	0.00598074808323395	0.00969736870225986	0.00139586879965357	0.00393300136907164	0.0077824148538629	0.0171741081668353	0.00115147558961774	0.00312650641901945	0.00697486726385955	0.0133235407109739	0.00184837807378922	0.0044060324917689	0.00868401097440806	0.0228570882802892	0.00331446675215889	0.00685829483255093	0.0120833926412005	0.0223249524516455
3	0.00178057698192784	0.0345843155418403	0.102185111919939	0.197390036692161	0.0113720712664197	0.0805153254875658	0.218598276968487	0.410113116277004	0.0221497255490404	0.133633716052799	0.343095501755758	0.595867396989956	0.0463768229262749	0.215186631720716	0.467802059534666	0.76115845833396	0.070254843668736	0.277067052959194	0.53835877691048	0.902996351971245	0.000365147029917464	0.0107911081322571	0.0780558319247233	0.144495426815009	0.00665634168594459	0.0475348496498036	0.135351293840107	0.263262372440135	0.00914762751316516	0.0933865031682182	0.2442442120034	0.486187941929858	0.0269932572491066	0.153566055256568	0.363804678730189	0.806030275572089	0.0478503926327566	0.178560119886124	0.425792587272616	0.878177114011926	0.00072097686530905	0.00169273553557236	0.00321966374832772	0.0063192729729237	0.000686111733176396	0.00153926983134247	0.00309840935835208	0.00556327451892998	0.000574177192612546	0.00116705200820041	0.00200616109888523	0.00338928863751067	0.000905327603251522	0.00165222415975409	0.00263457331828767	0.00436733204198093	0.00138075657880511	0.0017462652277977	0.00209318713751392	0.00279681062942527	0.0012922424394867	0.00327787853785606	0.00652608984712997	0.0106705188421536	0.00147220231511205	0.00424529055703535	0.00853938629323207	0.0187352002296428	0.00120575186649063	0.00337313501188302	0.0076114589208022	0.0146074794703125	0.00193281107481275	0.00473153347757777	0.00947263614957109	0.0251476191557649	0.00349102702661538	0.00740106994162934	0.0127533890365572	0.0242485985629693
4	0.00400339809995892	0.0418043413293584	0.089084034201096	0.109289789286125	0.0140916692936267	0.0789499868697297	0.168795190548313	0.226317163905278	0.0249006905933741	0.119401515882251	0.256769777579737	0.394458113289409	0.047082179859365	0.181055421700948	0.336867304660573	0.482524487678048	0.0679026240824291	0.226735317301963	0.394134898229979	0.556007664912818	0.000539033190540733	0.0135749692734254	0.0737873211859885	0.110259229705335	0.00545450648195191	0.0481787909510742	0.115095774070564	0.192957808162909	0.0105223286347242	0.0932483703397066	0.223372656966927	0.372788470454475	0.024383874081142	0.137674748120891	0.278639881998764	0.711098126472423	0.0383763466940152	0.166153489307793	0.291666659264001	0.574143924082528	0.000730091271863914	0.00174981313140346	0.0033494971679533	0.00659028261243853	0.000695070331339603	0.00159784142258334	0.00323724702994996	0.00579812974423744	0.000581132053511642	0.00121349327289976	0.00210665718913939	0.00355113492132826	0.000916259318258447	0.00172582057391346	0.00278879286458774	0.00459539998087337	0.00139533930064599	0.0017741799506593	0.0021292007909332	0.00283523770450071	0.00133269231367736	0.00340898215359274	0.00685564576882341	0.0112487781274774	0.0015134364102745	0.00442188452457854	0.00898855396102549	0.0196457680169337	0.0012323382155895	0.00351531205523443	0.00795485796189948	0.0153397280075616	0.00197862450944546	0.00491660919698016	0.0099139145930022	0.0264795021870186	0.00357371532032016	0.0077071549489981	0.0131802355595621	0.0253968619467556
5	0.00546941554474387	0.0372150882863723	0.0500993652176896	0.0259793169629464	0.017465627406346	0.0687335480953101	0.106300649257564	0.109427521025862	0.0252868726631237	0.0957462383728095	0.182279838501412	0.265290704648111	0.0407140887636002	0.142881993757154	0.236027755219927	0.346362303471996	0.0631682221923801	0.176371003207114	0.288602631115994	0.375759758520867	0.000742270743449706	0.0153528047691252	0.0600831200255821	0.0763458063838411	0.00518785121439619	0.0457446091229983	0.101383640583625	0.164550709333375	0.0110723914472228	0.0857766941877868	0.189252925453798	0.272273559728796	0.0249575613854665	0.124453257508463	0.192617417788441	0.661843711621064	0.0302189321323403	0.129670439483384	0.203039274642966	0.392970873724579	0.000735341520033233	0.00178321412832964	0.00342630489544242	0.00675254512921546	0.000699967478949649	0.00163219508953202	0.00331965095653245	0.00593562217301189	0.000585158818930075	0.00124508589650583	0.00216859601704304	0.00364965942690186	0.000920996817236164	0.0017757744983463	0.00289257229852644	0.00473907895572593	0.00140151728363821	0.00179482379954819	0.0021549238204141	0.00285595698350544	0.00135428216882276	0.00348324367061173	0.00703662686158648	0.0115805228985062	0.001534808833286	0.00452646579075778	0.00925028392708327	0.0201792027560861	0.0012454936956411	0.0036010877401096	0.00814863176932734	0.0157794287388776	0.00200501201034632	0.00502993385092257	0.0101993738613247	0.0272709025971412	0.00360868862590502	0.00789400125186906	0.0134706369453238	0.0260884471327968
6	0.00553768646988084	0.023821273151099	0.0121763257220424	-0.0130007559773138	0.0170107562140327	0.0511676983722821	0.0610786934872565	0.0686465511515287	0.0232192192385972	0.0757729979001265	0.128122246609113	0.17470168522895	0.0357493040351123	0.112390278126363	0.181588861211497	0.255441061238657	0.0533026608730789	0.138200338934768	0.217951082370111	0.277824319096971	-5.82652512377458e-05	0.0117104965899955	0.0447634922740938	0.0492448236371283	0.00693547102069227	0.0354130836933407	0.0764807794895193	0.133826403959197	0.00962314112052033	0.0656071615806242	0.137105094602936	0.198806922827751	0.0238273158400855	0.0990419095345911	0.14686774209026	0.457731195180408	0.0300700622623306	0.0967939334192705	0.162730729284694	0.324821605091935	0.000738004921083088	0.00180317621251769	0.00347137394044032	0.00684760415059014	0.000702646429894149	0.00165376525846312	0.00336872419409945	0.00601574380372033	0.0005877775863026	0.00126567232216428	0.0022087690526341	0.00371095618934266	0.000924253347845078	0.00180646701333547	0.00295850445884631	0.00482818228062101	0.00140484573608648	0.00181130748958867	0.00217655134115549	0.00286985388076474	0.00136651119824766	0.00352473443900057	0.00714282561778466	0.0117775053126571	0.00154621085454326	0.0045902934925185	0.00940589417161834	0.0204940474931596	0.00125213183277113	0.00365205870432425	0.0082624204674358	0.0160440018561564	0.00201979022385768	0.0051052364381201	0.0103924139601008	0.0277397342729154	0.00362890080556655	0.00802140709092079	0.0136586487363942	0.0264469668150304
7	0.00435957198993666	0.014806852984856	-0.00875984654510194	-0.0231417058438207	0.0133541102373803	0.0373235168803476	0.0431927521622868	0.0309821986576135	0.0219847140046396	0.0605851859022824	0.0967108248316315	0.129009247737246	0.0341688576065075	0.0913300926505858	0.145850812025434	0.206405980967779	0.0487166805203196	0.108894930925186	0.165556242708522	0.205431628926256	-0.000229964509458097	0.00564704801258196	0.0343795349969809	0.0368050567814334	0.00772546618376697	0.0315141465293234	0.0519851617898014	0.089159142585241	0.0105344284577283	0.0584760953030416	0.11242769068362	0.17266338053992	0.0227999989389957	0.0732511719828494	0.119634995532673	0.302914218924823	0.0302452063811423	0.0755437065416604	0.126927554653643	0.250650774286377	0.000739446288853638	0.0018156040083054	0.00349921812648815	0.00690465753908999	0.000704092679833891	0.00166644806339033	0.00339883499687584	0.00606253715890287	0.000589268251944672	0.00127808984792735	0.00223431772297731	0.00374951333917445	0.000926039995420618	0.00182555180391442	0.00300215995964464	0.00488269780641657	0.00140650415859171	0.00182341716305403	0.00219285984051811	0.00287926823454047	0.00137381625979048	0.00354962774119258	0.007204303519831	0.0118947264122397	0.0015532438834296	0.00462873723933197	0.00949885755339979	0.0206808229160793	0.00125520389557011	0.0036825465867756	0.00833044201506979	0.0162001144460525	0.00202810979947482	0.00515130143356893	0.0105200900447147	0.0280175825765716	0.00364575792674618	0.0081104110728259	0.0137991004212781	0.0266988634551701
8	0.00419235105619712	0.00934781984993332	-0.014622496165684	-0.0251860758061318	0.0107913419639289	0.0312560286836041	0.0293237797781462	0.0159737178269702	0.0191551805253421	0.046833742999949	0.070282929202652	0.109507426356703	0.0307667669425939	0.0772348231897645	0.120761048712211	0.169394546529577	0.0417922371445902	0.0878114625502985	0.138889917708833	0.174909987965542	-7.60614895642142e-06	-0.00125052196339397	0.017881347154288	0.0245706366929727	0.00542208850917796	0.0288211087966373	0.039859319728006	0.0581916678582286	0.0126663462806041	0.0530928840757352	0.103630541286247	0.160852875050121	0.0204621173128622	0.0755390222376094	0.114988707592364	0.231602923946876	0.0306468992242532	0.0634785237718804	0.0854111080475535	0.191616749131358	0.00074018114286722	0.00182315648385182	0.00351660159090407	0.00693874538672984	0.00070504518234041	0.00167425753631864	0.00341700423497169	0.00608875682979046	0.00059029713352989	0.00128613016195137	0.00225007777791507	0.00377211133790108	0.000927341015812797	0.00183709123125715	0.00302978972070534	0.00491643375936154	0.00140749379565829	0.00183170917294916	0.00220485033071501	0.00288564982506858	0.0013781861453947	0.0035646095456544	0.00724139446336516	0.0119652258782801	0.0015577284419779	0.00465223141698978	0.00955655267796499	0.0207958968986394	0.00125636626537259	0.00370009704905641	0.00837185123547393	0.0162926972037978	0.00203259567958885	0.00518170361550481	0.0106035547575121	0.0281848079297089	0.00365415727746773	0.00818542646019318	0.0138869777004768	0.0268577002693496
9	0.00331819857549096	0.00535205776306392	-0.0181108694120349	-0.0333696214603606	0.0116434207109805	0.0287229410666815	0.0268321536938301	0.0233131427279814	0.0179124189630293	0.045246474130611	0.0688558279523353	0.101892524114087	0.0267445354696598	0.0615686650113234	0.100870389356687	0.13228844539321	0.033282384461549	0.0747513493290972	0.12276680893228	0.158034692198707	-0.00101818141273958	-0.0023818172492885	0.018538736074859	0.0275848838280214	0.00608369674818036	0.0277608016743866	0.0308347719460212	0.0306691368866308	0.0102040100468045	0.0450459726158046	0.0889372315928397	0.169478929989148	0.0192069247388396	0.0763027678740387	0.110429855301726	0.175821906528461	0.0258712811468973	0.0594945119923185	0.0778393550671421	0.186299958667332	0.000740822458155354	0.00182760029478249	0.00352708645702934	0.00695929910139141	0.00070556900485542	0.00167914453329689	0.00342844295989845	0.00610485334519587	0.000591005840708371	0.00129144908650978	0.00226058346875622	0.00378659992122543	0.000928095200817177	0.0018430256274342	0.00304696489334362	0.00493661756885585	0.00140840750089411	0.00183757515339835	0.00221316926661187	0.00289054643093646	0.00138089595597993	0.00357342126409445	0.00726479822418998	0.0120087421707822	0.00156004817885992	0.00466540288649716	0.009591168185359	0.020868292024795	0.00125666853433911	0.00371113589497682	0.008398189411399	0.0163483029172334	0.00203557028026508	0.00520474821648143	0.0106585032492382	0.0282891182392319	0.00366232808613405	0.00823793878600566	0.0139296394888604	0.026962325858131
