lagtime	RRD_p|all	se_p|all
0.333333333333333	0.00112228664712431	2.33089035214315e-05
1	0.00180504388595754	2.0480550919076e-05
2	0.00275314009511428	2.85170397164164e-05
3	0.00376390838119179	3.5621762533453e-05
4	0.00391978684638442	4.18911308671869e-05
5	0.00362570316457841	4.73816750705864e-05
6	0.00342607414192135	5.21560760391865e-05
7	0.0033868123060971	5.62950955233291e-05
8	0.00357775142615079	5.99092406559354e-05
9	0.00383052590879911	6.30669080079382e-05
10	0.00410601342222304	6.58212195083492e-05
11	0.00435184415842168	6.82345816507818e-05
12	0.00456092278071513	7.03606997872514e-05
13	0.00462946610607872	7.22294415673825e-05
14	0.00461783824161124	7.38784154049044e-05
15	0.00453851116290642	7.53295910364648e-05
16	0.00443349964641051	7.66017199452264e-05
17	0.00432928831503493	7.77218816721156e-05
18	0.00418823264854327	7.87095547536631e-05
19	0.00406163784961632	7.95783514296161e-05
20	0.00393010738522029	8.03449731261e-05
21	0.00377424125422955	8.10170524000594e-05
22	0.00364969809374022	8.16058146247125e-05
23	0.0035379914877781	8.21313676786044e-05
24	0.00343877495415755	8.25771108504491e-05
25	0.00329581872545654	8.29535305643777e-05
26	0.00314758509676069	8.32767802143793e-05
27	0.00302109135268374	8.35483692514647e-05
28	0.00292063444489136	8.37894100784954e-05
29	0.00280926426630057	8.40082617486858e-05
30	0.00274294014354769	8.41962907786244e-05
31	0.00273125620098609	8.43529288030032e-05
32	0.00270162218459967	8.44692124786959e-05
33	0.00266524883740236	8.45616242470328e-05
34	0.00259600627295715	8.46296717726099e-05
35	0.00252163346666824	8.46792535733207e-05
36	0.00251368827273927	8.47145226223687e-05
37	0.00249140360924845	8.47383685724005e-05
38	0.00246189440598745	8.47554871857401e-05
39	0.00243114753065831	8.47677747951321e-05
40	0.00238085752286034	8.47782691971325e-05
41	0.00231065474965245	8.47875359408419e-05
42	0.00222420082897927	8.479621533905e-05
43	0.00212351966721101	8.48060453656716e-05
44	0.00203956583347716	8.48158051556186e-05
45	0.00195050157328504	8.48282461808809e-05
46	0.00188786626094272	8.48440883791386e-05
47	0.00181666240067465	8.48618242453707e-05
48	0.00177402351377283	8.48769631211558e-05
49	0.00172421039362416	8.48908046426675e-05
50	0.0016827951980453	8.49031500795246e-05
51	0.00167524405948294	8.4913157269404e-05
52	0.00167455635018498	8.49165741243689e-05
53	0.0016597350008667	8.49163981403384e-05
54	0.00163732771669002	8.49133583150615e-05
55	0.00160393320228027	8.49089653490543e-05
56	0.00155838190964709	8.49045597168795e-05
57	0.00153436969539066	8.49001262925296e-05
58	0.00149201690520693	8.48965196375015e-05
59	0.00143442193785589	8.48935239950837e-05
60	0.0013852005021704	8.48903575524926e-05
61	0.00134963650786817	8.4887457130625e-05
62	0.00131762212582061	8.48853687724344e-05
63	0.00127596178971671	8.48841701203155e-05
64	0.00123507169726906	8.48834864571816e-05
65	0.00117608351288736	8.48829964310941e-05
66	0.00115688188065373	8.4883432855579e-05
67	0.00111228673467526	8.48853455083455e-05
68	0.00107230304416062	8.48881512472393e-05
69	0.00104492755234214	8.48914775579031e-05
70	0.00099936725448851	8.48947796022246e-05
71	0.00097451713786675	8.48972323463265e-05
72	0.000955394819489661	8.48990160439495e-05
73	0.000917656715133289	8.48994921357737e-05
74	0.000890915614207085	8.48996556422777e-05
75	0.000896481147036373	8.4900237611176e-05
76	0.000903793253696492	8.49012832300731e-05
77	0.000921740390833122	8.49033945768553e-05
78	0.000923659402014935	8.49064612744671e-05
79	0.000914951565712858	8.49089971769957e-05
80	0.000886291752188248	8.49131982794775e-05
81	0.000867036352752736	8.49173124438283e-05
82	0.000857438582885069	8.49211312117682e-05
83	0.000827696325769961	8.49255983895688e-05
84	0.000794499189783883	8.49298265698644e-05
85	0.000786029715587285	8.49343221403183e-05
86	0.000783540696908973	8.49395724850125e-05
