lagtime	RRD_pR|all	RRD_pB|all	se_pR|all	se_pB|all
0.333333333333333	0.00208900848167087	6.44510359995597e-05	5.18877512593712e-05	6.04037699639327e-05
1	0.00340586635304252	0.000293919656957386	4.71116417693651e-05	5.46408124730458e-05
2	0.00486995000215071	0.00047956274964675	6.72926039210042e-05	7.84685841316602e-05
3	0.00663565693356127	0.00103588262430074	8.58911550576063e-05	0.000100850143262561
4	0.00667266111919751	0.00183614515541561	0.00010291815786173	0.000121565631910625
5	0.0057673463315117	0.0023241990510517	0.000118345846245124	0.000140516184115288
6	0.00503911561323014	0.0026513036981333	0.000132260470297246	0.000157610908658016
7	0.00463143501255759	0.00301555635499483	0.000144748230740584	0.000172997252850232
8	0.00458370426280928	0.00333081804584705	0.000156010752194085	0.000186910755011898
9	0.00468823861625965	0.00396196499509762	0.000166177552841008	0.000199556251125992
10	0.00486827716378742	0.00481658867466297	0.000175309586490039	0.000210994152234698
11	0.00501974658493336	0.0054700115584666	0.000183515090362277	0.000221235954697297
12	0.00518182559418033	0.00594546543476759	0.000190904398634563	0.000230421127196438
13	0.00518761334383063	0.00622901710632048	0.00019755724334447	0.000238664605706962
14	0.00509802052554929	0.00622086725980575	0.000203553718874094	0.000246133571121443
15	0.00495181653748558	0.00636479421454185	0.000208960106339205	0.000252880968826098
16	0.00481427582764677	0.00644488837327297	0.000213823098780478	0.000258963416090147
17	0.00472557951964712	0.00635066403806999	0.000218198307627203	0.000264399303152871
18	0.00452283802950295	0.00612219551423072	0.00022215016707601	0.000269281619715062
19	0.00430995567912825	0.00607290066635706	0.000225728143088599	0.000273670961590737
20	0.00410174158822244	0.00606095506784046	0.000228953957039006	0.000277645413120222
21	0.00390100606803444	0.00612524530239501	0.000231847919140786	0.000281203714095362
22	0.00381204744232789	0.00591319152031762	0.000234433571534433	0.000284378147431529
23	0.00373144169553354	0.00567674206783552	0.000236771679778443	0.000287211512136735
24	0.00365362879604984	0.00542976259168738	0.00023881883121657	0.000289666732840331
25	0.00343136056292684	0.00519700370652331	0.000240613492401073	0.000291793180461031
26	0.00320248213264256	0.00508111052264222	0.000242210979746778	0.000293684564699344
27	0.00302929185086948	0.00499618558850672	0.000243608496344954	0.000295365228308462
28	0.00294416105660248	0.00498508434161474	0.000244869324229205	0.000296884533669276
29	0.00283260897448346	0.00491563861499303	0.000246021796415869	0.00029827082576364
30	0.0028495913655609	0.00477323422122712	0.000247054618172133	0.000299547880117198
31	0.00301206049194974	0.00457644040640793	0.000247988695624513	0.000300726492048221
32	0.00314805039915754	0.00425975344778923	0.000248805550327333	0.00030181225351242
33	0.00328232386673792	0.00396069580520023	0.000249544550835821	0.000302806846003374
34	0.00333388335314336	0.00359009047595681	0.000250207649950988	0.000303710757482286
