lagtime	NRF_p<3|all	NRF_p=3-6|all	NRF_p=6-9|all	NRF_p=9-12|all	se_p<3|all	se_p=3-6|all	se_p=6-9|all	se_p=9-12|all
0.333333333333333	-0.00127877713667774	0.0103752923417424	0.0569013691871373	0.0969954933258048	0.000334603424779494	0.000822180273277862	0.00190329475900078	0.00383965019003803
1	0.0057576578452785	0.0690356196942909	0.29162884078024	0.52806319926868	0.0001814287120081	0.000495831806522513	0.0013830525770538	0.00278430529596785
2	0.0220683424059605	0.251585155901685	0.85196109898431	1.34220653860741	0.000191628992336981	0.000607560163773514	0.00165006646395926	0.003476343260637
3	0.0275500559402105	0.266241512368902	0.720143600500379	0.931887492929543	0.000198851469025627	0.000653937145765379	0.00174359636209653	0.00375241578516912
4	0.0273000418534996	0.221068634050093	0.498333974870835	0.584219135030628	0.000203487012967421	0.00067274005182341	0.00175865827925202	0.00391027948597748
5	0.0260711417122158	0.175083217090876	0.346400502884866	0.436322333239661	0.000206075835960332	0.000672529204486061	0.00174413519179129	0.00387439328349651
6	0.0235729529541649	0.139227561060419	0.251223741614423	0.342004341732411	0.000207282357436887	0.000665674511190319	0.0017011524283495	0.00372187559438975
7	0.021180441686586	0.114284386873533	0.190880952351492	0.264379476735943	0.000207657280417254	0.000658047503055991	0.0016505369125914	0.00353535715982954
8	0.0191237539493903	0.095223612871607	0.149808498517508	0.207975770067554	0.000207354463710354	0.000646323415029836	0.00160207569103992	0.0033888746535516
9	0.0173323976067634	0.08311578969105	0.128527690946876	0.176851817916188	0.000206608985610062	0.000635571779605633	0.00155896306874067	0.00326706399063727
10	0.0157788418219694	0.0730139502265192	0.10791201188536	0.154064575362755	0.000205590363766203	0.000624664729219226	0.00151655218451058	0.00314334793791783
11	0.0145147100586044	0.0636978532842641	0.0922088511363475	0.133096879099352	0.000204620482552744	0.000612566119878494	0.0014702418347345	0.00301957711503601
12	0.0137838734108633	0.0584522767713534	0.0822741207589811	0.116393396776562	0.00020351972262008	0.000600922222164888	0.00142812758227468	0.00291045074398801
13	0.0130300581823501	0.0534844329304166	0.07389605836157	0.104567678059804	0.000202507617425144	0.000591022662862514	0.00138672913812149	0.00281990244596462
14	0.0121613998960425	0.0499542673585232	0.0661562616473277	0.0925049686482937	0.000201473399260449	0.000580989149966767	0.00134827736939055	0.00274258018418492
15	0.0113223373751314	0.0466836162246757	0.060166304836638	0.0829073339749411	0.000200465244415283	0.000571125287413475	0.00131953144902839	0.00267744955936018
16	0.0112341652229637	0.0429967568709567	0.0537291098826277	0.0759357077838401	0.000199653486718723	0.000562987009257296	0.00129294828859183	0.00261445869162731
17	0.0111479574812344	0.0402570501654131	0.0493218323390469	0.0712632327106199	0.000198881307483111	0.000555822755193396	0.00126733453887076	0.00255943685901093
18	0.0106034020515373	0.0373270730477211	0.0442898360111334	0.0615311502668772	0.000198167623299999	0.000548325180821542	0.00124539534363865	0.00250536816127625
19	0.0101604371710957	0.0359064077071634	0.0421123726403601	0.0577308572924517	0.000197404759142377	0.000541863390092796	0.00122611508100274	0.00246413792043758
20	0.0101409115310491	0.0343590162596835	0.0372591834636763	0.0495691485125814	0.000196695296508805	0.000536170141316774	0.00120742097489511	0.00241896789168867
21	0.00988899395372143	0.0323860898006691	0.0351543311147012	0.050549062899448	0.00019605919100681	0.000530174561667164	0.00119121567434285	0.00237769909137611
22	0.00954570575497348	0.0307827034677621	0.0339839275755878	0.0486381104731481	0.000195443623768738	0.000524821579171184	0.00117680534919541	0.00234287493911253
23	0.00896216719571285	0.0279811655318074	0.0317727487507146	0.0445471835707743	0.000194852728710518	0.000520391263305722	0.00116299935990622	0.00231082476966836
24	0.00894906147308606	0.0270681386195126	0.0309651289366247	0.041935917926796	0.000194252349607809	0.000516138063402588	0.00115206100742291	0.00228581390780715
25	0.00866505929033253	0.0259929806525605	0.0296131603320992	0.0398796874386881	0.00019372078584343	0.00051218167303276	0.00114066116276683	0.00226563268849026
26	0.00847834309014294	0.0245543140666657	0.0262242861936784	0.0338962499682781	0.000193339565083081	0.000508341429989559	0.00112919501051073	0.00224464224479416
27	0.00839837985004358	0.0238371308065775	0.0250340128715715	0.0340387502101183	0.000192894370050567	0.000504811085647123	0.00111828680111082	0.00222640295622949
28	0.00819646985751666	0.0224976065856936	0.0245721154635384	0.0335287897094342	0.000192417840862437	0.000501721896257447	0.00110988745569942	0.00220745061904969
29	0.00807525212640926	0.0218691052419179	0.0240933378230713	0.0318914288017809	0.00019196998964438	0.000498885087324578	0.00110346172073339	0.00219486158450012
30	0.00771969257147479	0.0207960288769648	0.0233859371447404	0.0319287567104094	0.000191603525660306	0.000496461795319497	0.00109651619915963	0.00218315233191939
31	0.0074227289952644	0.019754763658789	0.0228191744267242	0.0317015526251067	0.000191191813308262	0.000493813346129829	0.00109153486128951	0.00217014752738578
32	0.00734461577643666	0.0186047623333291	0.0204789667567168	0.0262397746977766	0.000190752374990905	0.000491286182699961	0.00108648217026223	0.00216283273790913
33	0.00725783860569992	0.0175659977649655	0.0206062508050721	0.0261118296173255	0.000190445363762654	0.000489142204007483	0.00108108546964939	0.00215056109866171
34	0.00712838574027152	0.0167733929517803	0.0201538106261671	0.027223235360248	0.000190125675217135	0.000487419326808673	0.00107551683844724	0.00213464231656584
35	0.00738195663262328	0.0170330058764216	0.0197425181803971	0.0270445485268752	0.000189855004314325	0.000485666211377767	0.0010705106352738	0.00212279439917582
36	0.00738557742621063	0.0166414608564133	0.0182707129828985	0.0251360799758421	0.000189666553006016	0.000484410907462366	0.00106528087432321	0.00211141786005552
37	0.00722267628268086	0.0162978112383482	0.0168366511172894	0.0235763564485385	0.000189511031280055	0.000483406278047867	0.00106111450963675	0.00210503803644257
38	0.00691787854337756	0.015789872125597	0.0166981601268746	0.0230912112118246	0.00018930992916648	0.000482998759461874	0.00105705282070686	0.00210043013993824
39	0.00672800185882927	0.0144887717694395	0.0160515045119991	0.023744621066807	0.00018911734114887	0.000482196804749262	0.00105314221859714	0.00209829513297229
40	0.00658338645142047	0.0141765468984436	0.0151186630266959	0.0228337323080662	0.000188889385453892	0.000481435730986583	0.00104898945239699	0.00209598056539028
41	0.00644050274951575	0.0142891511804377	0.0138566131685391	0.0207425234614657	0.000188709657093345	0.000480706938797321	0.00104336863034699	0.00209486556068234
42	0.00634241065651731	0.0134939921052213	0.0129840185192582	0.0215308049426392	0.000188536158455684	0.000479856804138382	0.0010387826026186	0.00209324365181861
43	0.00632673534852253	0.0132754148009785	0.0128408546914304	0.0234941918905606	0.000188290493551903	0.000478707181158951	0.0010348997424567	0.00209001202610931
44	0.00595580901324644	0.0123455269451985	0.0116844300541179	0.0205672718817629	0.000188152895028473	0.000478139670277577	0.00103201229585831	0.00208733074839085
45	0.00609816479569874	0.0125939913320273	0.0114474447299131	0.0212768485976598	0.0001879896504508	0.000477732256668841	0.00102909127426295	0.00208742087341248
46	0.00634864455486625	0.0123317725113178	0.0109251503685784	0.0224192542905204	0.000187902553870979	0.000477429961472554	0.0010276602699914	0.0020876514767621
47	0.00618107295821137	0.0120902671096302	0.011163995086747	0.0229030080013404	0.000187723907008306	0.000477133847127518	0.00102759259920291	0.00208562444054954
48	0.00578259507970209	0.0121694391117546	0.0116968129383498	0.0207027171827225	0.00018764348809393	0.000476449407789869	0.00102762965017243	0.00208768249739228
49	0.00571750633357696	0.0118333962805275	0.0117783825392067	0.0190705804252113	0.000187507771794009	0.000476251875123241	0.00102942670983694	0.00208936718449688
50	0.00552476549383361	0.0116731075113154	0.0116168052023842	0.0222557302244448	0.000187317512538957	0.0004760809303413	0.00103141026749121	0.00209334764300442
51	0.00545773547105969	0.0117251744329147	0.0112001676813493	0.0227719467192479	0.000187173591553921	0.000476142469813865	0.00103244056828993	0.00209510036164107
52	0.00558320580753906	0.0111527084016861	0.0100984255359489	0.0202633182310928	0.000187037447822525	0.000475880473995073	0.00103266107794205	0.00209143796905286
53	0.00541692790430439	0.0110993523535001	0.0105220363825563	0.0181058608974692	0.000186944928423636	0.000475293348552089	0.00103088305022904	0.00208798961909634
54	0.00542832217904466	0.0109800614975383	0.0107906396199095	0.0172611036805215	0.000186804316128572	0.00047424360330224	0.00102906219263727	0.00208470433206023
55	0.00523662925547579	0.0102660730658331	0.00942676457800349	0.0135110355781023	0.000186633283191936	0.000473279749739556	0.00102598407495085	0.00207885673650159
56	0.00527337152126309	0.0103833497286419	0.010712193520534	0.0146832295718046	0.000186455212216376	0.000472444795924844	0.00102303163709977	0.00207351343846017
57	0.00526402729940437	0.0101091250642118	0.0119069186622064	0.018819680314602	0.000186401315845248	0.000471642079217118	0.00102067682034018	0.00206853906159474
58	0.00518067709628413	0.00983139294689245	0.0132145215829294	0.0207253087632287	0.000186305668851415	0.00047114317431117	0.00101939823396089	0.00206709265003368
59	0.00519767414753166	0.00966546633004972	0.0125875536351635	0.0195051503538672	0.000186118922112701	0.000470736287287037	0.00101886850761287	0.00206891635203915
60	0.00528984193108687	0.00938328560659844	0.0102127100703671	0.0158110682019893	0.000185927740527133	0.00047014401960044	0.00101762896717775	0.00206903533023547
61	0.00526192756578186	0.0097070047499603	0.0116791719770155	0.0177946885933027	0.000185817178183901	0.000469354175026085	0.00101586613067286	0.00206447457828945
62	0.00509761591897878	0.00937564062977993	0.0107253129688778	0.0160537082844193	0.000185713398685942	0.000468644184801098	0.0010147906891079	0.00205598156112686
63	0.00489214688639086	0.0087553947565606	0.00953126039566602	0.0155207376766065	0.000185511924782865	0.0004678771317369	0.00101390195556111	0.00205046686053518
64	0.00497455954293419	0.00922791461936088	0.0095789750132595	0.0163277207098008	0.000185390642009595	0.000467141107828695	0.00101337497721014	0.00204858229421512
65	0.00476036725004268	0.00868993442905144	0.0093510838795558	0.0163251117313894	0.0001852585242038	0.000466846870947453	0.00101267957306529	0.0020461324723899
66	0.00476788857414717	0.00889849030262426	0.010635426119456	0.0159986875256782	0.000185123068454513	0.00046668306546235	0.00101131855422327	0.0020468710693472
67	0.00459518525332696	0.00877800568145573	0.00990157519595083	0.0136481745115446	0.000185073510261403	0.000466469943317486	0.00101058253138244	0.00204582838445541
68	0.00427344000286768	0.00836613740365875	0.00930464973781475	0.0135128383282889	0.000184931705356763	0.000466209217372646	0.00101049562857642	0.00204552084373114
69	0.00434970695128139	0.0084831013529358	0.0100587073167526	0.0150103778789622	0.000184789057322796	0.00046614855717481	0.00100862508661804	0.00204032686204147
70	0.00458460671403963	0.00791146513153468	0.010735485233572	0.0173805900750089	0.000184713679600315	0.000466093425784906	0.00100799311214205	0.00203398915387343
71	0.0046918326548757	0.00769060711099785	0.00996508046043615	0.0158015801789837	0.000184647591383603	0.000466337379228799	0.00100852627656744	0.00202841308943051
72	0.00460757082607384	0.00671521866954306	0.00941895537008328	0.0154781268491142	0.000184587109663781	0.00046648293990913	0.00100936805127588	0.00202342497967466
73	0.0046487759303487	0.00698101260866933	0.0105062910528289	0.0164641297429423	0.000184523820570022	0.000466509276091972	0.00100884860839368	0.00201728070976821
74	0.00459776302001116	0.00692372918373418	0.01029228915846	0.0153762500319093	0.000184526284388012	0.00046676578376135	0.00100856961354184	0.00201057109009335
75	0.00474244061425334	0.0073032617729124	0.00992313581795517	0.0148278965433676	0.000184563060424848	0.000466995196571078	0.00100858036561966	0.00200218704192436
76	0.0047288690011581	0.00705143466869341	0.00942252473459889	0.0143654024847893	0.000184463918675737	0.000466926035769134	0.00100799757951454	0.00199151284982819
77	0.00452333320086188	0.00591090943859659	0.00723625625990539	0.0118288474535607	0.000184384437614119	0.000466729609883801	0.00100637122970654	0.00198139437744256
78	0.00440149218885198	0.00628151903646388	0.00764431731778702	0.012269524813967	0.000184286208547014	0.000466482005271809	0.00100420551949615	0.00197271020177206
79	0.0042031308981995	0.00678282094051247	0.008703497492691	0.0129947373706426	0.000184170754703379	0.000466232861562388	0.00100251690804557	0.00196705275694593
80	0.00430717069508067	0.0071301246772672	0.00914882047448562	0.0131792689899784	0.00018401746474291	0.000465952870624139	0.00100055230132587	0.00196299217352634
81	0.00431619168892727	0.00671664232111659	0.00755514101612306	0.0119428251512052	0.000183902768204366	0.000465390233348702	0.00099924035852252	0.00196006060086389
82	0.00432051939845016	0.00696216284041473	0.00744963449714191	0.0106738100947046	0.000183779566924571	0.000465165587099002	0.0009977392191525	0.00195766591985104
83	0.00417367231555075	0.0065069633533825	0.00672499375647386	0.0109088384439536	0.000183687610962546	0.000464776711578744	0.00099602811931122	0.00195468197671301
84	0.00415130530807296	0.0065555144510029	0.00598679938224321	0.0101405613757258	0.000183548690517342	0.000464471292934965	0.000994363778800959	0.00195185153360256
85	0.00406556380537779	0.00648583433954915	0.0059514693386251	0.00861978125329532	0.000183398946259703	0.000464165150346332	0.000991492115870012	0.00195051791147603
86	0.0042909338134521	0.00657689175856458	0.00591940242848399	0.00958749440781815	0.000183290286701665	0.000463591711132711	0.000990414405621162	0.00194971401609095
87	0.00439474536183111	0.0062713302917747	0.00516652029537881	0.00891015552266228	0.000183254493598905	0.000463020870987851	0.000989594021488386	0.00194745244547569
88	0.00416281636303159	0.00573221642232879	0.00529040126817035	0.0095228499053624	0.000183173728874654	0.000462771077352248	0.000989090194302819	0.00194672386392917
89	0.00436357004371766	0.00632092209163935	0.00532733581502331	0.00897859921931893	0.000183088198626116	0.000462568194566444	0.000989538399418718	0.00194973157840292
90	0.00434489704312837	0.00644490115311536	0.00485081256578081	0.00837644271817483	0.000183058420766662	0.000462325114532081	0.000989108145466287	0.00194766815379864
91	0.00432459219503158	0.00593935920810336	0.00416711810514033	0.00797251698982309	0.000182983116928508	0.000461971742898661	0.000988358200771512	0.00194318302864365
92	0.00453835266843741	0.00648359156608059	0.00458221279882465	0.00790315008011435	0.000182855196905656	0.000461832039114015	0.000986941422800587	0.00194233930897803
93	0.00433464543314792	0.00599759160485487	0.00433629582518262	0.00742073616158933	0.000182720639348517	0.000461749791154406	0.000986740336905182	0.00194315573468765
94	0.00434908508469145	0.00612466498198047	0.00441859258089917	0.00701657065455747	0.000182526332305394	0.000461377332634516	0.000986895578154803	0.00194515578355378
95	0.00431368932439237	0.00594489865066624	0.00476965205283449	0.00749113875800864	0.000182389193317118	0.00046125176525027	0.000986968387086158	0.00194728063936916
96	0.00444268895344068	0.00591081634515167	0.0054933645708671	0.00837548472950133	0.000182154383044758	0.000461138974471731	0.000986783601444902	0.00194700009880777
97	0.0046644198510553	0.00604356206187722	0.00632739734308624	0.00966301537322026	0.000182000393647274	0.000460760266879626	0.000987121992333985	0.00194442876873362
98	0.00455388579288101	0.0057556234413326	0.00624274385997685	0.0111757352264112	0.000181693988148739	0.000460264587043808	0.000986889703019883	0.00194229304757393
99	0.00473272407153283	0.00604129817879909	0.00617407179933083	0.0111530847577377	0.000181105701794704	0.000459928916885591	0.000986427586561082	0.00194367148295058
100	0.00520257948926179	0.00637067207376635	0.00611079722811631	0.0109865653083216	0.000179920993645411	0.000459479835318866	0.000985150236696395	0.00194748918426669
