lagtime	NRF_p<3|all	NRF_p=3-6|all	NRF_p=6-9|all	NRF_p=9-12|all	se_p<3|all	se_p=3-6|all	se_p=6-9|all	se_p=9-12|all
0.333333333333333	-0.00276443741044327	0.0193351284936581	0.0691508286853405	0.142297634412573	0.000649612142300405	0.00145243405783066	0.0028237962747323	0.00517624720974774
1	0.00752115885854068	0.10719756235063	0.348376238637803	0.594383480417923	0.000426217552086273	0.000960373272758424	0.00199242228161368	0.00374406114869254
2	0.0254979037461913	0.264474278459566	0.820100139824757	1.2605993206626	0.000451308278073585	0.00103779652988557	0.00221305219662316	0.0042064287937253
3	0.0314797002321726	0.274348354462989	0.721816699433984	0.899946450956131	0.00045910440999329	0.00107189120154922	0.00231510586398071	0.00442869347992029
4	0.0343154452380774	0.233999376912781	0.532064037541457	0.561064609341109	0.000464073710051686	0.00109800353293268	0.00238751525479981	0.00459382340612475
5	0.0345835870647027	0.194949878644682	0.397631944141792	0.427284181821036	0.000468826021769284	0.00112287467008566	0.00245313370450383	0.00475323303543154
6	0.0318767199771999	0.159087045407892	0.300826744488409	0.329175713157825	0.000473174826608488	0.00114610312791795	0.00250932738119543	0.00489897468093762
7	0.0290609782232238	0.132030224235201	0.232380522629144	0.255231401252213	0.000476665561673127	0.00116551686466317	0.00255414956308576	0.00501667714362786
8	0.0261236833433387	0.11242393790639	0.192441893639457	0.213374357915155	0.000479215340196841	0.00118116433348254	0.00259071175595874	0.00511014320040288
9	0.0242613665013724	0.100793664665779	0.171995541596293	0.177839674956316	0.000481002403631798	0.00119365905364435	0.0026214670960065	0.00518871256166452
10	0.0219824002341246	0.0887556599446298	0.145837324999166	0.146118808801752	0.000482327042822791	0.0012037479420501	0.00264683842013649	0.00525059656795735
11	0.02028103312289	0.0794846306508759	0.129654305097774	0.128162074963625	0.000483409847663501	0.00121211926724177	0.00266788678383623	0.00530086124761788
12	0.0192376576854064	0.0716675533970688	0.123755392957971	0.124691874257523	0.000484248202382124	0.00121915775337002	0.00268495354363275	0.00534246575346934
13	0.0176427393372182	0.0650170838606814	0.108692615121914	0.109094503499342	0.000484904937787231	0.00122491305572714	0.00269848730363169	0.00537680042480378
14	0.0164808623736221	0.0598042598333724	0.0924335791960282	0.0896787115184984	0.000485352263353224	0.00122977385708605	0.00270966362525007	0.00540579782858607
15	0.0152837072695869	0.0567623344631044	0.0872642846305695	0.0829461305817957	0.000485755974369667	0.00123390903104716	0.00271843879179744	0.0054306483972953
16	0.0151298977384565	0.0532603827896125	0.0803710419417264	0.0767115970247546	0.000486112896771408	0.00123711299891774	0.00272552504567159	0.00545230995376671
17	0.0144242140343525	0.0504563316162519	0.0741671220211557	0.0711535273662608	0.000486392360878833	0.00123958837686657	0.00273120855008407	0.00546832890701486
18	0.0132642964491343	0.0461449863292775	0.0629932712736564	0.0547271539178324	0.000486585659186369	0.0012416163523901	0.00273624836872242	0.00548111068952951
19	0.0131208889499526	0.0447476509280703	0.058026920699972	0.049476568085078	0.00048671784497368	0.00124352765650005	0.00274030298186768	0.00549224686819204
