lagtime	RRD_p|all	se_p|all
0.333333333333333	-5.19298756028923e-05	0.000131262804501073
1	0.00892660917163351	7.20153456604696e-05
2	0.0299437667440638	8.01654159715509e-05
3	0.0332967818490249	8.52155170453106e-05
4	0.0273966342566328	8.75877358901073e-05
5	0.0216256034482553	8.85033677876388e-05
6	0.0170380886460443	8.82851060147051e-05
7	0.0136835185982039	8.72854845783865e-05
8	0.011565004636086	8.61618944069852e-05
9	0.0100623147884618	8.4861996685073e-05
10	0.00891805915730415	8.34408080849572e-05
11	0.00800414415705536	8.20193601288907e-05
12	0.00722615631414894	8.06663204140555e-05
13	0.00659159884357082	7.93366184310662e-05
14	0.00608734898125946	7.81344621294498e-05
15	0.00563580107072946	7.70359306019531e-05
16	0.0052853802750841	7.60100145329313e-05
17	0.00508614153883506	7.50819527342655e-05
18	0.00493228412473611	7.43037046041852e-05
19	0.00475745974648085	7.36507371441921e-05
20	0.00458862958860653	7.29874457209609e-05
21	0.00434465192375177	7.22841311356793e-05
22	0.00416225061336969	7.16251431383083e-05
23	0.00409034880982225	7.10893737879442e-05
24	0.0040093744194653	7.0663127665565e-05
25	0.00393599077173837	7.02827148905844e-05
26	0.00377455182449855	6.99012864461849e-05
27	0.0036738772417883	6.95027600482881e-05
28	0.00363375126775094	6.90613048283873e-05
29	0.00359933863244151	6.87282878301688e-05
30	0.00354806991432465	6.84358116837172e-05
31	0.00343804518413904	6.81882253480375e-05
32	0.00332622779306739	6.79177419313904e-05
33	0.00329713310110696	6.7645444118501e-05
34	0.00325568724610796	6.74213709699525e-05
35	0.00324104562112506	6.72410836426212e-05
36	0.00330079248595744	6.71158517201354e-05
37	0.00329103238271629	6.6979969526601e-05
38	0.00316204239870848	6.68382800991311e-05
39	0.00305588509381492	6.67210677091438e-05
40	0.00298359305652272	6.65745466065025e-05
41	0.0030192983924656	6.6527332969327e-05
42	0.00297470251086629	6.64742391856531e-05
43	0.00299779248786398	6.6335599532077e-05
44	0.00289296130575102	6.62150759436399e-05
45	0.00284700383293828	6.61188084588492e-05
46	0.00283706047403178	6.6082284124891e-05
47	0.00287060913260261	6.60880627538344e-05
48	0.00282154341253333	6.60798614610371e-05
49	0.00275064457592374	6.60252876107029e-05
50	0.00272183970700926	6.59455177288742e-05
51	0.00270573254242276	6.58627682916657e-05
52	0.00269718399064067	6.57794293804553e-05
53	0.00264930198845378	6.56438974853277e-05
54	0.00259041611586112	6.54923245764157e-05
55	0.00252915026667405	6.53847694794828e-05
56	0.00249703136495406	6.52977899843907e-05
57	0.00255682669281916	6.52606383357373e-05
58	0.00255806086010677	6.52333857098535e-05
59	0.00263112539252596	6.52141178747784e-05
60	0.00257143501486586	6.51780091403354e-05
61	0.0025259538546298	6.51005747438424e-05
62	0.00248778155529909	6.49751858937685e-05
63	0.00233663040868454	6.48521110634657e-05
64	0.0023204390570151	6.47589805949731e-05
65	0.00236654158087251	6.4761955052894e-05
66	0.00231724255881208	6.47556448710948e-05
67	0.00236525939265756	6.4746240943391e-05
68	0.00240502804862279	6.47179366804619e-05
69	0.00241716462967714	6.46685522499972e-05
70	0.00239976224631805	6.46115283526443e-05
71	0.00229725944147455	6.45623233638621e-05
72	0.00223826553468786	6.45676882953624e-05
73	0.00218008435427894	6.45335435528956e-05
74	0.00215963180955676	6.45087880100019e-05
75	0.00219861221880283	6.44753001742055e-05
76	0.00218669873076002	6.4420432820309e-05
77	0.00209653486282496	6.43341274705203e-05
78	0.00201069269728044	6.42267718988462e-05
79	0.00205304424392716	6.41751110984052e-05
80	0.00207206421693623	6.41384306485154e-05
81	0.00210331133820876	6.40947318903242e-05
82	0.00208094193929402	6.40506338690968e-05
83	0.00201261081439413	6.39860258306212e-05
84	0.00199305550454359	6.39361240307377e-05
85	0.00199146196623511	6.38581654484466e-05
86	0.00196817100726023	6.38316823384743e-05
87	0.00195072367369306	6.37862708371078e-05
88	0.00191316932145604	6.37382925691548e-05
89	0.00189843443931564	6.36435866280753e-05
90	0.00195995508467451	6.35854985820349e-05
91	0.0019408045218754	6.35313180073948e-05
92	0.0018785412036015	6.35324155341217e-05
93	0.00182214764650935	6.35881473433341e-05
94	0.00183962463638524	6.35952609875155e-05
95	0.0018700625945448	6.35756227234551e-05
96	0.00183992771388237	6.35612724509781e-05
97	0.00192969852521152	6.35908824831261e-05
98	0.00195260004790235	6.36120099763841e-05
99	0.00199164072040275	6.35810515302763e-05
100	0.00207293388593313	6.35122277283168e-05
