lagtime	RRD_p|all	se_p|all
0.333333333333333	-0.00215024009556254	0.000308489228475907
1	0.0286979178459057	0.000201778947543957
2	0.07555283120424	0.00021095579691706
3	0.0678921183132907	0.000211937768243775
4	0.0514707175878403	0.000212240382570241
5	0.0387597709949034	0.00021277114550505
6	0.0305723205700677	0.000213472120446471
7	0.0248885666893586	0.000214033006013537
8	0.0216626582092464	0.000214415897677195
9	0.0194884171074695	0.000214684528355848
10	0.0169338288681626	0.000214844490492444
11	0.0152211321251881	0.000214931514143431
12	0.0144240071835189	0.000214997655011198
13	0.0129506394746643	0.000215035914248294
14	0.011628144517937	0.000215064042006409
15	0.0109740131842636	0.000215088112903806
16	0.0102487337880817	0.000215085376551308
17	0.00967330626367631	0.000215067588517615
18	0.00874213759884488	0.000215053607968909
19	0.00865311210564699	0.000215040731846838
20	0.00803054979280422	0.000215031928317968
21	0.0077491608122031	0.000215028989761158
22	0.0071283815370885	0.000215024457855576
23	0.00692978523477279	0.000215020066401919
24	0.00635631783195702	0.000215017594075379
25	0.00613972833727472	0.000215015100455097
26	0.00552230412367127	0.00021501012927423
27	0.00450477909539328	0.000215009062116246
28	0.0051956136602149	0.000215016184186576
29	0.00573290357433638	0.000215023396450586
30	0.00530381492402163	0.000215025337044372
31	0.00489081406826242	0.000215029609423547
32	0.00429779044733941	0.000215035349123103
33	0.00423019559930462	0.000215051444235578
34	0.00417146165140951	0.000215062591797801
35	0.00420060616776224	0.000215070446262634
36	0.00396695011672087	0.000215071391513532
37	0.00404553091514578	0.000215092221077215
38	0.00376390466912723	0.00021511168608351
39	0.0039590143601161	0.000215119507593428
40	0.00353492815728306	0.000215117209326768
41	0.00340045148057825	0.000215115921338964
42	0.00326134909297571	0.000215112626885592
43	0.00332832939979273	0.000215114635793963
44	0.00320171510770106	0.000215123320069292
45	0.00323885241770694	0.000215137574096824
46	0.00305266833616171	0.000215153634838929
47	0.0031874715797988	0.000215169221627979
48	0.00287780148543926	0.000215177471305322
49	0.00294539872496329	0.000215188620702266
50	0.00299724076539691	0.000215199833138311
51	0.00260126428644869	0.000215202144603786
52	0.00240439634147876	0.00021520195044274
53	0.00255008219465173	0.000215206020032009
54	0.00255531263325375	0.000215213986231678
55	0.00263889517662367	0.000215217057101682
56	0.00215749461073922	0.000215220315377923
57	0.00201682843684905	0.000215223677018233
58	0.00239800369629716	0.000215223798671894
59	0.00244071479002907	0.000215217650574671
60	0.00231054760760917	0.000215209923222191
61	0.00274945379136016	0.000215192071253927
62	0.00253219617545569	0.000215174424122874
63	0.00232672267375067	0.000215157616283933
64	0.002416672296785	0.000215149133778993
65	0.00228197868569659	0.000215149892164541
66	0.0021373932311971	0.000215161521735153
67	0.0021491041112107	0.000215158438265658
68	0.00217283403879372	0.000215149580052909
69	0.00222172331871553	0.000215136860578661
70	0.00256229700823989	0.00021514053739542
71	0.00267289577698456	0.00021513797965777
72	0.00265859859292053	0.000215132458227831
73	0.00259105384075296	0.000215118369847469
74	0.00225729604611165	0.000215108864056161
75	0.00220142070705144	0.000215109764423619
76	0.00237346086742578	0.000215109183663221
77	0.0023363714370057	0.00021508927366753
78	0.0019430606962444	0.000215076963320348
79	0.00185508599229654	0.000215062118581632
80	0.00212273427673693	0.000215052877350324
81	0.00197668145963145	0.000215035748084414
82	0.00202693995870148	0.000215022153576478
83	0.00218895058142186	0.000214997339338204
84	0.00214330451153741	0.000214982838582432
85	0.00204616023820427	0.000214967777046707
86	0.00211948019806469	0.000214958568054613
87	0.00194988765187074	0.000214940749222455
88	0.00191816237167923	0.00021490870520815
89	0.00193798761797866	0.00021487206575519
90	0.00196013965632787	0.000214859771058988
91	0.00173814637220557	0.000214835604840018
92	0.00174327193443614	0.000214818747595808
93	0.00154033886212274	0.000214799119956578
94	0.00158026280876378	0.000214758786929967
95	0.0016768290559702	0.000214710073822667
96	0.0017649268437644	0.000214672150076934
97	0.00164252983885576	0.000214636682693321
98	0.00167823859858568	0.0002145794201926
99	0.00187175468633322	0.000214484132700602
100	0.00223955194648309	0.000214290838504669
