lagtime	NRF_p<0.7|all	NRF_p=0.7-1.4|all	NRF_p=1.4-2.1|all	NRF_p=2.1-2.8|all	NRF_p=2.8-3.5|all	NRF_p=3.5-4.2|all	NRF_p>4.2|all	se_p<0.7|all	se_p=0.7-1.4|all	se_p=1.4-2.1|all	se_p=2.1-2.8|all	se_p=2.8-3.5|all	se_p=3.5-4.2|all	se_p>4.2|all
2	-0.00012708928699212	0.000431372391178814	0.000569719638307151	0.00469263818833177	0.00335373093249421	0.000213521832503233	0.0143834357013295	0.000299291738592259	0.000582134549224743	0.00079335592391818	0.00113699452426358	0.00143285003225796	0.00166681371725598	0.00186828406008273
6	-0.000208038057266207	0.00139155871838221	0.003119771184426	0.0106991774629301	0.0133025066002693	0.0195528639259069	0.0756196378179582	0.000202370529931261	0.000396078924513653	0.000575549021447519	0.000839201435655894	0.0010614355309043	0.00126494419569946	0.00127194769587574
12	-8.25740038757011e-05	0.0022104594473002	0.00804999062170283	0.0223934875203417	0.0313701249647645	0.0457139378644631	0.131319208516893	0.000235775059899514	0.000468977602821359	0.000701292141921358	0.00102706336268486	0.00128544860783909	0.00156990350867468	0.00150272466061043
18	0.000301902620540129	0.00296582447928726	0.00949872454705136	0.0205111933372881	0.0298977009862387	0.0386899977696182	0.0854870391222322	0.000256060813774682	0.000513706270668692	0.000784154294739614	0.00115127413044425	0.00142792669683788	0.00177256451111445	0.00164020452340566
24	0.00082903620022421	0.00259787090255396	0.00798087802452726	0.0146815059971746	0.0208041664447688	0.0266427507352607	0.0483709102732362	0.000269582378692871	0.000543417599273707	0.000838792525803648	0.00123139878747197	0.00152239367661	0.00190762422624222	0.00173620689851672
30	0.000948260492526952	0.00211899121691436	0.00531408239810943	0.00960365988594495	0.0140431878787774	0.0185514180077943	0.0399159139387489	0.000278446861298155	0.000563859235375318	0.000875225206037069	0.00128759605815219	0.0015905645707863	0.00200198866303308	0.00180737638264757
36	0.00106842661206305	0.00183925934140105	0.00350267430273703	0.00621750189691197	0.0124373018636523	0.0177343372156109	0.0296014414264272	0.000283807472564555	0.000578694755898135	0.000901794378647686	0.00132559664749611	0.00164016950051177	0.00206607629311442	0.00185592904337128
42	0.00121417353806041	0.00190473351789533	0.00329468933627842	0.00558121571468241	0.00927769975666185	0.0132854612909837	0.0216274038993429	0.000287334866505359	0.000590112660808624	0.000922137129637488	0.0013520625022457	0.00167537218160804	0.00211251498048511	0.00189157858859852
48	0.00105518260651918	0.00125273266200056	0.00210491012805321	0.00531349358852541	0.00701955212998124	0.00918540355727051	0.0198589296213684	0.000289811279713949	0.000598671567731845	0.000936667757526391	0.00137152303056961	0.00170023020374183	0.00214578058073132	0.0019140856605014
54	0.00102982450800389	0.00110424169773122	0.00172670975851998	0.0053147505806823	0.0067911585137119	0.00827375519839785	0.0177112456848701	0.000291664542921864	0.000605233563995384	0.00094698373258691	0.0013856273492301	0.00171915265355617	0.00216964093004161	0.00191742872945403
60	0.00083680046355603	0.000888982173500005	0.00180684264049914	0.0045896115554902	0.00588993345307412	0.00899669590988245	0.0181794822291769	0.000292904576962009	0.000609578234808864	0.000954341662542219	0.00139564336473951	0.00173298482719373	0.00218728256936111	0.00191698058898548
66	0.000773835063725828	0.000554794857547142	0.00207730634832078	0.00421045260981731	0.00569964346762014	0.00940770102457857	0.0162139693765181	0.000293553397753485	0.000612735857288849	0.000957978014739366	0.00140220028681699	0.00174224702667638	0.00219990177828142	0.00191395679609874
72	0.00065958272615743	0.000337182392253923	0.00203562686243197	0.00386313680417455	0.00531205398899963	0.00739021826733524	0.0131295670831368	0.000293797436993664	0.000615331268500793	0.000961166939736021	0.00140451673593359	0.00174770151950245	0.00220925936659675	0.00191268626129158
78	0.000581996547266386	0.000518677488107763	0.00157865524669497	0.0028451999483796	0.00475531788468496	0.00894936753634172	0.0180495821757238	0.00029411948235437	0.000617318634580806	0.00096380790889878	0.00140705994385089	0.00175639594154797	0.00221697482216858	0.00191127429238679
84	0.000810476980182827	0.000563670908339207	0.00155276551467823	0.00369383010826398	0.00453583305261582	0.00853056931413001	0.0163196771433105	0.000294639152589282	0.0006199733537721	0.000967375632224086	0.00141033511369891	0.00176577848948359	0.00222304729797478	0.00191084091257705
90	0.000854082829290791	0.000176328830813835	0.00190612866353146	0.00528223188776742	0.00373549299617378	0.00446307280226038	0.0105337090729778	0.000295113436557967	0.000622543022749123	0.00097027771310655	0.00141280099608159	0.00177419372280455	0.0022291942736759	0.00191161548555345
96	0.000678112244856926	-6.30334238358321e-05	0.00181276549225786	0.00499106969390849	0.00306533733998926	0.00299327257729015	0.00814808164594912	0.000295313056866085	0.000623413918531275	0.000972397761501969	0.00141605110361317	0.0017804215633628	0.00223467961085373	0.00192517093809014
102	0.000922774644586679	0.000312629153195129	0.00160333360752494	0.00529412828778007	0.00305479962770429	0.00216534734254908	0.00798860105250517	0.000295436859553849	0.000624073187182026	0.000973917135413943	0.00141966196377978	0.00178771073173396	0.0022411018631073	0.0019414862639518
