lagtime	NRF_p<1|all	NRF_p=1-2|all	NRF_p=2-3|all	NRF_p=3-4|all	NRF_p=4-5|all	NRF_p=5-6|all	NRF_p>6|all	se_p<1|all	se_p=1-2|all	se_p=2-3|all	se_p=3-4|all	se_p=4-5|all	se_p=5-6|all	se_p>6|all
1	0.000271512793706897	0.000337953169771243	0.00139534876202179	0.00150356403986549	0.00535308512520797	0.00894202764856194	0.00990188375851488	0.000230693668144477	0.00045951550156941	0.000664506938953426	0.000898417996237497	0.00121717249503765	0.00154589352801238	0.0018225474827967
3	0.000318955097870658	0.000444693222489605	0.00257201430144608	0.00632579217954891	0.0149452351342477	0.0148772703668826	0.0324708598304957	0.000204532247858232	0.000396584428291446	0.000611736053516106	0.000847510200531169	0.00114443227248962	0.00149616261089161	0.00165479356946387
6	0.000400033529828133	0.000555619505807652	0.00520640806883127	0.0217723508909155	0.0401059483629063	0.0446328367955158	0.0938725617379164	0.000260248711278802	0.000504567551236411	0.000821880201962437	0.00115377552499347	0.00153654088456722	0.00207087781500737	0.00218600742812124
9	0.000120548464622467	0.000817082844931012	0.00802526320663695	0.0405958574919696	0.0710713105348787	0.086031256212426	0.169098368273964	0.000289750902848448	0.000565856631666537	0.000956219728572942	0.00135265685728744	0.00176713184329186	0.00245036946385049	0.00252689656212584
12	-0.000193252706350674	0.00243792392487786	0.0116512616356356	0.0499907050274911	0.0827893652594489	0.0991136926940282	0.188484330788571	0.0003055444399315	0.000602152846657113	0.00103969609708921	0.00147428096401433	0.00189905360757757	0.00268547508138595	0.0027463029955029
15	-0.000308583396865042	0.00436425511377024	0.0148883548967746	0.0471087186062848	0.071247551600656	0.0843395109936371	0.150245091077724	0.000315310638362094	0.000626359146473616	0.00109840620409104	0.00155276732535898	0.00199243238488738	0.0028385501268759	0.0029097820571023
18	-1.65909558231976e-05	0.00501434268878524	0.0155987036768665	0.0405035102318614	0.0561845068997849	0.0659991288040699	0.112431308245547	0.000323270497737381	0.000645725053933154	0.00114418370701556	0.00161053816339088	0.00207285463258645	0.00294779793031505	0.00304432870093597
21	0.00061318672008604	0.0055825940839202	0.0146423802793062	0.0340736946947295	0.044385787625362	0.0494518488174236	0.0847238737890419	0.000331264564642982	0.000664110858761041	0.0011849396191832	0.00166060070905424	0.002152259307994	0.00303903441566148	0.00316638363381173
24	0.000940261855922364	0.00536363289483334	0.0137196901315558	0.027903060100605	0.0342479735668128	0.0379195554915231	0.064755931424037	0.00033945878698402	0.000682193626156719	0.00122239893254761	0.00170742049210553	0.00222989577515056	0.00312791304619592	0.00328126558162503
27	0.00111846320415924	0.00422998133862722	0.0120074865250063	0.023563894918621	0.0277357608537646	0.0307463893485842	0.0573767924016176	0.000346810979428113	0.00069930319794989	0.00125710797760623	0.00175251170035561	0.00230099351642312	0.00321640924599845	0.00338633852069383
30	0.00116175505117757	0.00302222301484053	0.00946460754349369	0.0200171856593489	0.0244697524994178	0.0281146299223794	0.055122662295113	0.000353055193806262	0.000715084477086079	0.00128911419239525	0.0017942349917226	0.00236337249478078	0.00330154015683794	0.00348161264962706
33	0.00112147747448827	0.0022159416381329	0.00779715973974893	0.0175039808190547	0.0211050531084784	0.0254401299324796	0.0463012152776965	0.000358424235818262	0.000728384722694848	0.00131771555470513	0.00183089601998695	0.00241501585985997	0.00337761813776935	0.00356725803923589
36	0.00124506226803725	0.00202330731384931	0.00668466215197751	0.0166349198604743	0.01890918563503	0.0203570324251191	0.0359022044306128	0.000362910972838852	0.000739957250790305	0.00134293298711114	0.00186263263789079	0.00245828792902307	0.00344104984056055	0.00364336983751986
39	0.00143014570624163	0.00243630328692415	0.00578761836576739	0.0153527531565859	0.0171360417904552	0.0162358247261376	0.0300875489630373	0.000366663524768289	0.000750605864657528	0.00136535062568259	0.00189182243398739	0.00249621187813499	0.00349413480995835	0.00370982417540711
42	0.00147988311204295	0.00270132629797062	0.00492735408113681	0.0121976153445693	0.0150589902096741	0.0150936337071568	0.0276507280541231	0.000370052436281319	0.000760672329313443	0.00138491678460468	0.00191871947188959	0.00253009254637106	0.00353958750046933	0.0037684942807818
45	0.00143438399803035	0.00253478825854167	0.00399499170601056	0.00954766145462349	0.0144606276266631	0.016452924270944	0.0274146946757042	0.000373199046583975	0.000770176223301108	0.00140250070272159	0.00194292826755715	0.00256094862737179	0.00358100482244459	0.00382154382842859
48	0.00133818425246056	0.00205188106163224	0.00300790422633796	0.00812401712147699	0.0142419947376775	0.0173104368857663	0.0259703813228513	0.000376033869630893	0.000778610095110342	0.00141888327597073	0.00196496868736062	0.00258806354915253	0.00361845623024836	0.00386645391253025
51	0.00126927684713641	0.00177570416740384	0.00234705865241684	0.00790681092473391	0.0140870976223368	0.016920669711236	0.0239391315329666	0.000378510432348299	0.0007859995539256	0.00143348886378006	0.00198397732195059	0.0026114576107065	0.00365080350557725	0.00389777965696359
54	0.00109881493205235	0.00154538874859587	0.00176973095109697	0.00786090757130643	0.0134040401478244	0.015849533408802	0.0234323164824644	0.000380836789577535	0.000792583663653242	0.00144650736902484	0.00200054646187948	0.00263132814642824	0.0036787231909328	0.00390487169516798
57	0.000953576695648841	0.00157822643832395	0.00227555436714899	0.00826545261234801	0.012378141835614	0.0148825144569446	0.0240262559618398	0.000382920183200107	0.000798591831550099	0.00145828588475406	0.00201539059019979	0.00264891194238687	0.00370473960369632	0.00390274686741849
60	0.000853111206899338	0.00151881778183998	0.00323777521594996	0.0091240476124928	0.0118747355578621	0.014109512743142	0.023616246958149	0.000384623019456908	0.000804234141359889	0.00146920291656211	0.00202799898919738	0.00266384659561263	0.00372786913858241	0.00390387625406231
63	0.00062858744207285	0.00122872013970965	0.00371503987005655	0.00903823079862723	0.0109751899496088	0.013035214301994	0.0225553841123556	0.00038592518095979	0.0008094180764595	0.00147910370900193	0.00203940016557995	0.00267613030527976	0.00374804250187989	0.00391161974533776
66	0.000605469273559455	0.0011725836541465	0.00432236389292071	0.00898165250434635	0.00933390199436806	0.011372940990079	0.0205003665567444	0.0003868906292985	0.000813897634023681	0.00148747071492767	0.00205044944735817	0.00268668751705192	0.00376216619955773	0.00391869998300292
69	0.000725074129431466	0.00102061668581472	0.00479709951708455	0.00900302505984255	0.00810761039969776	0.0106208248168708	0.0193122407504933	0.000387786283960491	0.000817422005337971	0.00149358904113601	0.00205919761406631	0.00269546516910592	0.00377221434218282	0.00392418360003937
72	0.000693371836671505	0.000671639093413509	0.00450147869693637	0.00768757036342506	0.00726337743770815	0.0123066272460753	0.0204635170187337	0.000388700943167147	0.000820424191349415	0.0014986904494063	0.0020669106268804	0.00270169009180911	0.00378109895388602	0.00392852631583622
75	0.00069477154797085	0.00064164883698499	0.00440435641885744	0.00731764247342257	0.00567276959320025	0.0132108285340859	0.0235226157493412	0.000389436144539793	0.000823332484608319	0.00150339803958478	0.00207408896942116	0.00270621517209261	0.00378992654455175	0.00393245628266112
78	0.000676452107265219	0.000763813151886284	0.0041913179723132	0.00745693702008656	0.00700628540898134	0.015020102739844	0.0240826312202021	0.000390119621525944	0.000826356160472411	0.00150819093093381	0.00208216901587199	0.00270994324016247	0.00379993133500986	0.00393574640202233
81	0.000623785282145098	0.00108085542291907	0.00369262119551278	0.00740501201001586	0.0103337683706599	0.0163220193900922	0.0213547059754697	0.000390902890447128	0.000830125870457637	0.00151335144360775	0.00209042998629191	0.00271636589012762	0.00381492376418002	0.003940476516731
84	0.00065584698498444	0.00161709896138064	0.00256150419190744	0.00792122311229923	0.0123437149839818	0.0137342211733289	0.01725182397483	0.000391762698715733	0.000834636045839579	0.00151895615113577	0.00209858553886941	0.00272377906668767	0.00383202095988546	0.00394626506788342
